panel	gene_id	primary_interaction_log2fc	primary_q	mapping_qc	salmon_interaction_log2fc	salmon_q	edgeR_interaction_log2fc	edgeR_q	cpm_filter_log2fc	cpm_filter_q	observed_mapping_sensitivity_status	loo_sign_agreement_count	loo_q_below_threshold_count	salmon_sign_agreement	salmon_absolute_lfc_difference	edgeR_sign_agreement	cpm_filter_sign_agreement	quantification_pass	statistical_method_pass	filter_pass	leave_one_out_pass	internal_robustness_status
A_D_gene_robustness	LITCHI008721	-1.91058272270929	7.86851905355691e-11	PASS	-2.00919635687546	1.27644115567497e-11	-1.89544361831608	0.0201438442334201	-1.91100712962896	6.3148729167092e-11	PASS_NO_SEVERE_OBSERVED_BIAS	12	12	TRUE	0.098613634166171	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	PASS
A_D_gene_robustness	LITCHI005805	2.07255591145601	5.52532016694485e-08	PASS	2.08053619987162	6.02985733206283e-07	2.08762473128564	0.0320619365253316	2.07209002854211	5.04946988433999e-08	PASS_NO_SEVERE_OBSERVED_BIAS	12	12	TRUE	0.00798028841560861	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	PASS
A_D_gene_robustness	LITCHI015740	-1.96299486758937	1.15007301951712e-07	PASS	-1.91689765304126	1.47591507280042e-07	-1.94705326831956	0.0320619365253316	-1.96338772848697	9.84146203360853e-08	PASS_NO_SEVERE_OBSERVED_BIAS	12	12	TRUE	0.0460972145481118	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	PASS
A_D_gene_robustness	LITCHI010877	-2.77434466350923	2.13991601641715e-07	PASS	-2.64023745858848	8.01087450280453e-08	-2.75393959480492	0.0320619365253316	-2.77463693262171	1.71119810425483e-07	PASS_NO_SEVERE_OBSERVED_BIAS	12	12	TRUE	0.134107204920755	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	PASS
A_D_gene_robustness	LITCHI009437	1.03949061099977	2.56887041844824e-07	PASS	1.23989898253037	3.58941962492128e-16	1.05240425810472	0.0320619365253316	1.03917799454519	1.71119810425483e-07	FAIL_SEVERE_BILATERAL_MULTIMAPPING	12	12	TRUE	0.200408371530604	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FAIL
A_D_gene_robustness	LITCHI023626	-1.40847760833401	5.3720254067952e-07	PASS	-1.44544672010901	9.97869146606965e-08	-1.39295146112131	0.0320619365253316	-1.40886305975247	4.23608690332297e-07	FAIL_SEVERE_BILATERAL_MULTIMAPPING	12	12	TRUE	0.0369691117750011	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FAIL
A_D_gene_robustness	LITCHI015982	3.42612366371821	7.78353948677146e-07	PASS	3.49362477649143	1.2572217589286e-07	3.42906619319181	0.0520225631971222	3.42570486025646	8.6808396070132e-07	PASS_NO_SEVERE_OBSERVED_BIAS	12	12	TRUE	0.067501112773221	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	PASS
A_D_gene_robustness	LITCHI025204	2.85870852391512	3.54928996014056e-06	PASS	2.79869856610284	6.3484359940117e-06	2.87441762091628	0.0830272205815517	2.85815377213266	3.68661011863502e-06	PASS_NO_SEVERE_OBSERVED_BIAS	12	12	TRUE	0.0600099578122784	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	PASS
A_D_gene_robustness	LITCHI014613	3.69273027953801	8.69074825280193e-06	PASS	3.64213036714644	1.91828647658773e-05	3.69341669117603	0.0992191911054992	3.69218164295683	9.46706285000988e-06	PASS_NO_SEVERE_OBSERVED_BIAS	12	12	TRUE	0.0505999123915708	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	PASS
A_D_gene_robustness	LITCHI028717	-0.907362306726487	1.8218963424227e-05	PASS	-0.826545792374285	0.031430051575159	-0.893063540021106	0.0992191911054992	-0.907724312581971	1.27997157124516e-05	PASS_NO_SEVERE_OBSERVED_BIAS	12	12	TRUE	0.0808165143522024	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	PASS
A_D_gene_robustness	LITCHI020058	-0.941598616265346	1.93707451928746e-05	PASS	-0.929246073699574	9.70282681588173e-06	-0.926744261435528	0.0667793524061049	-0.941950584918027	1.43184093795601e-05	PASS_NO_SEVERE_OBSERVED_BIAS	12	12	TRUE	0.0123525425657723	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	PASS
A_D_gene_robustness	LITCHI013915	1.58253973508206	4.39633402885569e-05	PASS	1.50739953853519	6.71605784622144e-05	1.59580930061262	0.0667793524061049	1.58234016530411	3.94570607016555e-05	PASS_NO_SEVERE_OBSERVED_BIAS	12	12	TRUE	0.0751401965468677	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	PASS
A_D_gene_robustness	LITCHI016077	1.81072779153467	4.39633402885569e-05	PASS	1.87259475379572	1.22480732698439e-05	1.82050721526117	0.0667793524061049	1.8105878486295	4.24307167466954e-05	PASS_NO_SEVERE_OBSERVED_BIAS	12	12	TRUE	0.0618669622610517	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	PASS
A_D_gene_robustness	LITCHI028926	1.90078618581322	5.72406619395087e-05	PASS	1.96434135959309	9.70282681588173e-06	1.91111580652343	0.067908651983704	1.90047171240563	5.7386681843264e-05	PASS_NO_SEVERE_OBSERVED_BIAS	12	12	TRUE	0.0635551737798714	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	PASS
A_D_gene_robustness	LITCHI021546	1.31268337866113	6.63965529613855e-05	PASS	1.26479530547436	0.000352678091834765	1.3236014390045	0.0628244444818643	1.31262176393405	5.92780937580353e-05	PASS_NO_SEVERE_OBSERVED_BIAS	12	12	TRUE	0.0478880731867675	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	PASS
A_D_gene_robustness	LITCHI005234	2.41562318712994	0.000193366087124934	PASS	2.49136927733497	0.000112579653164589	2.42404581838324	0.100202029556873	2.41552920032667	0.000199543734445401	PASS_NO_SEVERE_OBSERVED_BIAS	12	12	TRUE	0.0757460902050338	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FAIL
A_D_gene_robustness	LITCHI014480	-1.01836067537996	0.000285223574243013	PASS	-1.00486938031667	0.000254380168785731	-1.00443952962583	0.100053168907676	-1.01875010615751	0.000215488404976499	PASS_NO_SEVERE_OBSERVED_BIAS	12	12	TRUE	0.0134912950632859	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FAIL
A_D_gene_robustness	LITCHI022605	0.744942891873029	0.000291548606930528	PASS	0.709169088378595	0.000816095053399816	0.758171087834019	0.0986626460613996	0.744672095409635	0.000215488404976499	PASS_NO_SEVERE_OBSERVED_BIAS	12	12	TRUE	0.0357738034944339	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	PASS
A_D_gene_robustness	LITCHI009639	-1.77880934382893	0.000368521671955845	PASS	-1.63404356184991	0.000714661877832576	-1.75581949446885	0.13410714964574	-1.77912993776535	0.000342832703890873	PASS_NO_SEVERE_OBSERVED_BIAS	12	12	TRUE	0.144765781979023	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FAIL
A_D_gene_robustness	LITCHI012815	-2.54894194259723	0.000457096292226895	PASS	-0.951056963359279	0.76709474851774	-2.50421888017987	0.0461388863311629	-2.54926722538857	0.000400212967747023	PASS_NO_SEVERE_OBSERVED_BIAS	12	12	TRUE	1.59788497923795	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	FAIL
A_D_gene_robustness	LITCHI004438	1.46471169048401	0.000458550753798687	PASS	1.4402552239196	9.4701583270994e-05	1.47698897180475	0.0986626460613996	1.46448430636299	0.000400212967747023	PASS_NO_SEVERE_OBSERVED_BIAS	12	12	TRUE	0.0244564665644089	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	PASS
A_D_gene_robustness	LITCHI002263	-1.27206412023338	0.000470498373865878	PASS	-1.22715313632301	0.00169337522888033	-1.25664042406107	0.108322528038998	-1.27241883101544	0.000400212967747023	PASS_NO_SEVERE_OBSERVED_BIAS	12	12	TRUE	0.0449109839103681	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FAIL
A_D_gene_robustness	LITCHI029373	-0.761291752666979	0.000608633059705247	PASS	-0.752282519484001	0.00366395877000189	-0.747512946585486	0.108322528038998	-0.76156083560696	0.000460937700036067	PASS_NO_SEVERE_OBSERVED_BIAS	12	12	TRUE	0.00900923318297853	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FAIL
A_D_gene_robustness	LITCHI019822	-0.730865538412879	0.00070605867572226	PASS	-0.650117999181635	0.0790441310345232	-0.71739884946994	0.108322528038998	-0.731176644510297	0.00054334721783166	PASS_NO_SEVERE_OBSERVED_BIAS	12	12	TRUE	0.0807475392312439	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FAIL
A_D_gene_robustness	LITCHI011122	1.53140442080389	0.000770317942914888	PASS	1.54123663425791	0.000509877501778543	1.54267068057938	0.100202029556873	1.53122428797893	0.000718174882987764	PASS_NO_SEVERE_OBSERVED_BIAS	12	12	TRUE	0.00983221345402363	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FAIL
A_D_gene_robustness	LITCHI008817	-1.23258869770076	0.000795418321148719	PASS	-1.27049949770665	0.000461350263853619	-1.21849436376354	0.100202029556873	-1.23288379240068	0.00071079081490056	PASS_NO_SEVERE_OBSERVED_BIAS	12	12	TRUE	0.0379108000058881	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FAIL
A_D_gene_robustness	LITCHI023108	1.2004305898851	0.000924526440224526	PASS	1.22883605881705	0.000613931525105583	1.21179712241434	0.100202029556873	1.20028864773782	0.000836055609448913	PASS_NO_SEVERE_OBSERVED_BIAS	12	12	TRUE	0.0284054689319462	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FAIL
A_D_gene_robustness	LITCHI010325	-1.77220035077222	0.0010156123433396	PASS	-1.80009114044583	0.000714661877832576	-1.75590718472027	0.112923119395786	-1.77279957057151	0.000987483471247181	PASS_NO_SEVERE_OBSERVED_BIAS	12	12	TRUE	0.0278907896736114	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FAIL
