sample_id	PC1	PC2	cultivar	treatment	replicate	PC1_variance_percent	PC2_variance_percent
GW_P1	-32.4417408225893	-18.0769404472051	Guiwei	infected	1	54.1959932637364	16.08844079028563
GW_P2	-17.1558703373087	-38.8896370950675	Guiwei	infected	2	54.1959932637364	16.08844079028563
GW_P3	-36.1348573349388	-14.026794284769	Guiwei	infected	3	54.1959932637364	16.08844079028563
GW_M1	-43.3231625314043	7.23230211655557	Guiwei	mock	1	54.1959932637364	16.08844079028563
GW_M2	-64.066223505146	39.2270608404271	Guiwei	mock	2	54.1959932637364	16.08844079028563
GW_M3	-32.4599090544648	-3.36816501814347	Guiwei	mock	3	54.1959932637364	16.08844079028563
YR_P1	42.0967783097466	-18.3015139013188	Yurong1	infected	1	54.1959932637364	16.08844079028563
YR_P2	35.3174208263219	-11.1699274651294	Yurong1	infected	2	54.1959932637364	16.08844079028563
YR_P3	38.8578820066147	-4.41309732343324	Yurong1	infected	3	54.1959932637364	16.08844079028563
YR_M1	30.6955168662977	16.5598172752095	Yurong1	mock	1	54.1959932637364	16.08844079028563
YR_M2	37.2044333840652	20.9492930225031	Yurong1	mock	2	54.1959932637364	16.08844079028563
YR_M3	41.4097321928059	24.2776022803712	Yurong1	mock	3	54.1959932637364	16.08844079028563
