design	interaction_log2fc	targets	detected	expression_quartile	power	ci_lower	ci_upper
Discovery: genome-wide BH	2	6547	6185	Q3	0.944707499618146	0.938906042075934	0.949987398042258
Discovery: genome-wide BH	2.5	6543	6344	Q3	0.969585816903561	0.965141451429744	0.973479109133964
Discovery: genome-wide BH	3	6552	6431	Q3	0.981532356532357	0.977978949863832	0.98452144610137
Discovery: genome-wide BH	3.5	6613	6527	Q3	0.986995312263723	0.983968184810442	0.989456981877467
Discovery: genome-wide BH	4	6523	6458	Q3	0.990035259849762	0.987319988828285	0.99217369741105
Discovery: genome-wide BH	0	6450	0	Q4	0	0	0.000595220512497075
Discovery: genome-wide BH	0.5	6502	489	Q4	0.075207628422024	0.0690451487058157	0.081871756514723
Discovery: genome-wide BH	0.75	6394	2755	Q4	0.430872693149828	0.41877994499136	0.443048453588096
Discovery: genome-wide BH	1	6497	4508	Q4	0.693858704017239	0.682539907526224	0.704948391635738
Discovery: genome-wide BH	1.25	6523	5433	Q4	0.832898972865246	0.82365021788266	0.841755863665507
Discovery: genome-wide BH	1.5	6613	5906	Q4	0.893089369423862	0.885412388521637	0.900309928138887
Discovery: genome-wide BH	1.75	6475	6027	Q4	0.930810810810811	0.924370653849777	0.936740091869183
Discovery: genome-wide BH	2	6583	6272	Q4	0.952757101625399	0.947362728339569	0.957623377256976
Discovery: genome-wide BH	2.5	6581	6378	Q4	0.96915362406929	0.964694842463652	0.973065016845991
Discovery: genome-wide BH	3	6533	6366	Q4	0.974437471299556	0.970322533934478	0.977994790120427
Discovery: genome-wide BH	3.5	6472	6348	Q4	0.980840543881335	0.977204345542209	0.983906274533633
Discovery: genome-wide BH	4	6611	6519	Q4	0.986083799727727	0.982964470290229	0.988638559050676
External: candidate-family BH	0	200	0	Overall	0	0	0.0188453263772666
External: candidate-family BH	0.5	200	8	Overall	0.04	0.0204056320661523	0.0769320682009329
External: candidate-family BH	0.75	200	50	Overall	0.25	0.195081680068175	0.314340983120458
External: candidate-family BH	1	200	104	Overall	0.52	0.451037850728142	0.588208336216767
External: candidate-family BH	1.25	200	131	Overall	0.655	0.586755892590537	0.717402056232511
External: candidate-family BH	1.5	200	148	Overall	0.74	0.675092543974659	0.795861699364253
External: candidate-family BH	1.75	200	144	Overall	0.72	0.654076954133493	0.77763110226051
External: candidate-family BH	2	200	155	Overall	0.775	0.712258767643395	0.827376302849109
External: candidate-family BH	2.5	200	177	Overall	0.885	0.833352831015124	0.92213626767438
External: candidate-family BH	3	200	179	Overall	0.895	0.84481968008877	0.93029251207319
External: candidate-family BH	3.5	200	181	Overall	0.905	0.856398388351801	0.938336897282614
External: candidate-family BH	4	200	185	Overall	0.925	0.879956389763706	0.954025082815618
External: candidate-family BH	0	54	0	Q1	0	0	0.0664135880908964
External: candidate-family BH	0.5	63	0	Q1	0	3.46944695195361e-18	0.0574711995888517
External: candidate-family BH	0.75	51	0	Q1	0	0	0.0700466198985314
External: candidate-family BH	1	42	1	Q1	0.0238095238095238	0.0042154041344325	0.123212015737666
External: candidate-family BH	1.25	53	5	Q1	0.0943396226415094	0.0409726414972505	0.202537273762963
External: candidate-family BH	1.5	42	8	Q1	0.19047619047619	0.0998200828164774	0.333007740100387
External: candidate-family BH	1.75	52	10	Q1	0.192307692307692	0.107960460247335	0.31898860813658
External: candidate-family BH	2	66	30	Q1	0.454545454545455	0.340241254980577	0.573849886566108
External: candidate-family BH	2.5	52	32	Q1	0.615384615384615	0.479598737158194	0.735295362197838
External: candidate-family BH	3	48	31	Q1	0.645833333333333	0.504390570103431	0.765663558743952
External: candidate-family BH	3.5	56	38	Q1	0.678571428571429	0.548226399097386	0.785990052074485
External: candidate-family BH	4	44	29	Q1	0.659090909090909	0.511391412179382	0.781241804806555
External: candidate-family BH	0	56	0	Q2	0	0	0.0641939367187634
External: candidate-family BH	0.5	49	0	Q2	0	0	0.0726978192204964
External: candidate-family BH	0.75	56	6	Q2	0.107142857142857	0.0500393557111707	0.214684451710715
External: candidate-family BH	1	53	18	Q2	0.339622641509434	0.226870391013242	0.474052133624517
External: candidate-family BH	1.25	50	39	Q2	0.78	0.647584504187463	0.872460840297856
External: candidate-family BH	1.5	55	46	Q2	0.836363636363636	0.717362542609429	0.911445796639077
External: candidate-family BH	1.75	50	45	Q2	0.9	0.786397685625204	0.95652423506811
External: candidate-family BH	2	34	32	Q2	0.941176470588235	0.80906393095719	0.983717344789877
External: candidate-family BH	2.5	55	55	Q2	1	0.934715098882914	1
External: candidate-family BH	3	49	49	Q2	1	0.927302180779504	1
External: candidate-family BH	3.5	59	59	Q2	1	0.938870629473212	1
External: candidate-family BH	4	67	67	Q2	1	0.945773860608698	1
External: candidate-family BH	0	37	0	Q3	0	0	0.0940578258372025
External: candidate-family BH	0.5	42	2	Q3	0.0476190476190476	0.0131575249089056	0.157898523969588
External: candidate-family BH	0.75	48	18	Q3	0.375	0.252152667608682	0.516372364807847
External: candidate-family BH	1	52	41	Q3	0.788461538461538	0.659678953714954	0.877556294675125
External: candidate-family BH	1.25	52	49	Q3	0.942307692307692	0.843574886310393	0.980185827887729
External: candidate-family BH	1.5	46	41	Q3	0.891304347826087	0.769621713557492	0.95266854141901
External: candidate-family BH	1.75	51	44	Q3	0.862745098039216	0.742783077424183	0.931888982649431
External: candidate-family BH	2	54	50	Q3	0.925925925925926	0.824458841614	0.970818472234495
External: candidate-family BH	2.5	56	55	Q3	0.982142857142857	0.905543628506024	0.996840789658025
External: candidate-family BH	3	46	44	Q3	0.956521739130435	0.854677409737809	0.987994554401443
External: candidate-family BH	3.5	48	47	Q3	0.979166666666667	0.891007820047481	0.996312889022489
External: candidate-family BH	4	42	42	Q3	1	0.916201209134296	1
External: candidate-family BH	0	53	0	Q4	0	0	0.0675819885765418
External: candidate-family BH	0.5	46	6	Q4	0.130434782608696	0.0611784036203512	0.25665857779073
External: candidate-family BH	0.75	45	26	Q4	0.577777777777778	0.433007887092031	0.710312975327297
External: candidate-family BH	1	53	44	Q4	0.830188679245283	0.70774719718904	0.90800054620381
External: candidate-family BH	1.25	45	38	Q4	0.844444444444445	0.712160911276038	0.922545765152417
External: candidate-family BH	1.5	57	53	Q4	0.929824561403509	0.832998299039663	0.972373579770934
External: candidate-family BH	1.75	47	45	Q4	0.957446808510638	0.857514723221006	0.988251724033211
External: candidate-family BH	2	46	43	Q4	0.934782608695652	0.824972589180958	0.977572138570712
External: candidate-family BH	2.5	37	35	Q4	0.945945945945946	0.822953456491869	0.985049023166842
External: candidate-family BH	3	57	55	Q4	0.964912280701754	0.880792186323742	0.990324335655067
External: candidate-family BH	3.5	37	37	Q4	1	0.905942174162798	1
External: candidate-family BH	4	47	47	Q4	1	0.924442395836004	1
