design	interaction_log2fc	targets	detected	expression_quartile	power	ci_lower	ci_upper
Discovery: genome-wide BH	0	26200	0	Overall	0	0	0.000146599071236596
Discovery: genome-wide BH	0.5	26200	835	Overall	0.0318702290076336	0.0298109575911511	0.0340667552034075
Discovery: genome-wide BH	0.75	26200	5506	Overall	0.210152671755725	0.20526205360802	0.215128272601672
Discovery: genome-wide BH	1	26200	10545	Overall	0.402480916030534	0.396557551152163	0.408432873323182
Discovery: genome-wide BH	1.25	26200	14011	Overall	0.534770992366412	0.528726643999172	0.540805145943279
Discovery: genome-wide BH	1.5	26200	16434	Overall	0.627251908396947	0.621378662879327	0.633087843891398
Discovery: genome-wide BH	1.75	26200	18087	Overall	0.690343511450382	0.684717467714256	0.695913746822519
Discovery: genome-wide BH	2	26200	19485	Overall	0.743702290076336	0.738380316563806	0.7489528105301
Discovery: genome-wide BH	2.5	26200	21149	Overall	0.807213740458015	0.802392121331659	0.811945285086327
Discovery: genome-wide BH	3	26200	22189	Overall	0.846908396946565	0.842497514688082	0.851217566307455
Discovery: genome-wide BH	3.5	26200	23018	Overall	0.878549618320611	0.874538718396663	0.882449528199633
Discovery: genome-wide BH	4	26200	23575	Overall	0.899809160305344	0.896114654274738	0.903386443032803
Discovery: genome-wide BH	0	6537	0	Q1	0	0	0.000587303460094373
Discovery: genome-wide BH	0.5	6476	1	Q1	0.000154416306361952	2.72587898267877e-05	0.00087422296058586
Discovery: genome-wide BH	0.75	6542	34	Q1	0.00519718740446347	0.00372164799065212	0.00725348168100924
Discovery: genome-wide BH	1	6547	127	Q1	0.0193981976477776	0.0163283090682635	0.0230317426810444
Discovery: genome-wide BH	1.25	6552	342	Q1	0.0521978021978022	0.047069635353672	0.0578507571148224
Discovery: genome-wide BH	1.5	6526	684	Q1	0.104811523138216	0.0976108911140109	0.112477128246332
Discovery: genome-wide BH	1.75	6716	1196	Q1	0.178082191780822	0.169117066053669	0.187415372025778
Discovery: genome-wide BH	2	6466	1567	Q1	0.24234457160532	0.232055152334269	0.25293995593731
Discovery: genome-wide BH	2.5	6436	2433	Q1	0.378029832193909	0.366259458721941	0.38994571961369
Discovery: genome-wide BH	3	6560	3250	Q1	0.495426829268293	0.483334087228858	0.507524924163111
Discovery: genome-wide BH	3.5	6484	3767	Q1	0.580968537939544	0.568914521085836	0.592926671653615
Discovery: genome-wide BH	4	6491	4222	Q1	0.65043906948082	0.638753205314974	0.661946975341109
Discovery: genome-wide BH	0	6664	0	Q2	0	0	0.000576117300391474
Discovery: genome-wide BH	0.5	6631	53	Q2	0.00799276127280953	0.00611618323019374	0.0104390667335662
Discovery: genome-wide BH	0.75	6651	566	Q2	0.085099984964667	0.078631255908957	0.0920477100512594
Discovery: genome-wide BH	1	6602	1824	Q2	0.276279915177219	0.265626120289588	0.287193907497249
Discovery: genome-wide BH	1.25	6534	3046	Q2	0.466176920722375	0.454104588095212	0.478289000402768
Discovery: genome-wide BH	1.5	6606	4197	Q2	0.635331516802907	0.623648755198682	0.646856976465117
Discovery: genome-wide BH	1.75	6427	4818	Q2	0.749649914423526	0.7389116537383	0.760089918691768
Discovery: genome-wide BH	2	6604	5461	Q2	0.826923076923077	0.817609453521433	0.83585658783402
Discovery: genome-wide BH	2.5	6640	5994	Q2	0.902710843373494	0.895348206646956	0.909607786530716
Discovery: genome-wide BH	3	6555	6142	Q2	0.936994660564455	0.930852953464092	0.942624479397976
Discovery: genome-wide BH	3.5	6631	6376	Q2	0.961544261800633	0.956642341011661	0.965911730248389
Discovery: genome-wide BH	4	6575	6376	Q2	0.969733840304183	0.965310691047191	0.97360842391614
Discovery: genome-wide BH	0	6549	0	Q3	0	5.42101086242752e-20	0.000586227950856828
Discovery: genome-wide BH	0.5	6591	292	Q3	0.0443028372022455	0.0395950166286104	0.0495415399499329
Discovery: genome-wide BH	0.75	6613	2151	Q3	0.325268410706185	0.314081599638356	0.336658105342896
Discovery: genome-wide BH	1	6554	4086	Q3	0.623436069575832	0.611636647327941	0.635090878819202
Discovery: genome-wide BH	1.25	6591	5190	Q3	0.78743741465635	0.777394468502547	0.797145499388897
Discovery: genome-wide BH	1.5	6455	5647	Q3	0.874825716498838	0.86652941739213	0.882676153119512
Discovery: genome-wide BH	1.75	6582	6046	Q3	0.918565785475539	0.911711700371831	0.924931579678621
