gene_id	evidence_group	sample_id	cultivar	treatment	replicate	normalized_count	log2_normalized_count_plus_1
LITCHI001510	Legacy highlight	GW_P1	Guiwei	infected	1	1072.34128655305	10.067893162369147
LITCHI001510	Legacy highlight	GW_P2	Guiwei	infected	2	4753.90277043568	12.215200125423125
LITCHI001510	Legacy highlight	GW_P3	Guiwei	infected	3	681.21235204744	9.41407706620986
LITCHI001510	Legacy highlight	GW_M1	Guiwei	mock	1	108.406812127023	6.7735587589463915
LITCHI001510	Legacy highlight	GW_M2	Guiwei	mock	2	126.354878400094	6.992710413688546
LITCHI001510	Legacy highlight	GW_M3	Guiwei	mock	3	136.325115104793	7.10145169088687
LITCHI001510	Legacy highlight	YR_P1	Yurong1	infected	1	3138.39889544194	11.616272635631663
LITCHI001510	Legacy highlight	YR_P2	Yurong1	infected	2	1630.29347417735	10.671800634862196
LITCHI001510	Legacy highlight	YR_P3	Yurong1	infected	3	3293.36672235523	11.685785446610009
LITCHI001510	Legacy highlight	YR_M1	Yurong1	mock	1	994.864453913712	9.959805581692514
LITCHI001510	Legacy highlight	YR_M2	Yurong1	mock	2	1149.06569983716	10.167500565068101
LITCHI001510	Legacy highlight	YR_M3	Yurong1	mock	3	1136.71010928657	10.15191728767366
LITCHI001963	Cross-context supported	GW_P1	Guiwei	infected	1	115.644648549839	6.865976310318373
LITCHI001963	Cross-context supported	GW_P2	Guiwei	infected	2	83.943483058231	6.408431361658528
LITCHI001963	Cross-context supported	GW_P3	Guiwei	infected	3	84.5226552023411	6.418234739664484
LITCHI001963	Cross-context supported	GW_M1	Guiwei	mock	1	70.3179321905012	6.156192968605218
LITCHI001963	Cross-context supported	GW_M2	Guiwei	mock	2	51.3637717073552	5.710497111718307
LITCHI001963	Cross-context supported	GW_M3	Guiwei	mock	3	68.5912528829145	6.120834076026119
LITCHI001963	Cross-context supported	YR_P1	Yurong1	infected	1	43.4270518775294	5.473366504009643
LITCHI001963	Cross-context supported	YR_P2	Yurong1	infected	2	33.3744941984197	5.103266580112378
LITCHI001963	Cross-context supported	YR_P3	Yurong1	infected	3	37.5929096636882	5.270263913037774
LITCHI001963	Cross-context supported	YR_M1	Yurong1	mock	1	71.4994987412319	6.17989911531095
LITCHI001963	Cross-context supported	YR_M2	Yurong1	mock	2	77.0776638902242	6.28683798251654
LITCHI001963	Cross-context supported	YR_M3	Yurong1	mock	3	54.578878746908	5.79646482466527
LITCHI008721	Tier B	GW_P1	Guiwei	infected	1	1166.95963536655	10.189774700264628
LITCHI008721	Tier B	GW_P2	Guiwei	infected	2	1112.4923674269	10.120875953687564
LITCHI008721	Tier B	GW_P3	Guiwei	infected	3	1344.31270655152	10.393725838674625
LITCHI008721	Tier B	GW_M1	Guiwei	mock	1	1045.97924133371	10.032017122611986
LITCHI008721	Tier B	GW_M2	Guiwei	mock	2	920.438788995805	9.84774452085556
LITCHI008721	Tier B	GW_M3	Guiwei	mock	3	873.681083596124	9.772613283311433
LITCHI008721	Tier B	YR_P1	Yurong1	infected	1	269.035882363231	8.077007315080152
LITCHI008721	Tier B	YR_P2	Yurong1	infected	2	298.347751167691	8.225678621894824
LITCHI008721	Tier B	YR_P3	Yurong1	infected	3	336.057828811758	8.396852324750325
LITCHI008721	Tier B	YR_M1	Yurong1	mock	1	709.887880359374	9.473478228937811
LITCHI008721	Tier B	YR_M2	Yurong1	mock	2	872.194617705169	9.77015942748548
LITCHI008721	Tier B	YR_M3	Yurong1	mock	3	1078.98244907349	10.076792151828254
LITCHI010877	Tier B	GW_P1	Guiwei	infected	1	451.18934850884	8.820783199036969
LITCHI010877	Tier B	GW_P2	Guiwei	infected	2	323.230653155257	8.340876681199445
LITCHI010877	Tier B	GW_P3	Guiwei	infected	3	382.364392582019	8.58257253348148
LITCHI010877	Tier B	GW_M1	Guiwei	mock	1	506.875094539863	8.98832991778571
LITCHI010877	Tier B	GW_M2	Guiwei	mock	2	247.573379629452	7.957527992468612
LITCHI010877	Tier B	GW_M3	Guiwei	mock	3	444.985753077908	8.800853814063483
LITCHI010877	Tier B	YR_P1	Yurong1	infected	1	32.8350880049613	5.080448235885149
LITCHI010877	Tier B	YR_P2	Yurong1	infected	2	22.2496627989464	4.539137887158973
LITCHI010877	Tier B	YR_P3	Yurong1	infected	3	25.0619397757921	4.703872561785257
LITCHI010877	Tier B	YR_M1	Yurong1	mock	1	229.819817382531	7.850623283828
LITCHI010877	Tier B	YR_M2	Yurong1	mock	2	162.268766084683	7.351105014203852
LITCHI010877	Tier B	YR_M3	Yurong1	mock	3	176.331762105395	7.470307152001102
LITCHI028717	Tier B	GW_P1	Guiwei	infected	1	4609.14012136895	12.170594885497167
LITCHI028717	Tier B	GW_P2	Guiwei	infected	2	4875.47609072691	12.251623267921453
LITCHI028717	Tier B	GW_P3	Guiwei	infected	3	4150.6661036864	12.019474704772625
LITCHI028717	Tier B	GW_M1	Guiwei	mock	1	2612.50650846654	11.351771036736135
LITCHI028717	Tier B	GW_M2	Guiwei	mock	2	2258.97867968948	11.142093447191336
LITCHI028717	Tier B	GW_M3	Guiwei	mock	3	2752.22402192694	11.426906287321298
LITCHI028717	Tier B	YR_P1	Yurong1	infected	1	3566.3142358937	11.800622589504613
LITCHI028717	Tier B	YR_P2	Yurong1	infected	2	3683.33054153468	11.847186783996033
LITCHI028717	Tier B	YR_P3	Yurong1	infected	3	4169.39543542723	12.025968470653858
LITCHI028717	Tier B	YR_M1	Yurong1	mock	1	3893.65841716537	11.927281086255434
LITCHI028717	Tier B	YR_M2	Yurong1	mock	2	3978.62730843881	11.958417613560869
LITCHI028717	Tier B	YR_M3	Yurong1	mock	3	4103.91184423866	12.003135524144982
LITCHI028926	Tier B	GW_P1	Guiwei	infected	1	60.4506117419611	5.941355467612242
LITCHI028926	Tier B	GW_P2	Guiwei	infected	2	79.1191449514361	6.324075119371666
LITCHI028926	Tier B	GW_P3	Guiwei	infected	3	72.4479901734352	6.198651108385194
LITCHI028926	Tier B	GW_M1	Guiwei	mock	1	99.61707060321	6.652731282048613
LITCHI028926	Tier B	GW_M2	Guiwei	mock	2	100.672992546416	6.6677926959726435
LITCHI028926	Tier B	GW_M3	Guiwei	mock	3	88.3112380867524	6.480769816840018
LITCHI028926	Tier B	YR_P1	Yurong1	infected	1	301.870970368192	8.242559494838058
LITCHI028926	Tier B	YR_P2	Yurong1	infected	2	203.281010117647	7.674411287715433
LITCHI028926	Tier B	YR_P3	Yurong1	infected	3	205.052234529208	7.686866298754588
LITCHI028926	Tier B	YR_M1	Yurong1	mock	1	66.3923916882868	6.074513821410918
LITCHI028926	Tier B	YR_M2	Yurong1	mock	2	104.460518167014	6.720559180123455
LITCHI028926	Tier B	YR_M3	Yurong1	mock	3	88.1658810526976	6.478419869467873
LITCHI022605	Tier B	GW_P1	Guiwei	infected	1	1223.02976799678	10.257422928982773
LITCHI022605	Tier B	GW_P2	Guiwei	infected	2	1064.24898635895	10.056974963377833
LITCHI022605	Tier B	GW_P3	Guiwei	infected	3	1347.33137280875	10.396959388864799
