pathway	NGenes	Direction	PValue	FDR
R-OSA-9645850.1|Activation of pre-replication complex	22	Up	0.00174969804896719	0.00546804875109895
R-OSA-9640882.1|Assembly of pre-replication complex	14	Up	0.00309640841125759	0.00619281682251519
R-OSA-9675824.1|DNA replication Initiation	12	Up	0.00485713343787451	0.00728570015681176
R-OSA-6787011.1|Jasmonic acid signaling	15	Down	0.00687851795611401	0.00825422154733681
R-OSA-9675782.1|Maturation	10	Up	0.022851981499921	0.022851981499921
R-OSA-8933811.1|Circadian rhythm	12	Up	0.00182268291703298	0.00546804875109895
