pathway	removed_leading_edge_gene	deletion_NES	deletion_p	deletion_q
R-OSA-9645850.1|Activation of pre-replication complex	LITCHI016282	2.17775049820097	3.83176485712126e-05	0.00057476472856819
R-OSA-9640882.1|Assembly of pre-replication complex	LITCHI026066	2.10789682419526	0.000126618835199039	0.000949641263992793
R-OSA-9675824.1|DNA replication Initiation	LITCHI016282	2.06353813902846	0.000291963526680437	0.00145981763340219
R-OSA-6787011.1|Jasmonic acid signaling	LITCHI008177	-1.82410347343037	0.00347289214740498	0.0130233455527687
R-OSA-9675782.1|Maturation	LITCHI004630	NA	NA	NA
R-OSA-8933811.1|Circadian rhythm	LITCHI011520	1.67572266381722	0.0179233621755253	0.053770086526576
