Sample	Total reads	Aligned	Uniq aligned	Multimapped	Avg. read len	Avg. mapped len	Splices	Annotated splices	GT/AG splices	GC/AG splices	AT/AC splices	Non-canonical splices	Mismatch rate	Del rate	Del len	Ins rate	Ins len
GW_Mock1	20.884749	90.51	76.81	2.860897	297.0	293.19	15.653982	15.27314	15.074798	0.46354999999999996	0.010308999999999999	0.105325	1.33	0.05	3.02	0.05	2.45
GW_Mock2	21.863948999999998	90.63	77.07	2.9645029999999997	297.0	293.26	16.559434	16.144747	15.954023	0.496702	0.01036	0.09834899999999999	1.3	0.05	3.0	0.05	2.43
GW_Mock3	22.475153	90.32	76.78	3.0424819999999997	296.0	292.63	16.835779	16.37339	16.142733	0.5518569999999999	0.011335999999999999	0.129853	1.32	0.05	2.97	0.05	2.42
GW_P1	21.226981	91.44999999999999	77.02	3.064066	298.0	294.03	16.286473	15.767612999999999	15.564202	0.610126	0.011223	0.100922	1.3	0.05	3.02	0.05	2.25
GW_P2	21.22769	91.09	77.41	2.9040459999999997	298.0	293.78	16.129664	15.641001999999999	15.437821999999999	0.58305	0.009904999999999999	0.09888699999999999	1.31	0.05	3.03	0.05	2.26
GW_P3	19.254195	90.31	76.39	2.680475	296.0	292.8	14.461668999999999	14.014973	13.816891	0.525745	0.016635999999999998	0.102397	1.31	0.05	2.98	0.05	2.26
SFZ_Mock1	22.276356	90.69	77.65	2.9040999999999997	296.0	292.54	16.738255	16.301963	16.105850999999998	0.5213019999999999	0.011467999999999999	0.099634	1.27	0.05	2.99	0.05	2.28
SFZ_Mock2	22.372344	90.42	77.03	2.995797	297.0	293.48	16.89732	16.526356	16.331226	0.459561	0.011415	0.095118	1.28	0.05	2.99	0.05	2.3
SFZ_Mock3	22.785897	90.64	77.49	2.9956449999999997	297.0	293.35	17.048499	16.619550999999998	16.421795	0.516864	0.011229	0.09861099999999999	1.25	0.05	3.0	0.05	2.3
SFZ_P1	22.174006	92.29	81.01	2.5003949999999997	297.0	293.54	17.900586999999998	17.569072	17.362325	0.438094	0.013075999999999999	0.087092	1.23	0.05	3.01	0.04	2.23
SFZ_P2	22.563805	91.83	80.24	2.614315	296.0	292.67	17.837069	17.518558	17.303869	0.423303	0.012518	0.097379	1.25	0.05	2.98	0.05	2.23
SFZ_P3	21.803183999999998	91.74	80.69	2.4088909999999997	297.0	293.53	17.467117	17.157622	16.947796	0.41562299999999996	0.011217999999999999	0.09247999999999999	1.25	0.05	3.01	0.04	2.25
STARpass1	22.475153	94.78	81.7	2.940696	296.0	292.69	16.996157	13.692134999999999	15.935281	0.986347	0.010225	0.064304	1.32	0.06	3.53	0.05	2.38
