Sample	featurecounts-Assigned	featurecounts-percent_assigned	salmon-percent_mapped	salmon-num_mapped	salmon-library_types	salmon-compatible_fragment_ratio	salmon-strand_mapping_bias	star-total_reads	star-mapped	star-mapped_percent	star-uniquely_mapped	star-uniquely_mapped_percent	star-multimapped	fastp-pct_duplication	fastp-after_filtering_q30_rate	fastp-after_filtering_q30_bases	fastp-filtering_result_passed_filter_reads	fastp-after_filtering_gc_content	fastp-pct_surviving_reads	fastp-pct_surviving_bases	fastp-pct_adapter	fastp-before_filtering_read1_mean_length	fastp-before_filtering_read2_mean_length	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
GW_Mock1			69.106360818605	14.43269	IU	100.0	0.0	20.884749	18.901432	90.51	16.040535	76.81	2.860897	13.3568	92.7007	5757.958032	41.769498	44.8176	97.35044198377648	96.51014399756966	3.3816458673250187	150.0	150.0						
GW_Mock1_R1																								53.76007859216921	44.0	149.1897176738873	150	27.27272727272727	20.884749
GW_Mock1_R2																								52.54532329462351	44.0	149.19034605108254	150	27.27272727272727	20.884749
GW_Mock2			68.92154752098992	15.068971999999999	IU	100.0	0.0	21.863948999999998	19.81413	90.63	16.849626999999998	77.07	2.9645029999999997	14.0433	93.23310000000001	6060.749669	43.727897999999996	44.7214	97.36900444859462	96.49993100192275	3.559572654886284	150.0	150.0						
GW_Mock2_R1																								54.910777470547565	44.0	149.14554806636258	150	27.27272727272727	21.863948999999998
GW_Mock2_R2																								54.24331594372428	44.0	149.14522081532482	150	27.27272727272727	21.863948999999998
GW_Mock3			68.15331579722728	15.317561999999999	IU	100.0	0.0	22.475153	20.298662999999998	90.32	17.256180999999998	76.78	3.0424819999999997	13.231399999999999	93.0519	6206.634661	44.950306	44.6378	97.61751048593862	96.56834784809327	4.604839623883052	150.0	150.0						
GW_Mock3_R1																								54.732937723821294	44.0	148.86478770578336	150	27.27272727272727	22.475153
GW_Mock3_R2																								54.7977773382884	44.0	148.8658201347951	150	27.27272727272727	22.475153
GW_P1			67.43539743122209	14.314499	IU	100.0	0.0	21.226981	19.413242	91.44999999999999	16.349176	77.02	3.064066	16.711000000000002	93.3944	5910.488281	42.453962	45.0512	97.39367197963608	96.78855503042567	2.861856447921547	150.0	150.0						
GW_P1_R1																								65.09609616863305	44.0	149.55477107177887	150	18.181818181818183	21.226981
GW_P1_R2																								65.16746135571341	45.0	149.55537805870745	150	27.27272727272727	21.226981
GW_P2			67.94304043445142	14.422737999999999	IU	100.0	0.0	21.22769	19.335797	91.09	16.431751	77.41	2.9040459999999997	15.994	93.3837	5907.9681	42.45538	45.0309	96.99673561099263	96.36072688846991	3.2806513223948897	150.0	150.0						
GW_P2_R1																								63.54311291058823	44.0	149.501490765128	150	18.181818181818183	21.22769
GW_P2_R2																								63.781170708515916	45.0	149.50330989853347	150	18.181818181818183	21.22769
GW_P3			66.98309641093797	12.897056	IU	100.0	0.0	19.254195	17.389073	90.31	14.708597999999999	76.39	2.680475	14.1843	93.1301	5325.057817999999	38.50839	45.118900000000004	97.03944492024011	96.05850897468017	4.998571940986462	150.0	150.0						
GW_P3_R1																								56.14056975090234	45.0	148.95874190014177	150	27.27272727272727	19.254195
GW_P3_R2																								55.71714300907832	45.0	148.96070718614826	150	27.27272727272727	19.254195
SFZ_Mock1			67.35153631051685	15.003468	IU	100.0	0.0	22.276356	20.201157	90.69	17.297057	77.65	2.9040999999999997	13.6512	93.3155	6171.028107	44.552712	44.4733	97.96229285974215	96.93866978016078	4.375475077205199	150.0	150.0						
SFZ_Mock1_R1																								52.486896985961614	44.0	148.9102703557081	150	27.27272727272727	22.276356
SFZ_Mock1_R2																								51.92925133421824	44.0	148.91120349755587	150	27.27272727272727	22.276356
SFZ_Mock2			67.37200178935207	15.072695999999999	IU	100.0	0.0	22.372344	20.228977999999998	90.42	17.233181	77.03	2.995797	15.3033	93.35759999999999	6215.428038	44.744688	44.5784	95.2485571483194	94.48157847348723	4.228086218458394	150.0	150.0						
SFZ_Mock2_R1																								53.18246534895373	44.0	149.2764912786966	150	27.27272727272727	22.372344
SFZ_Mock2_R2																								52.01569998177225	44.0	149.27893016038016	150	27.27272727272727	22.372344
SFZ_Mock3			67.3866778209346	15.354659	IU	100.0	0.0	22.785897	20.652839	90.64	17.657194	77.49	2.9956449999999997	14.248	93.90230000000001	6369.083462	45.571794	44.5713	97.7264159221781	96.96731578584541	3.2647443991908394	150.0	150.0						
SFZ_Mock3_R1																								53.233868531520805	44.0	149.3197236430938	150	27.27272727272727	22.785897
SFZ_Mock3_R2																								52.94284871706369	44.0	149.3194842186814	150	27.27272727272727	22.785897
SFZ_P1			71.9558793300588	15.955501	IU	100.0	0.0	22.174006	20.462643999999997	92.29	17.962249	81.01	2.5003949999999997	12.5662	93.6831	6183.613953	44.348012	44.7112	97.40245119039916	96.64639158220021	3.3132088871740017	150.0	150.0						
SFZ_P1_R1																								50.93411788998278	44.0	149.32120950540016	150	27.27272727272727	22.174006
SFZ_P1_R2																								50.84210424067295	44.0	149.32099659844954	150	27.27272727272727	22.174006
SFZ_P2			70.81040631223324	15.977521999999999	IU	100.0	0.0	22.563805	20.720451	91.83	18.106136	80.24	2.614315	12.420200000000001	93.5009	6264.74641	45.12761	44.7972	97.21235434769468	96.22226286415042	4.376039196511664	150.0	150.0						
SFZ_P2_R1																								51.70366953630435	44.0	148.95198640034337	150	27.27272727272727	22.563805
SFZ_P2_R2																								51.07175892634787	44.0	148.95252272389342	150	27.27272727272727	22.563805
SFZ_P3			71.69460203610629	15.631706	IU	100.0	0.0	21.803183999999998	20.002627	91.74	17.593736	80.69	2.4088909999999997	13.198099999999998	93.5126	6071.933445	43.606367999999996	44.7673	97.94689268430082	97.23133158522165	2.9384695831710483	150.0	150.0						
SFZ_P3_R1																								57.2187285415266	44.0	149.39032294549273	150	27.27272727272727	21.803183999999998
SFZ_P3_R2																								57.77068714031237	44.0	149.39057082213313	150	27.27272727272727	21.803183999999998
STARpass1								22.475153	21.303905	94.78	18.363208999999998	81.7	2.940696																
results/alignment/PRJNA1090613/GW_Mock1/Aligned.out.bam	12.221283	47.25875776806785																											
results/alignment/PRJNA1090613/GW_Mock2/Aligned.out.bam	12.819450999999999	47.42847658869725																											
