Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
GW_Mock1_R1	GW_Mock1_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20884749.0	3.1 Gbp	0.0	30-150	44.0	46.23992140783079	149.1897176738873	150	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
GW_Mock1_R2	GW_Mock1_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20884749.0	3.1 Gbp	0.0	30-150	44.0	47.45467670537649	149.19034605108254	150	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
GW_Mock2_R1	GW_Mock2_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21863949.0	3.2 Gbp	0.0	30-150	44.0	45.089222529452435	149.14554806636258	150	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
GW_Mock2_R2	GW_Mock2_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21863949.0	3.2 Gbp	0.0	30-150	44.0	45.75668405627572	149.14522081532482	150	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
GW_Mock3_R1	GW_Mock3_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22475153.0	3.3 Gbp	0.0	30-150	44.0	45.267062276178706	148.86478770578336	150	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
GW_Mock3_R2	GW_Mock3_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22475153.0	3.3 Gbp	0.0	30-150	44.0	45.2022226617116	148.8658201347951	150	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
GW_P1_R1	GW_P1_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21226981.0	3.1 Gbp	0.0	30-150	44.0	34.90390383136695	149.55477107177887	150	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass
GW_P1_R2	GW_P1_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21226981.0	3.1 Gbp	0.0	30-150	45.0	34.83253864428658	149.55537805870745	150	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
GW_P2_R1	GW_P2_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21227690.0	3.1 Gbp	0.0	30-150	44.0	36.45688708941177	149.501490765128	150	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass
GW_P2_R2	GW_P2_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21227690.0	3.1 Gbp	0.0	30-150	45.0	36.218829291484084	149.50330989853347	150	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
GW_P3_R1	GW_P3_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19254195.0	2.8 Gbp	0.0	30-150	45.0	43.85943024909766	148.95874190014177	150	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
