Sample	Assigned	Unassigned: Singleton	Unassigned: Multi Mapping	Unassigned: No Features	Unassigned: Ambiguity
results/alignment/PRJNA1090613/GW_Mock1/Aligned.out.bam	12221283.0	0.0	9819821.0	1963487.0	1855765.0
results/alignment/PRJNA1090613/GW_Mock2/Aligned.out.bam	12819451.0	1.0	10179390.0	2099409.0	1930766.0
results/alignment/PRJNA1090613/GW_Mock3/Aligned.out.bam	13049679.0	1.0	10425311.0	2237122.0	1969379.0
results/alignment/PRJNA1090613/GW_P1/Aligned.out.bam	12330849.0	1.0	11278066.0	2210975.0	1807351.0
results/alignment/PRJNA1090613/GW_P2/Aligned.out.bam	12463770.0	2.0	9856874.0	2158619.0	1809360.0
results/alignment/PRJNA1090613/GW_P3/Aligned.out.bam	11119928.0	1.0	9417976.0	1975257.0	1613412.0
results/alignment/PRJNA1090613/SFZ_Mock1/Aligned.out.bam	12905209.0	0.0	9867062.0	2539247.0	1852601.0
results/alignment/PRJNA1090613/SFZ_Mock2/Aligned.out.bam	12925778.0	2.0	10162297.0	2446958.0	1860443.0
results/alignment/PRJNA1090613/SFZ_Mock3/Aligned.out.bam	13195805.0	1.0	10200978.0	2561926.0	1899462.0
results/alignment/PRJNA1090613/SFZ_P1/Aligned.out.bam	13826321.0	2.0	8184745.0	2251509.0	1884417.0
results/alignment/PRJNA1090613/SFZ_P2/Aligned.out.bam	13833326.0	6.0	8682125.0	2368339.0	1904465.0
results/alignment/PRJNA1090613/SFZ_P3/Aligned.out.bam	13527183.0	0.0	7785092.0	2212162.0	1854391.0
