Sample	salmon_version	samp_type	opt_type	quant_errors	num_libraries	library_types	frag_dist_length	frag_length_mean	frag_length_sd	frag_length_source	seq_bias_correct	gc_bias_correct	pos_bias_correct	num_bias_bins	mapping_type	keep_duplicates	index_seq_hash	index_name_hash	index_seq_hash512	index_name_hash512	index_decoy_seq_hash	index_decoy_name_hash	num_valid_targets	num_decoy_targets	num_eq_classes	serialized_eq_classes	eq_class_properties	length_classes	num_processed	num_mapped	num_dovetail_fragments	num_fragments_filtered_vm	num_alignments_below_threshold_for_mapped_fragments_vm	percent_mapped	num_decoy_fragments	inference_truncated_mass	num_bootstraps	num_orphan	range_factorization_bins	meta_info_complete	num_em_iterations	em_converged	detected_library_type	total_time_seconds	peak_rss_kb	diagnostics	call	start_time	end_time
GW_Mock1	2.5.1	none	vb	[]	1	['IU']	1001	297.3421734459597	100.11168558534072	rad_baked	True	True	False	0	mapping	False	d9b37b2be3805d428c012d6c8292420f637a14558b2d1a7a69e23e63a59a792d	daef0f53b5572211df58ac2d3e309c6fd2947ad6a2d6ba07689c6879c38578a8	11d5016f56f9350dfde25f01116ed6871cba697f29e444fb9280b858fb19d5d5ad23759b3bdf2d96c48e9fa11be5ae884bf29cc969a397178e8c071367671e1b	84b563b021e4e53b71b0cb7374a0e836348ce580497e25226378eee3b76f48e84398914bd014bf9368094d4e9d02ed7fbd132272cae5bf796e27695a93179aa1	15f0c392eb01b3ccec413eb855548d5aae8523658e473d24ad6d40071692162a	3646b314b8380d6b00a24c7ebcc307b59f95e423d5574cc6cddeecb8c9c0bacf	59539	0	109739	False	['range_factorized', 'gzipped']	[1044, 1976, 2872, 4168, 34608567]	20884749	14432690	89960	514188	9210331	69.106360818605	0	0.0	30	1367013	4	True	1658	True	IU	66.146643765	2562408	[]	quant	Wed Aug 26 03:12:16 2026	Wed Aug 26 03:13:22 2026
GW_Mock2	2.5.1	none	vb	[]	1	['IU']	1001	287.7331716213007	91.40515624971331	rad_baked	True	True	False	0	mapping	False	d9b37b2be3805d428c012d6c8292420f637a14558b2d1a7a69e23e63a59a792d	daef0f53b5572211df58ac2d3e309c6fd2947ad6a2d6ba07689c6879c38578a8	11d5016f56f9350dfde25f01116ed6871cba697f29e444fb9280b858fb19d5d5ad23759b3bdf2d96c48e9fa11be5ae884bf29cc969a397178e8c071367671e1b	84b563b021e4e53b71b0cb7374a0e836348ce580497e25226378eee3b76f48e84398914bd014bf9368094d4e9d02ed7fbd132272cae5bf796e27695a93179aa1	15f0c392eb01b3ccec413eb855548d5aae8523658e473d24ad6d40071692162a	3646b314b8380d6b00a24c7ebcc307b59f95e423d5574cc6cddeecb8c9c0bacf	59539	0	108258	False	['range_factorized', 'gzipped']	[1044, 1976, 2872, 4168, 34608567]	21863949	15068972	94385	535481	9699745	68.92154752098992	0	0.0	30	1361980	4	True	1382	True	IU	65.626794728	2493376	[]	quant	Wed Aug 26 10:21:17 2026	Wed Aug 26 10:22:23 2026
GW_Mock3	2.5.1	none	vb	[]	1	['IU']	1001	266.6967499712967	95.21022933301126	rad_baked	True	True	False	0	mapping	False	d9b37b2be3805d428c012d6c8292420f637a14558b2d1a7a69e23e63a59a792d	daef0f53b5572211df58ac2d3e309c6fd2947ad6a2d6ba07689c6879c38578a8	11d5016f56f9350dfde25f01116ed6871cba697f29e444fb9280b858fb19d5d5ad23759b3bdf2d96c48e9fa11be5ae884bf29cc969a397178e8c071367671e1b	84b563b021e4e53b71b0cb7374a0e836348ce580497e25226378eee3b76f48e84398914bd014bf9368094d4e9d02ed7fbd132272cae5bf796e27695a93179aa1	15f0c392eb01b3ccec413eb855548d5aae8523658e473d24ad6d40071692162a	3646b314b8380d6b00a24c7ebcc307b59f95e423d5574cc6cddeecb8c9c0bacf	59539	0	107810	False	['range_factorized', 'gzipped']	[1044, 1976, 2872, 4168, 34608567]	22475153	15317562	146010	624554	9669986	68.15331579722728	0	0.0	30	1342534	4	True	1222	True	IU	66.475772838	2403352	[]	quant	Wed Aug 26 20:35:17 2026	Wed Aug 26 20:36:23 2026
GW_P1	2.5.1	none	vb	[]	1	['IU']	1001	265.60064287874025	83.21823027096333	rad_baked	True	True	False	0	mapping	False	d9b37b2be3805d428c012d6c8292420f637a14558b2d1a7a69e23e63a59a792d	daef0f53b5572211df58ac2d3e309c6fd2947ad6a2d6ba07689c6879c38578a8	11d5016f56f9350dfde25f01116ed6871cba697f29e444fb9280b858fb19d5d5ad23759b3bdf2d96c48e9fa11be5ae884bf29cc969a397178e8c071367671e1b	84b563b021e4e53b71b0cb7374a0e836348ce580497e25226378eee3b76f48e84398914bd014bf9368094d4e9d02ed7fbd132272cae5bf796e27695a93179aa1	15f0c392eb01b3ccec413eb855548d5aae8523658e473d24ad6d40071692162a	3646b314b8380d6b00a24c7ebcc307b59f95e423d5574cc6cddeecb8c9c0bacf	59539	0	88624	False	['range_factorized', 'gzipped']	[1044, 1976, 2872, 4168, 34608567]	21226981	14314499	106339	556624	9136195	67.43539743122209	0	0.0	30	1164844	4	True	1283	True	IU	55.604557003	2536852	[]	quant	Wed Aug 26 23:14:28 2026	Wed Aug 26 23:15:23 2026
GW_P2	2.5.1	none	vb	[]	1	['IU']	1001	267.0183109041528	85.31125041816556	rad_baked	True	True	False	0	mapping	False	d9b37b2be3805d428c012d6c8292420f637a14558b2d1a7a69e23e63a59a792d	daef0f53b5572211df58ac2d3e309c6fd2947ad6a2d6ba07689c6879c38578a8	11d5016f56f9350dfde25f01116ed6871cba697f29e444fb9280b858fb19d5d5ad23759b3bdf2d96c48e9fa11be5ae884bf29cc969a397178e8c071367671e1b	84b563b021e4e53b71b0cb7374a0e836348ce580497e25226378eee3b76f48e84398914bd014bf9368094d4e9d02ed7fbd132272cae5bf796e27695a93179aa1	15f0c392eb01b3ccec413eb855548d5aae8523658e473d24ad6d40071692162a	3646b314b8380d6b00a24c7ebcc307b59f95e423d5574cc6cddeecb8c9c0bacf	59539	0	92997	False	['range_factorized', 'gzipped']	[1044, 1976, 2872, 4168, 34608567]	21227690	14422738	115322	575439	9128208	67.94304043445142	0	0.0	30	1188968	4	True	1163	True	IU	57.59139642	2581360	[]	quant	Wed Aug 26 07:59:06 2026	Wed Aug 26 08:00:04 2026
GW_P3	2.5.1	none	vb	[]	1	['IU']	1001	255.58834980542548	90.64376555946802	rad_baked	True	True	False	0	mapping	False	d9b37b2be3805d428c012d6c8292420f637a14558b2d1a7a69e23e63a59a792d	daef0f53b5572211df58ac2d3e309c6fd2947ad6a2d6ba07689c6879c38578a8	11d5016f56f9350dfde25f01116ed6871cba697f29e444fb9280b858fb19d5d5ad23759b3bdf2d96c48e9fa11be5ae884bf29cc969a397178e8c071367671e1b	84b563b021e4e53b71b0cb7374a0e836348ce580497e25226378eee3b76f48e84398914bd014bf9368094d4e9d02ed7fbd132272cae5bf796e27695a93179aa1	15f0c392eb01b3ccec413eb855548d5aae8523658e473d24ad6d40071692162a	3646b314b8380d6b00a24c7ebcc307b59f95e423d5574cc6cddeecb8c9c0bacf	59539	0	90483	False	['range_factorized', 'gzipped']	[1044, 1976, 2872, 4168, 34608567]	19254195	12897056	142797	584989	7987121	66.98309641093797	0	0.0	30	1044879	4	True	1449	True	IU	59.411148994	2388688	[]	quant	Wed Aug 26 15:46:21 2026	Wed Aug 26 15:47:20 2026
SFZ_Mock1	2.5.1	none	vb	[]	1	['IU']	1001	268.31201512887105	94.05685830669073	rad_baked	True	True	False	0	mapping	False	d9b37b2be3805d428c012d6c8292420f637a14558b2d1a7a69e23e63a59a792d	daef0f53b5572211df58ac2d3e309c6fd2947ad6a2d6ba07689c6879c38578a8	11d5016f56f9350dfde25f01116ed6871cba697f29e444fb9280b858fb19d5d5ad23759b3bdf2d96c48e9fa11be5ae884bf29cc969a397178e8c071367671e1b	84b563b021e4e53b71b0cb7374a0e836348ce580497e25226378eee3b76f48e84398914bd014bf9368094d4e9d02ed7fbd132272cae5bf796e27695a93179aa1	15f0c392eb01b3ccec413eb855548d5aae8523658e473d24ad6d40071692162a	3646b314b8380d6b00a24c7ebcc307b59f95e423d5574cc6cddeecb8c9c0bacf	59539	0	111922	False	['range_factorized', 'gzipped']	[1044, 1976, 2872, 4168, 34608567]	22276356	15003468	131674	659896	9391044	67.35153631051685	0	0.0	30	1269461	4	True	1472	True	IU	66.097202311	2658616	[]	quant	Thu Aug 27 03:49:10 2026	Thu Aug 27 03:50:17 2026
SFZ_Mock2	2.5.1	none	vb	[]	1	['IU']	1001	293.36783974708277	97.01889903812314	rad_baked	True	True	False	0	mapping	False	d9b37b2be3805d428c012d6c8292420f637a14558b2d1a7a69e23e63a59a792d	daef0f53b5572211df58ac2d3e309c6fd2947ad6a2d6ba07689c6879c38578a8	11d5016f56f9350dfde25f01116ed6871cba697f29e444fb9280b858fb19d5d5ad23759b3bdf2d96c48e9fa11be5ae884bf29cc969a397178e8c071367671e1b	84b563b021e4e53b71b0cb7374a0e836348ce580497e25226378eee3b76f48e84398914bd014bf9368094d4e9d02ed7fbd132272cae5bf796e27695a93179aa1	15f0c392eb01b3ccec413eb855548d5aae8523658e473d24ad6d40071692162a	3646b314b8380d6b00a24c7ebcc307b59f95e423d5574cc6cddeecb8c9c0bacf	59539	0	115798	False	['range_factorized', 'gzipped']	[1044, 1976, 2872, 4168, 34608567]	22372344	15072696	84411	605047	9620009	67.37200178935207	0	0.0	30	1370101	4	True	1608	True	IU	67.725134004	2581848	[]	quant	Wed Aug 26 17:53:09 2026	Wed Aug 26 17:54:17 2026
SFZ_Mock3	2.5.1	none	vb	[]	1	['IU']	1001	274.8610930941406	87.52884846977435	rad_baked	True	True	False	0	mapping	False	d9b37b2be3805d428c012d6c8292420f637a14558b2d1a7a69e23e63a59a792d	daef0f53b5572211df58ac2d3e309c6fd2947ad6a2d6ba07689c6879c38578a8	11d5016f56f9350dfde25f01116ed6871cba697f29e444fb9280b858fb19d5d5ad23759b3bdf2d96c48e9fa11be5ae884bf29cc969a397178e8c071367671e1b	84b563b021e4e53b71b0cb7374a0e836348ce580497e25226378eee3b76f48e84398914bd014bf9368094d4e9d02ed7fbd132272cae5bf796e27695a93179aa1	15f0c392eb01b3ccec413eb855548d5aae8523658e473d24ad6d40071692162a	3646b314b8380d6b00a24c7ebcc307b59f95e423d5574cc6cddeecb8c9c0bacf	59539	0	113155	False	['range_factorized', 'gzipped']	[1044, 1976, 2872, 4168, 34608567]	22785897	15354659	94901	623673	9801293	67.3866778209346	0	0.0	30	1316008	4	True	1514	True	IU	64.814285868	2392724	[]	quant	Wed Aug 26 00:23:33 2026	Wed Aug 26 00:24:38 2026
SFZ_P1	2.5.1	none	vb	[]	1	['IU']	1001	280.8062637035038	88.38950938468797	rad_baked	True	True	False	0	mapping	False	d9b37b2be3805d428c012d6c8292420f637a14558b2d1a7a69e23e63a59a792d	daef0f53b5572211df58ac2d3e309c6fd2947ad6a2d6ba07689c6879c38578a8	11d5016f56f9350dfde25f01116ed6871cba697f29e444fb9280b858fb19d5d5ad23759b3bdf2d96c48e9fa11be5ae884bf29cc969a397178e8c071367671e1b	84b563b021e4e53b71b0cb7374a0e836348ce580497e25226378eee3b76f48e84398914bd014bf9368094d4e9d02ed7fbd132272cae5bf796e27695a93179aa1	15f0c392eb01b3ccec413eb855548d5aae8523658e473d24ad6d40071692162a	3646b314b8380d6b00a24c7ebcc307b59f95e423d5574cc6cddeecb8c9c0bacf	59539	0	111576	False	['range_factorized', 'gzipped']	[1044, 1976, 2872, 4168, 34608567]	22174006	15955501	93462	570022	10123121	71.9558793300588	0	0.0	30	1342314	4	True	1188	True	IU	62.498541012	2620976	[]	quant	Thu Aug 27 01:32:15 2026	Thu Aug 27 01:33:17 2026
