Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
results/alignment/PRJNA1090613/GW_Mock1/Aligned.out.bam	25860356	12221283	0	0	0	0	0	0	0	9819821	0	0	1963487	0	1855765	47.25875776806785
results/alignment/PRJNA1090613/GW_Mock2/Aligned.out.bam	27029017	12819451	0	0	1	0	0	0	0	10179390	0	0	2099409	0	1930766	47.42847658869725
results/alignment/PRJNA1090613/GW_Mock3/Aligned.out.bam	27681492	13049679	0	0	1	0	0	0	0	10425311	0	0	2237122	0	1969379	47.14225302595684
results/alignment/PRJNA1090613/GW_P1/Aligned.out.bam	27627242	12330849	0	0	1	0	0	0	0	11278066	0	0	2210975	0	1807351	44.632935129753456
results/alignment/PRJNA1090613/GW_P2/Aligned.out.bam	26288625	12463770	0	0	2	0	0	0	0	9856874	0	0	2158619	0	1809360	47.41126627961714
results/alignment/PRJNA1090613/GW_P3/Aligned.out.bam	24126574	11119928	0	0	1	0	0	0	0	9417976	0	0	1975257	0	1613412	46.089958731811656
results/alignment/PRJNA1090613/SFZ_Mock1/Aligned.out.bam	27164119	12905209	0	0	0	0	0	0	0	9867062	0	0	2539247	0	1852601	47.508292096644105
results/alignment/PRJNA1090613/SFZ_Mock2/Aligned.out.bam	27395478	12925778	0	0	2	0	0	0	0	10162297	0	0	2446958	0	1860443	47.1821590409921
results/alignment/PRJNA1090613/SFZ_Mock3/Aligned.out.bam	27858172	13195805	0	0	1	0	0	0	0	10200978	0	0	2561926	0	1899462	47.367806473447
results/alignment/PRJNA1090613/SFZ_P1/Aligned.out.bam	26146994	13826321	0	0	2	0	0	0	0	8184745	0	0	2251509	0	1884417	52.879199039094125
results/alignment/PRJNA1090613/SFZ_P2/Aligned.out.bam	26788261	13833326	0	0	6	0	0	0	0	8682125	0	0	2368339	0	1904465	51.63950732001603
results/alignment/PRJNA1090613/SFZ_P3/Aligned.out.bam	25378828	13527183	0	0	0	0	0	0	0	7785092	0	0	2212162	0	1854391	53.301054721675875
