Sample	Overlapping Genes	No Feature	Ambiguous Features	Multimapping	Unmapped
GW_Mock1	11888121.0	1963487.0	2188927.0	2860897.0	1983317.0
GW_Mock2	12480419.0	2099409.0	2269799.0	2964503.0	2049819.0
GW_Mock3	12741470.0	2237122.0	2277589.0	3042482.0	2176490.0
GW_P1	12026917.0	2210975.0	2111284.0	3064066.0	1813739.0
GW_P2	12158827.0	2158619.0	2114305.0	2904046.0	1891893.0
GW_P3	10869481.0	1975257.0	1863860.0	2680475.0	1865122.0
SFZ_Mock1	12626695.0	2539247.0	2131115.0	2904100.0	2075199.0
SFZ_Mock2	12609350.0	2446958.0	2176873.0	2995797.0	2143366.0
SFZ_Mock3	12896429.0	2561926.0	2198839.0	2995645.0	2133058.0
SFZ_P1	13498129.0	2251509.0	2212611.0	2500395.0	1711362.0
SFZ_P2	13513139.0	2368339.0	2224658.0	2614315.0	1843354.0
SFZ_P3	13194797.0	2212162.0	2186777.0	2408891.0	1800557.0
