Sample	Unique Reads	Duplicate Reads
GW_Mock1_R1	9657092.0	11227657.0
GW_Mock1_R2	9910791.0	10973958.0
GW_Mock2_R1	9858285.0	12005664.0
GW_Mock2_R2	10004219.0	11859730.0
GW_Mock3_R1	10173842.0	12301311.0
GW_Mock3_R2	10159269.0	12315884.0
GW_P1_R1	7409046.0	13817935.0
GW_P1_R2	7393897.0	13833084.0
GW_P2_R1	7738955.0	13488735.0
GW_P2_R2	7688421.0	13539269.0
GW_P3_R1	8444781.0	10809414.0
GW_P3_R2	8526308.0	10727887.0
SFZ_Mock1_R1	10584188.0	11692168.0
SFZ_Mock1_R2	10708412.0	11567944.0
SFZ_Mock2_R1	10474180.0	11898164.0
SFZ_Mock2_R2	10735213.0	11637131.0
SFZ_Mock3_R1	10656083.0	12129814.0
SFZ_Mock3_R2	10722395.0	12063502.0
SFZ_P1_R1	10879872.0	11294134.0
SFZ_P1_R2	10900275.0	11273731.0
SFZ_P2_R1	10897490.0	11666315.0
SFZ_P2_R2	11040073.0	11523732.0
SFZ_P3_R1	9327680.0	12475504.0
SFZ_P3_R2	9207335.0	12595849.0
