Sample	Overlapping Genes	No Feature	Ambiguous Features	Multimapping	Unmapped
GW_Mock1	7931406.0	7976200.0	132929.0	2860897.0	1983317.0
GW_Mock2	8298259.0	8415092.0	136276.0	2964503.0	2049819.0
GW_Mock3	8451074.0	8674365.0	130742.0	3042482.0	2176490.0
GW_P1	7999844.0	8209499.0	139833.0	3064066.0	1813739.0
GW_P2	8062967.0	8228829.0	139955.0	2904046.0	1891893.0
GW_P3	7175657.0	7410260.0	122681.0	2680475.0	1865122.0
SFZ_Mock1	8258411.0	8916024.0	122622.0	2904100.0	2075199.0
SFZ_Mock2	8312230.0	8788440.0	132511.0	2995797.0	2143366.0
SFZ_Mock3	8506322.0	9023451.0	127421.0	2995645.0	2133058.0
SFZ_P1	8753125.0	9062298.0	146826.0	2500395.0	1711362.0
SFZ_P2	8764284.0	9195796.0	146056.0	2614315.0	1843354.0
SFZ_P3	8578069.0	8867041.0	148626.0	2408891.0	1800557.0
