Sample	Uniquely mapped	Mapped to multiple loci	Mapped to too many loci	Unmapped: too short	Unmapped: other
GW_Mock1	16040535.0	2860897.0	5134.0	1128003.0	850180.0
GW_Mock2	16849627.0	2964503.0	6876.0	1117713.0	925230.0
GW_Mock3	17256181.0	3042482.0	14417.0	1188915.0	973158.0
GW_P1	16349176.0	3064066.0	30299.0	906582.0	876858.0
GW_P2	16431751.0	2904046.0	3257.0	976149.0	912487.0
GW_P3	14708598.0	2680475.0	17292.0	1014382.0	833448.0
SFZ_Mock1	17297057.0	2904100.0	9486.0	1139704.0	926009.0
SFZ_Mock2	17233181.0	2995797.0	14415.0	1149455.0	979496.0
SFZ_Mock3	17657194.0	2995645.0	12310.0	1157186.0	963562.0
SFZ_P1	17962249.0	2500395.0	12358.0	1062432.0	636572.0
SFZ_P2	18106136.0	2614315.0	32017.0	1116578.0	694759.0
SFZ_P3	17593736.0	2408891.0	7645.0	1088398.0	704514.0
STARpass1	18363209.0	2940696.0	6975.0	1141797.0	22476.0
