Sample	Passed Filter	Low Quality	Too Many N	Low Complexity	Too Short	Too Long
GW_Mock1	41769498.0	891690.0	1774.0	nan	243298.0	0.0
GW_Mock2	43727898.0	858246.0	2070.0	nan	321182.0	0.0
GW_Mock3	44950306.0	830538.0	1926.0	nan	264540.0	0.0
GW_P1	42453962.0	886490.0	1910.0	nan	247628.0	0.0
GW_P2	42455380.0	868044.0	1918.0	nan	444460.0	0.0
GW_P3	38508390.0	796866.0	1490.0	nan	376410.0	0.0
SFZ_Mock1	44552712.0	762174.0	1914.0	nan	162568.0	0.0
SFZ_Mock2	44744688.0	1097132.0	2246.0	nan	1132518.0	0.0
SFZ_Mock3	45571794.0	851780.0	2318.0	nan	206050.0	0.0
SFZ_P1	44348012.0	839118.0	2124.0	nan	341370.0	0.0
SFZ_P2	45127610.0	869256.0	2122.0	nan	422576.0	0.0
SFZ_P3	43606368.0	779826.0	2130.0	nan	132034.0	0.0
