Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
GW_Mock1_R1	(30, 2969.0)	(35, 3631.0)	(40, 7360.0)	(45, 11432.0)	(50, 14572.0)	(55, 17167.0)	(60, 20770.0)	(65, 19027.0)	(70, 22643.0)	(75, 21071.0)	(80, 23733.0)	(85, 23178.0)	(90, 24655.0)	(95, 25562.0)	(100, 27416.0)	(105, 28374.0)	(110, 30138.0)	(115, 33382.0)	(120, 35685.0)	(125, 39258.0)	(130, 40447.0)	(135, 46040.0)	(140, 62691.0)	(145, 66694.0)	(150, 20236854.0)
GW_Mock1_R2	(30, 2980.0)	(35, 3637.0)	(40, 7379.0)	(45, 11464.0)	(50, 14584.0)	(55, 17176.0)	(60, 20768.0)	(65, 19027.0)	(70, 22647.0)	(75, 21052.0)	(80, 23714.0)	(85, 23144.0)	(90, 24617.0)	(95, 25500.0)	(100, 27351.0)	(105, 28296.0)	(110, 30053.0)	(115, 33123.0)	(120, 34889.0)	(125, 38941.0)	(130, 40017.0)	(135, 45451.0)	(140, 63021.0)	(145, 80833.0)	(150, 20225085.0)
GW_Mock2_R1	(30, 2744.0)	(35, 3731.0)	(40, 8202.0)	(45, 12244.0)	(50, 16187.0)	(55, 18801.0)	(60, 22711.0)	(65, 21412.0)	(70, 24792.0)	(75, 23242.0)	(80, 25697.0)	(85, 25104.0)	(90, 26879.0)	(95, 27130.0)	(100, 29207.0)	(105, 30366.0)	(110, 32199.0)	(115, 35477.0)	(120, 38006.0)	(125, 41974.0)	(130, 43664.0)	(135, 49264.0)	(140, 66579.0)	(145, 71746.0)	(150, 21166591.0)
GW_Mock2_R2	(30, 2776.0)	(35, 3751.0)	(40, 8213.0)	(45, 12281.0)	(50, 16211.0)	(55, 18808.0)	(60, 22719.0)	(65, 21414.0)	(70, 24787.0)	(75, 23207.0)	(80, 25673.0)	(85, 25066.0)	(90, 26854.0)	(95, 27067.0)	(100, 29144.0)	(105, 30280.0)	(110, 32100.0)	(115, 35374.0)	(120, 37440.0)	(125, 41706.0)	(130, 43327.0)	(135, 48840.0)	(140, 66844.0)	(145, 86096.0)	(150, 21153971.0)
GW_Mock3_R1	(30, 2699.0)	(35, 3497.0)	(40, 7848.0)	(45, 12433.0)	(50, 16366.0)	(55, 19647.0)	(60, 24492.0)	(65, 23270.0)	(70, 27947.0)	(75, 26922.0)	(80, 30638.0)	(85, 30572.0)	(90, 34165.0)	(95, 35480.0)	(100, 39156.0)	(105, 41918.0)	(110, 45656.0)	(115, 53439.0)	(120, 59014.0)	(125, 66707.0)	(130, 70409.0)	(135, 82081.0)	(140, 104353.0)	(145, 117100.0)	(150, 21499344.0)
GW_Mock3_R2	(30, 2703.0)	(35, 3520.0)	(40, 7884.0)	(45, 12455.0)	(50, 16385.0)	(55, 19647.0)	(60, 24485.0)	(65, 23258.0)	(70, 27922.0)	(75, 26879.0)	(80, 30593.0)	(85, 30505.0)	(90, 34103.0)	(95, 35384.0)	(100, 39048.0)	(105, 41779.0)	(110, 45503.0)	(115, 53244.0)	(120, 58363.0)	(125, 66305.0)	(130, 69996.0)	(135, 81519.0)	(140, 104932.0)	(145, 131533.0)	(150, 21487208.0)
GW_P1_R1	(30, 2536.0)	(35, 2985.0)	(40, 5672.0)	(45, 8393.0)	(50, 9461.0)	(55, 11305.0)	(60, 12787.0)	(65, 12204.0)	(70, 14398.0)	(75, 13636.0)	(80, 15269.0)	(85, 16004.0)	(90, 17258.0)	(95, 17442.0)	(100, 19255.0)	(105, 21652.0)	(110, 24342.0)	(115, 27432.0)	(120, 30982.0)	(125, 36571.0)	(130, 39361.0)	(135, 47351.0)	(140, 66020.0)	(145, 74593.0)	(150, 20680072.0)
GW_P1_R2	(30, 2538.0)	(35, 2992.0)	(40, 5670.0)	(45, 8403.0)	(50, 9473.0)	(55, 11326.0)	(60, 12775.0)	(65, 12204.0)	(70, 14385.0)	(75, 13619.0)	(80, 15246.0)	(85, 15974.0)	(90, 17239.0)	(95, 17422.0)	(100, 19197.0)	(105, 21557.0)	(110, 24260.0)	(115, 27256.0)	(120, 30633.0)	(125, 36377.0)	(130, 39106.0)	(135, 46921.0)	(140, 65675.0)	(145, 84614.0)	(150, 20672119.0)
GW_P2_R1	(30, 2638.0)	(35, 3208.0)	(40, 5724.0)	(45, 8291.0)	(50, 9751.0)	(55, 11568.0)	(60, 13373.0)	(65, 12600.0)	(70, 14916.0)	(75, 14207.0)	(80, 16158.0)	(85, 16482.0)	(90, 18151.0)	(95, 18554.0)	(100, 20877.0)	(105, 23429.0)	(110, 26350.0)	(115, 29548.0)	(120, 34258.0)	(125, 40065.0)	(130, 43118.0)	(135, 51385.0)	(140, 71671.0)	(145, 81415.0)	(150, 20639953.0)
GW_P2_R2	(30, 2635.0)	(35, 3219.0)	(40, 5742.0)	(45, 8297.0)	(50, 9759.0)	(55, 11568.0)	(60, 13378.0)	(65, 12601.0)	(70, 14911.0)	(75, 14190.0)	(80, 16158.0)	(85, 16444.0)	(90, 18111.0)	(95, 18512.0)	(100, 20814.0)	(105, 23350.0)	(110, 26261.0)	(115, 29442.0)	(120, 33253.0)	(125, 39724.0)	(130, 42556.0)	(135, 50720.0)	(140, 71578.0)	(145, 91568.0)	(150, 20632899.0)
