Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other	mapped_percent	mapped
GW_Mock1	20884749.0	297.0	16040535.0	76.81	293.19	15653982.0	15273140.0	15074798.0	463550.0	10309.0	105325.0	1.33	0.05	3.02	0.05	2.45	2860897.0	13.7	5134.0	0.02	0.0	5.4	4.07	0	1128003	850180	90.51	18901432.0
GW_Mock2	21863949.0	297.0	16849627.0	77.07	293.26	16559434.0	16144747.0	15954023.0	496702.0	10360.0	98349.0	1.3	0.05	3.0	0.05	2.43	2964503.0	13.56	6876.0	0.03	0.0	5.11	4.23	0	1117713	925230	90.63	19814130.0
GW_Mock3	22475153.0	296.0	17256181.0	76.78	292.63	16835779.0	16373390.0	16142733.0	551857.0	11336.0	129853.0	1.32	0.05	2.97	0.05	2.42	3042482.0	13.54	14417.0	0.06	0.0	5.29	4.33	0	1188915	973158	90.32	20298663.0
GW_P1	21226981.0	298.0	16349176.0	77.02	294.03	16286473.0	15767613.0	15564202.0	610126.0	11223.0	100922.0	1.3	0.05	3.02	0.05	2.25	3064066.0	14.43	30299.0	0.14	0.0	4.27	4.13	0	906582	876858	91.44999999999999	19413242.0
GW_P2	21227690.0	298.0	16431751.0	77.41	293.78	16129664.0	15641002.0	15437822.0	583050.0	9905.0	98887.0	1.31	0.05	3.03	0.05	2.26	2904046.0	13.68	3257.0	0.02	0.0	4.6	4.3	0	976149	912487	91.09	19335797.0
GW_P3	19254195.0	296.0	14708598.0	76.39	292.8	14461669.0	14014973.0	13816891.0	525745.0	16636.0	102397.0	1.31	0.05	2.98	0.05	2.26	2680475.0	13.92	17292.0	0.09	0.0	5.27	4.33	0	1014382	833448	90.31	17389073.0
SFZ_Mock1	22276356.0	296.0	17297057.0	77.65	292.54	16738255.0	16301963.0	16105851.0	521302.0	11468.0	99634.0	1.27	0.05	2.99	0.05	2.28	2904100.0	13.04	9486.0	0.04	0.0	5.12	4.16	0	1139704	926009	90.69	20201157.0
SFZ_Mock2	22372344.0	297.0	17233181.0	77.03	293.48	16897320.0	16526356.0	16331226.0	459561.0	11415.0	95118.0	1.28	0.05	2.99	0.05	2.3	2995797.0	13.39	14415.0	0.06	0.0	5.14	4.38	0	1149455	979496	90.42	20228978.0
SFZ_Mock3	22785897.0	297.0	17657194.0	77.49	293.35	17048499.0	16619551.0	16421795.0	516864.0	11229.0	98611.0	1.25	0.05	3.0	0.05	2.3	2995645.0	13.15	12310.0	0.05	0.0	5.08	4.23	0	1157186	963562	90.64	20652839.0
SFZ_P1	22174006.0	297.0	17962249.0	81.01	293.54	17900587.0	17569072.0	17362325.0	438094.0	13076.0	87092.0	1.23	0.05	3.01	0.04	2.23	2500395.0	11.28	12358.0	0.06	0.0	4.79	2.87	0	1062432	636572	92.29	20462644.0
SFZ_P2	22563805.0	296.0	18106136.0	80.24	292.67	17837069.0	17518558.0	17303869.0	423303.0	12518.0	97379.0	1.25	0.05	2.98	0.05	2.23	2614315.0	11.59	32017.0	0.14	0.0	4.95	3.08	0	1116578	694759	91.83	20720451.0
SFZ_P3	21803184.0	297.0	17593736.0	80.69	293.53	17467117.0	17157622.0	16947796.0	415623.0	11218.0	92480.0	1.25	0.05	3.01	0.04	2.25	2408891.0	11.05	7645.0	0.04	0.0	4.99	3.23	0	1088398	704514	91.74	20002627.0
STARpass1	22475153.0	296.0	18363209.0	81.7	292.69	16996157.0	13692135.0	15935281.0	986347.0	10225.0	64304.0	1.32	0.06	3.53	0.05	2.38	2940696.0	13.08	6975.0	0.03	0.0	5.08	0.1	0	1141797	22476	94.78	21303905.0
