.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
GW_Mock1_R1	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.5	1
GW_Mock1_R2	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.5	1
GW_Mock2_R1	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.5	1
GW_Mock2_R2	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.5	1
GW_Mock3_R1	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.5	1
GW_Mock3_R2	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.5	1
GW_P1_R1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	0.5	1
GW_P1_R2	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.5	1
GW_P2_R1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	0.5	1
GW_P2_R2	1	1	0.25	1	0.5	0.5	1	0.5	0.25	0.5	1
GW_P3_R1	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.5	1
GW_P3_R2	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.5	1
SFZ_Mock1_R1	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.5	1
SFZ_Mock1_R2	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.5	1
SFZ_Mock2_R1	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.5	1
SFZ_Mock2_R2	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.5	1
SFZ_Mock3_R1	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.5	1
SFZ_Mock3_R2	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.5	1
SFZ_P1_R1	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.5	1
SFZ_P1_R2	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.5	1
SFZ_P2_R1	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.5	1
SFZ_P2_R2	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.5	1
SFZ_P3_R1	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.5	1
SFZ_P3_R2	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.5	1
