Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
GW_Mock1_R1	(19.0, 2.0)	(20.0, 1779.0)	(21.0, 15312.0)	(22.0, 27691.0)	(23.0, 32246.0)	(24.0, 38966.0)	(25.0, 44677.0)	(26.0, 53447.0)	(27.0, 60809.0)	(28.0, 72603.0)	(29.0, 83984.0)	(30.0, 103582.0)	(31.0, 123946.0)	(32.0, 158666.0)	(33.0, 202575.0)	(34.0, 287254.0)	(35.0, 424344.0)	(36.0, 738615.0)	(37.0, 1363185.0)	(38.0, 3236721.0)	(39.0, 8853822.0)	(40.0, 4960523.0)
GW_Mock1_R2	(19.0, 72.0)	(20.0, 4884.0)	(21.0, 32029.0)	(22.0, 47958.0)	(23.0, 51870.0)	(24.0, 59995.0)	(25.0, 65042.0)	(26.0, 73965.0)	(27.0, 80681.0)	(28.0, 94001.0)	(29.0, 105982.0)	(30.0, 127845.0)	(31.0, 150290.0)	(32.0, 190154.0)	(33.0, 238930.0)	(34.0, 338302.0)	(35.0, 499883.0)	(36.0, 866720.0)	(37.0, 1524451.0)	(38.0, 3215797.0)	(39.0, 9245088.0)	(40.0, 3870810.0)
GW_Mock2_R1	(19.0, 1.0)	(20.0, 1892.0)	(21.0, 16392.0)	(22.0, 28933.0)	(23.0, 34437.0)	(24.0, 41526.0)	(25.0, 47083.0)	(26.0, 56219.0)	(27.0, 63774.0)	(28.0, 76144.0)	(29.0, 87211.0)	(30.0, 107043.0)	(31.0, 126652.0)	(32.0, 162485.0)	(33.0, 204629.0)	(34.0, 287229.0)	(35.0, 422104.0)	(36.0, 721789.0)	(37.0, 1318884.0)	(38.0, 3147578.0)	(39.0, 9238234.0)	(40.0, 5673710.0)
GW_Mock2_R2	(19.0, 90.0)	(20.0, 4347.0)	(21.0, 28022.0)	(22.0, 41574.0)	(23.0, 45982.0)	(24.0, 53396.0)	(25.0, 58675.0)	(26.0, 67008.0)	(27.0, 73510.0)	(28.0, 85413.0)	(29.0, 96272.0)	(30.0, 115960.0)	(31.0, 136753.0)	(32.0, 172960.0)	(33.0, 217624.0)	(34.0, 309968.0)	(35.0, 460055.0)	(36.0, 808143.0)	(37.0, 1446084.0)	(38.0, 3159456.0)	(39.0, 9989764.0)	(40.0, 4492893.0)
GW_Mock3_R1	(19.0, 3.0)	(20.0, 1989.0)	(21.0, 18380.0)	(22.0, 32400.0)	(23.0, 38396.0)	(24.0, 46071.0)	(25.0, 52392.0)	(26.0, 62086.0)	(27.0, 70215.0)	(28.0, 84096.0)	(29.0, 96677.0)	(30.0, 119439.0)	(31.0, 142360.0)	(32.0, 181419.0)	(33.0, 229171.0)	(34.0, 324511.0)	(35.0, 472714.0)	(36.0, 805910.0)	(37.0, 1456299.0)	(38.0, 3420161.0)	(39.0, 9498422.0)	(40.0, 5322042.0)
GW_Mock3_R2	(19.0, 75.0)	(20.0, 4098.0)	(21.0, 27467.0)	(22.0, 41549.0)	(23.0, 45728.0)	(24.0, 52970.0)	(25.0, 58771.0)	(26.0, 67293.0)	(27.0, 73344.0)	(28.0, 84637.0)	(29.0, 95121.0)	(30.0, 115913.0)	(31.0, 135312.0)	(32.0, 172771.0)	(33.0, 216389.0)	(34.0, 306147.0)	(35.0, 454431.0)	(36.0, 796338.0)	(37.0, 1454200.0)	(38.0, 3336361.0)	(39.0, 10342699.0)	(40.0, 4593539.0)
GW_P1_R1	(19.0, 3.0)	(20.0, 1777.0)	(21.0, 14940.0)	(22.0, 26524.0)	(23.0, 31803.0)	(24.0, 38532.0)	(25.0, 44404.0)	(26.0, 53231.0)	(27.0, 59305.0)	(28.0, 70416.0)	(29.0, 81577.0)	(30.0, 100565.0)	(31.0, 118290.0)	(32.0, 151240.0)	(33.0, 190249.0)	(34.0, 266268.0)	(35.0, 391614.0)	(36.0, 674992.0)	(37.0, 1251813.0)	(38.0, 3165921.0)	(39.0, 9696784.0)	(40.0, 4796733.0)
GW_P1_R2	(19.0, 53.0)	(20.0, 3522.0)	(21.0, 24289.0)	(22.0, 36182.0)	(23.0, 40632.0)	(24.0, 48373.0)	(25.0, 53780.0)	(26.0, 61344.0)	(27.0, 66535.0)	(28.0, 77204.0)	(29.0, 86663.0)	(30.0, 104355.0)	(31.0, 122218.0)	(32.0, 154486.0)	(33.0, 194147.0)	(34.0, 276057.0)	(35.0, 410342.0)	(36.0, 730715.0)	(37.0, 1362418.0)	(38.0, 3184585.0)	(39.0, 10093183.0)	(40.0, 4095898.0)
GW_P2_R1	(19.0, 3.0)	(20.0, 1735.0)	(21.0, 15049.0)	(22.0, 26318.0)	(23.0, 31848.0)	(24.0, 38936.0)	(25.0, 44686.0)	(26.0, 53115.0)	(27.0, 59682.0)	(28.0, 71430.0)	(29.0, 82604.0)	(30.0, 101381.0)	(31.0, 119469.0)	(32.0, 153717.0)	(33.0, 193608.0)	(34.0, 273850.0)	(35.0, 400803.0)	(36.0, 692942.0)	(37.0, 1284168.0)	(38.0, 3204707.0)	(39.0, 9672018.0)	(40.0, 4705621.0)
GW_P2_R2	(19.0, 56.0)	(20.0, 3277.0)	(21.0, 22637.0)	(22.0, 34346.0)	(23.0, 39277.0)	(24.0, 47221.0)	(25.0, 52627.0)	(26.0, 60580.0)	(27.0, 66010.0)	(28.0, 76856.0)	(29.0, 85633.0)	(30.0, 103584.0)	(31.0, 120878.0)	(32.0, 154059.0)	(33.0, 193518.0)	(34.0, 274783.0)	(35.0, 409034.0)	(36.0, 724690.0)	(37.0, 1348371.0)	(38.0, 3156683.0)	(39.0, 10272244.0)	(40.0, 3981326.0)
