Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
GW_P1_R1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.024930535340847576)	(4, 0.031832129119067853)	(5, 0.03564802738552411)	(6, 0.038041208026709024)	(7, 0.040038665884705886)	(8, 0.041890083191764294)	(9, 0.043977049774529875)	(10, 0.045884998907758004)	(12, 0.04745140159121073)	(14, 0.04866919134661683)	(16, 0.04984458223239564)	(18, 0.050859799610693576)	(20, 0.05176901981492328)	(22, 0.05258402030887011)	(24, 0.0534272867159018)	(26, 0.05431766297807493)	(28, 0.055384701197028444)	(30, 0.05639520758981223)	(32, 0.057577664953862254)	(34, 0.05906162539081747)	(36, 0.060373634856506445)	(38, 0.06172097671355149)	(40, 0.06322378109256328)	(42, 0.06464649871783462)	(44, 0.06623645632885808)	(46, 0.06802663082423262)	(48, 0.06968254223245407)	(50, 0.07101575113295669)	(52, 0.07228771722177543)	(54, 0.07368216893396193)	(56, 0.07508368712441962)	(58, 0.07627556645949793)	(60, 0.07753575508453134)	(62, 0.07885954201400566)	(64, 0.08013150810282442)	(66, 0.08180390796034537)	(68, 0.08358466048469163)	(70, 0.08522879442912773)	(72, 0.0874500240990464)	(74, 0.08897638340562891)	(76, 0.09011644190005164)	(78, 0.09125885588723145)	(80, 0.09242482480198197)	(82, 0.09354368386159105)	(84, 0.09456832321091727)	(86, 0.09554349721234498)	(88, 0.09654222614134342)	(90, 0.0975103336644999)	(92, 0.0985467504776115)	(94, 0.0994630371601124)	(96, 0.10040994524845526)	(98, 0.1012908995396001)	(100, 0.10207763412046207)	(102, 0.10292090052749375)	(104, 0.10370292412284159)	(106, 0.10448494771818942)	(108, 0.10525519384975188)	(110, 0.10605135040164212)	(112, 0.10678155315633439)	(114, 0.10747406802691348)	(116, 0.10816893839024966)	(118, 0.10888736368115653)	(120, 0.10961049995757757)	(122, 0.11019701765408844)	(124, 0.11079060182887053)	(126, 0.11141245191673747)	(128, 0.11199661412049128)	(130, 0.11253366646910364)	(132, 0.11314373909318523)	(134, 0.11362897060114202)	(136, 0.11407651422498565)	(138, 0.11454054629812878)
GW_P1_R2 - polya	(1, 0.002341359800529336)	(2, 0.00614783609595731)	(3, 0.008394976186203775)	(4, 0.010604428392337092)	(5, 0.013671279962044532)	(6, 0.016672177734553963)	(7, 0.019390416376214782)	(8, 0.024322818209523058)	(9, 0.03203470149617602)	(10, 0.03876198881037299)	(12, 0.04381452077429193)	(14, 0.049646720840801614)	(16, 0.05574509158886042)	(18, 0.06370665710776299)	(20, 0.07097570775608647)	(22, 0.07838373247707717)	(24, 0.08479538376182652)	(26, 0.09344710865855112)	(28, 0.10139454122091125)	(30, 0.10953747968210835)	(32, 0.11722816353394766)	(34, 0.1234066210357469)	(36, 0.13029879284293888)	(38, 0.13783636966556856)	(40, 0.14535510254614165)	(42, 0.15233442758534527)	(44, 0.15865185915981175)	(46, 0.16710101167942817)	(48, 0.17356919479034724)	(50, 0.17895620672577037)	(52, 0.18521475098131007)	(54, 0.19066771671393118)	(56, 0.19607121709865383)	(58, 0.2013875642513648)	(60, 0.20605615089588103)	(62, 0.210550431076374)	(64, 0.21548283290968226)	(66, 0.22028803813410866)	(68, 0.2253075931994286)	(70, 0.2301033764528267)	(72, 0.2345010814302797)	(74, 0.23821804900093896)	(76, 0.24195621600641185)	(78, 0.24539523543173664)	(80, 0.2489496740021579)	(82, 0.25268077452935955)	(84, 0.2567204446077377)	(86, 0.2600040015110957)	(88, 0.26342417699436393)	(90, 0.2667383553035639)	(92, 0.2700596000910351)	(94, 0.2734821310670603)	(96, 0.27679395388350325)	(98, 0.2802259068305568)	(100, 0.2836413713283109)	(102, 0.2868401304924143)	(104, 0.29017315274367095)	(106, 0.29331302458884756)	(108, 0.2968344862606699)	(110, 0.30047372257034577)	(112, 0.30372901356061893)	(114, 0.30679822062308343)	(116, 0.3096954767142817)	(118, 0.31263513167510726)	(120, 0.3160364632163189)	(122, 0.31907740436569854)	(124, 0.3221842993122762)	(126, 0.325295905244368)	(128, 0.3282661816110355)	(130, 0.3315874263985067)	(132, 0.33455063628690296)	(134, 0.3370757245224839)	(136, 0.3393888184099284)	(138, 0.34168777934083044)
GW_P1_R2 - polyg	(1, 0.3022050097467935)	(2, 0.3137846121405583)	(3, 0.3170116372177466)	(4, 0.3188065226986353)	(5, 0.3211243275715939)	(6, 0.3237954563581133)	(7, 0.32675866624650957)	(8, 0.3301034659615515)	(9, 0.33409367069203105)	(10, 0.338489020176727)	(12, 0.3430492541544179)	(14, 0.3468298200295181)	(16, 0.3502759059331141)	(18, 0.35347466509721753)	(20, 0.35625650204331927)	(22, 0.3588687435109119)	(24, 0.36129254555793877)	(26, 0.36358444001056955)	(28, 0.3658433575646014)	(30, 0.36805752075624887)	(32, 0.3699890248170477)	(34, 0.3720736359070562)	(36, 0.3740074954606121)	(38, 0.3757694040429018)	(40, 0.3774370929149086)	(42, 0.37926731078715337)	(44, 0.38089024529677584)	(46, 0.3824142491106013)	(48, 0.3838982095475565)	(50, 0.3852361294335732)	(52, 0.38653636143547687)	(54, 0.3878012610460244)	(56, 0.3889530970042325)	(58, 0.3900484011362708)	(60, 0.39106361851456883)	(62, 0.3920387925159965)	(64, 0.3929951225753676)	(66, 0.3939608746057671)	(68, 0.3948135629838271)	(70, 0.3955484767240334)	(72, 0.39621272568152766)	(74, 0.3968722636535078)	(76, 0.3974517148717474)	(78, 0.3979699232783032)	(80, 0.3984268888731751)	(82, 0.39888149897529)	(84, 0.39929371020777754)	(86, 0.3997271208750788)	(88, 0.4001581760496229)	(90, 0.40059394220968114)	(92, 0.4009449106304849)	(94, 0.40142072016741337)	(96, 0.4018305759071439)	(98, 0.40217918883519044)	(100, 0.4025042468356663)	(102, 0.4028717037057695)	(104, 0.4031755622714318)	(106, 0.4035194642139643)	(108, 0.4038680771420109)	(110, 0.40418135767870145)	(112, 0.40450641567917733)	(114, 0.40477258636072644)	(116, 0.40512591027428724)	(118, 0.40541563588340707)	(120, 0.40572184994182636)	(122, 0.40601157555094625)	(124, 0.4062730352469812)	(126, 0.4065556943778298)	(128, 0.40689488533484813)	(130, 0.4071822554512109)	(132, 0.4074837585241161)	(134, 0.4077499292056652)	(136, 0.4080490767858133)	(138, 0.4083081809890912)
GW_P2_R1 - polya	(1, 0.00209160770672645)	(2, 0.005860270241368703)	(3, 0.00855015312546961)	(4, 0.01122590352506561)	(5, 0.014466953304857947)	(6, 0.01713328204811734)	(7, 0.019686550915337466)	(8, 0.024816642790619233)	(9, 0.032971086349951405)	(10, 0.04030349039391474)	(12, 0.04630979630850083)	(14, 0.05283900414976853)	(16, 0.05979218652618349)	(18, 0.06789010014749602)	(20, 0.07551222012380998)	(22, 0.08327566494517302)	(24, 0.089684746668149)	(26, 0.09880491000198326)	(28, 0.10691460069371655)	(30, 0.11573798185294773)	(32, 0.12357915533908775)	(34, 0.1300824536254298)	(36, 0.13772812774258525)	(38, 0.14593439041176876)	(40, 0.15384151549226505)	(42, 0.16104908258976836)	(44, 0.16710249678603747)	(46, 0.1766395684127665)	(48, 0.1833289444117565)	(50, 0.1890549560503286)	(52, 0.19552763395357667)	(54, 0.20107227870766908)	(56, 0.20631307504490598)	(58, 0.21154680513989038)	(60, 0.21621759126876264)	(62, 0.22086717867087752)	(64, 0.225526187729329)	(66, 0.23022994965537935)	(68, 0.23531057783489395)	(70, 0.24005673721445903)	(72, 0.24441896409830743)	(74, 0.248114608796341)	(76, 0.2520693490436312)	(78, 0.2557555720853282)	(80, 0.2595784091439059)	(82, 0.2634012462024836)	(84, 0.2675656183032633)	(86, 0.27147089485478637)	(88, 0.27513120834155763)	(90, 0.2785206492086515)	(92, 0.28204670409262617)	(94, 0.28577768000192205)	(96, 0.28914592214225854)	(98, 0.29292165091915323)	(100, 0.2963158026144154)	(102, 0.2996416473012372)	(104, 0.3031582805288753)	(106, 0.3064464385903506)	(108, 0.31004786672501816)	(110, 0.3137293789385468)	(112, 0.31709997649296745)	(114, 0.32013610524743863)	(116, 0.3231486798610682)	(118, 0.3260199296296488)	(120, 0.32939994884040613)	(122, 0.33259624575259955)	(124, 0.33598097579152514)	(126, 0.3391819835318869)	(128, 0.3422981963652192)	(130, 0.34586664870270856)	(132, 0.3486672360487646)	(134, 0.35168687690464673)	(136, 0.3544898196647869)	(138, 0.35737755733195653)
GW_P2_R1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.02747354987754202)	(4, 0.03451623798915473)	(5, 0.038760694168795566)	(6, 0.04109726494027376)	(7, 0.04330193252303948)	(8, 0.04520981793120212)	(9, 0.04736266640411651)	(10, 0.04924228684326933)	(12, 0.05107950982890743)	(14, 0.0523655659188541)	(16, 0.05355740544543471)	(18, 0.05452783604810509)	(20, 0.0554582246113449)	(22, 0.05631323992389186)	(24, 0.057205941861785244)	(26, 0.058110420870099384)	(28, 0.05910676102769543)	(30, 0.060270335585266226)	(32, 0.06170242734843028)	(34, 0.06315336242426754)	(36, 0.06470558030572332)	(38, 0.06619655742099116)	(40, 0.06785476893623375)	(42, 0.0694423180289518)	(44, 0.07110759578644685)	(46, 0.07571243032096285)	(48, 0.08001106102453917)	(50, 0.08160096553134137)	(52, 0.0831602496550496)	(54, 0.08472188919284199)	(56, 0.08619166758135247)	(58, 0.0876732230402837)	(60, 0.08915477849921494)	(62, 0.09065282185673523)	(64, 0.09229219005930461)	(66, 0.0946146283462779)	(68, 0.09716554179941388)	(70, 0.09938198645260035)	(72, 0.10214488717330995)	(74, 0.10446732546028324)	(76, 0.10597007964597184)	(78, 0.10743043637814571)	(80, 0.10873769119484974)	(82, 0.11000254855803905)	(84, 0.11121794222546118)	(86, 0.11248515500273464)	(88, 0.11375472319409224)	(90, 0.1149347856502521)	(92, 0.11606067358247647)	(94, 0.11716536278794348)	(96, 0.11820881122722256)	(98, 0.11918630807214539)	(100, 0.12011905204946935)	(102, 0.12113188010565445)	(104, 0.12205755784072596)	(106, 0.12304683175606955)	(108, 0.12391362413903727)	(110, 0.12484165728819291)	(112, 0.12567311845989837)	(114, 0.1264951579752672)	(116, 0.1272371134117749)	(118, 0.12791311725392635)	(120, 0.12859147651016195)	(122, 0.12928396825090246)	(124, 0.1300282791014943)	(126, 0.13083618613235826)	(128, 0.1315216116308463)	(130, 0.13214579636314644)	(132, 0.1327817581658673)	(134, 0.1333635454446527)	(136, 0.1339359110671015)	(138, 0.13454360790081255)
GW_P2_R2 - polya	(1, 0.0023648357404880134)	(2, 0.006972025689088167)	(3, 0.009341572257744483)	(4, 0.011772359592588736)	(5, 0.015182999186439975)	(6, 0.018183796729648868)	(7, 0.021255256695382304)	(8, 0.02608385556789269)	(9, 0.03465285200603551)	(10, 0.04198996687816715)	(12, 0.04757936449985844)	(14, 0.05380472392427061)	(16, 0.060388106289473796)	(18, 0.06853783902063766)	(20, 0.0762141335208871)	(22, 0.08391398216197805)	(24, 0.0902571122905978)	(26, 0.09907813803574482)	(28, 0.10689104655287504)	(30, 0.11526689903611745)	(32, 0.1233930776264398)	(34, 0.1298940204986977)	(36, 0.1375561825144422)	(38, 0.14586137257516008)	(40, 0.15385564797676995)	(42, 0.1611644978798918)	(44, 0.16762068788455078)	(46, 0.17661601427192503)	(48, 0.1834796909131422)	(50, 0.18925516624748145)	(52, 0.19570664542397218)	(54, 0.20142323540620766)	(56, 0.20684304321384003)	(58, 0.2122440077087992)	(60, 0.21738587665450174)	(62, 0.22233460164530383)	(64, 0.22721501962766555)	(66, 0.2318858057565378)	(68, 0.23722552948530906)	(70, 0.24248987996338744)	(72, 0.24672255907260754)	(74, 0.2505783719283634)	(76, 0.2544176968855302)	(78, 0.2580167696061135)	(80, 0.26166295060837985)	(82, 0.26542219148668555)	(84, 0.26957243110296036)	(86, 0.27320212420663764)	(88, 0.2771191778285814)	(90, 0.2804850645548338)	(92, 0.28395223408670467)	(94, 0.28757015011996123)	(96, 0.2910231871673272)	(98, 0.29475180766253883)	(100, 0.2983650128676271)	(102, 0.30190284482202256)	(104, 0.30524988823560173)	(106, 0.3086181303759382)	(108, 0.3122148476824374)	(110, 0.3158092095748525)	(112, 0.31957787210949473)	(114, 0.3224726760189168)	(116, 0.325214378012869)	(118, 0.32819868765748883)	(120, 0.3316682126034439)	(122, 0.33488335282831055)	(124, 0.33819977585879574)	(126, 0.34137016321606356)	(128, 0.34427674419590637)	(130, 0.34763320926582214)	(132, 0.3507918195526692)	(134, 0.3536253826959033)	(136, 0.3562563802279004)	(138, 0.35902163636269424)
GW_P2_R2 - polyg	(1, 0.2975170637973326)	(2, 0.3091104119195259)	(3, 0.31194633047684417)	(4, 0.31328420567664217)	(5, 0.31531457261718066)	(6, 0.31825884022236994)	(7, 0.3212502161092422)	(8, 0.32430754359047076)	(9, 0.32897126347709055)	(10, 0.33382577190452656)	(12, 0.339167851047382)	(14, 0.3437514868551406)	(16, 0.34762143219540137)	(18, 0.3513100106511825)	(20, 0.3547630476985485)	(22, 0.3580135191346774)	(24, 0.3610190275060546)	(26, 0.3638808556182985)	(28, 0.366516563978464)	(30, 0.36920409144848076)	(32, 0.37193166095792807)	(34, 0.37459798970118746)	(36, 0.3771371260839027)	(38, 0.3796079554581775)	(40, 0.38203874279302175)	(42, 0.38425283203212407)	(44, 0.38636092763743957)	(46, 0.3884454691019136)	(48, 0.390395751963591)	(50, 0.392185866667546)	(52, 0.39392887308981805)	(54, 0.395608283331818)	(56, 0.3971581457991896)	(58, 0.39857374966376463)	(60, 0.4000482388804434)	(62, 0.40142851153375614)	(64, 0.40253555615330733)	(66, 0.4036779319841207)	(68, 0.4047449345642413)	(70, 0.405642347330303)	(72, 0.4063654594541375)	(74, 0.40710977030472933)	(76, 0.4078187499440589)	(78, 0.40852537416930434)	(80, 0.4091495589016044)	(82, 0.40978080987615706)	(84, 0.4103696633971949)	(86, 0.41086430035486665)	(88, 0.41134009399986526)	(90, 0.4118677067547152)	(92, 0.4123741207828078)	(94, 0.4128122278024599)	(96, 0.41328802144745846)	(98, 0.4137708813347095)	(100, 0.41419721128394094)	(102, 0.4145623004669844)	(104, 0.4149509437908694)	(106, 0.4152618584499774)	(108, 0.4155774839372537)	(110, 0.4158978202526983)	(112, 0.41620166866955377)	(114, 0.4165667578525972)	(116, 0.416889449582126)	(118, 0.4172262737961596)	(120, 0.41755132093977254)	(122, 0.41785752477071225)	(124, 0.4181048432495481)	(126, 0.418460510776255)	(128, 0.4187455158804373)	(130, 0.41903758722687207)	(132, 0.4193367248155593)	(134, 0.4196028866070684)	(136, 0.41983607260139943)	(138, 0.42011636687741344)
GW_P3_R1 - polya	(1, 0.0018333667026847915)	(2, 0.0055104874548117955)	(3, 0.007743767007657293)	(4, 0.009816042685762765)	(5, 0.012677756717432227)	(6, 0.015144751572319695)	(7, 0.017435161532331007)	(8, 0.02236915124210594)	(9, 0.030279115797881968)	(10, 0.03701790700675879)	(12, 0.042419327320617664)	(14, 0.048872466493665404)	(16, 0.055743696373699345)	(18, 0.06405876745301478)	(20, 0.07182590599087628)	(22, 0.07970211166969068)	(24, 0.0860981204355726)	(26, 0.0949793019131675)	(28, 0.10296457473293483)	(30, 0.11084078041174923)	(32, 0.1180521958980887)	(34, 0.12450014139775772)	(36, 0.1320880982040537)	(38, 0.13975396011103036)	(40, 0.1474068378345602)	(42, 0.15479483821577583)	(44, 0.16112332922773454)	(46, 0.16978118275004486)	(48, 0.17627846814681164)	(50, 0.18172663152107893)	(52, 0.18776167998714047)	(54, 0.19333189468580741)	(56, 0.19849700286093497)	(58, 0.20349331665125445)	(60, 0.20818839738560868)	(62, 0.21267832802150388)	(64, 0.21750584742701526)	(66, 0.2218763235752001)	(68, 0.22692717093599601)	(70, 0.23148981299919316)	(72, 0.23564475170216154)	(74, 0.23945171428875628)	(76, 0.24320154646818526)	(78, 0.24660599936792993)	(80, 0.2501065352251808)	(82, 0.253887529444882)	(84, 0.2580294839644036)	(86, 0.2615274229849651)	(88, 0.2653967096521044)	(90, 0.2690582493840953)	(92, 0.2726003346283758)	(94, 0.2763605541545622)	(96, 0.2796896987903156)	(98, 0.28337461005251063)	(100, 0.28693487315361665)	(102, 0.29030556717639977)	(104, 0.2936295181387744)	(106, 0.2969249038975662)	(108, 0.3003709061843406)	(110, 0.3037467938805024)	(112, 0.30726810443126806)	(114, 0.31032198437794983)	(116, 0.31304606606508345)	(118, 0.31623238468292236)	(120, 0.3195459482985396)	(122, 0.3225660693682597)	(124, 0.32562514298832024)	(126, 0.3285310032437087)	(128, 0.3315848831903905)	(130, 0.3350438696606116)	(132, 0.3380354255267488)	(134, 0.341019190882818)	(136, 0.34383416185407906)	(138, 0.34645696691032785)
GW_P3_R1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.02837823134127394)	(4, 0.03601293120797831)	(5, 0.04014190154405313)	(6, 0.04272835088665094)	(7, 0.044852563298543514)	(8, 0.0466859300012283)	(9, 0.048742624659197646)	(10, 0.05051626411802726)	(12, 0.05220680480279752)	(14, 0.05353898202443675)	(16, 0.054689380677821114)	(18, 0.05567617861977611)	(20, 0.056494182176923)	(22, 0.057314782570759254)	(24, 0.058109414597701955)	(26, 0.05900532325552951)	(28, 0.05997654017734837)	(30, 0.06097891913943948)	(32, 0.06210594626261966)	(34, 0.06327192593614014)	(36, 0.06445608346648614)	(38, 0.06568698405724052)	(40, 0.066969821381782)	(42, 0.06816955993226412)	(44, 0.06943162256329075)	(46, 0.07106762967758455)	(48, 0.07284905964648222)	(50, 0.07414488115447049)	(52, 0.07533682919488455)	(54, 0.07665602223307699)	(56, 0.07786095445693783)	(58, 0.07914898545485802)	(60, 0.0805019373700121)	(62, 0.08183151775496197)	(64, 0.08328055262762218)	(66, 0.08550863850708898)	(68, 0.08748223439099895)	(70, 0.09010244261055837)	(72, 0.09460276059321099)	(74, 0.09719180677249815)	(76, 0.09839933583304833)	(78, 0.0995497344864327)	(80, 0.10065598691609803)	(82, 0.10168693108177204)	(84, 0.10271527841075673)	(86, 0.10382153084042205)	(88, 0.10490960541326189)	(90, 0.10584446662142977)	(92, 0.10674816578932539)	(94, 0.10778690046506748)	(96, 0.10880226361060538)	(98, 0.10958650829079067)	(100, 0.1105057884788224)	(102, 0.11148998958408804)	(104, 0.1122404753873117)	(106, 0.11308704414804151)	(108, 0.1138011742376142)	(110, 0.11454127269408043)	(112, 0.11528137115054668)	(114, 0.11597732338329386)	(116, 0.11660316102542849)	(118, 0.11714589989350373)	(120, 0.11780809324928931)	(122, 0.11842614038135585)	(124, 0.11900523496308207)	(126, 0.11950642444412762)	(128, 0.12010629371936869)	(130, 0.12060748320041426)	(132, 0.12116060941524692)	(134, 0.12165920205960312)	(136, 0.12213961684713384)	(138, 0.12263041898142196)
GW_P3_R2 - polya	(1, 0.0021190187385138667)	(2, 0.005853269897806686)	(3, 0.007909964555776026)	(4, 0.010143244108621524)	(5, 0.013134799974758747)	(6, 0.015606988503024926)	(7, 0.018209018865758864)	(8, 0.023537727752315794)	(9, 0.03125552639307953)	(10, 0.038142337293249604)	(12, 0.04345806199635975)	(14, 0.04946973893221711)	(16, 0.05634096881225104)	(18, 0.06440934040607774)	(20, 0.07163633691255333)	(22, 0.07932557034973417)	(24, 0.08571119176885869)	(26, 0.09426517182359481)	(28, 0.10204789138159243)	(30, 0.11048241694861821)	(32, 0.1180054528376803)	(34, 0.12459362751857453)	(36, 0.13194786902282854)	(38, 0.13976434745778776)	(40, 0.14748733977193024)	(42, 0.1548260002560481)	(44, 0.1611934438183471)	(46, 0.16944099714373934)	(48, 0.17559550009751124)	(50, 0.18102548561495302)	(52, 0.18722153795575458)	(54, 0.19251389112866052)	(56, 0.1974348966549887)	(58, 0.2027713960516137)	(60, 0.2073522159716363)	(62, 0.21183695293415278)	(64, 0.21656579254546865)	(66, 0.22114401562880193)	(68, 0.2261169578889172)	(70, 0.23095226780449662)	(72, 0.23490984691907402)	(74, 0.2387142126689794)	(76, 0.2426406297432845)	(78, 0.2460295016228931)	(80, 0.24962871727433944)	(82, 0.25331622537322385)	(84, 0.25748934193301776)	(86, 0.26100286197371536)	(88, 0.2648617612940972)	(90, 0.26829218256073545)	(92, 0.2717381848475099)	(94, 0.27525949539827554)	(96, 0.27906905482155964)	(98, 0.2827331913902399)	(100, 0.2860727233727507)	(102, 0.2895213224962145)	(104, 0.2929231785592698)	(106, 0.2962029832979255)	(108, 0.2996697602782147)	(110, 0.3030975847081636)	(112, 0.3064215356705383)	(114, 0.30935855796619904)	(116, 0.3121683352640814)	(118, 0.31491319164472986)	(120, 0.31797226526479033)	(122, 0.3210417262316082)	(124, 0.3240540567912603)	(126, 0.32701445061712525)	(128, 0.32994627923940734)	(130, 0.33314038836731424)	(132, 0.335916406788235)	(134, 0.3386197137818538)	(136, 0.34085559017138867)	(138, 0.3432290989054593)
GW_P3_R2 - polyg	(1, 0.327970086518808)	(2, 0.33849246878407535)	(3, 0.34195664892767524)	(4, 0.34364978644913485)	(5, 0.34578438620778484)	(6, 0.348885009214875)	(7, 0.3519233081414206)	(8, 0.3551485793095998)	(9, 0.35958397637501854)	(10, 0.36438812425032574)	(12, 0.3694233905909855)	(14, 0.3734588748062435)	(16, 0.37699836321383473)	(18, 0.38045734968405587)	(20, 0.3834644865703292)	(22, 0.3864067025393687)	(24, 0.3889879582085878)	(26, 0.39152506765408784)	(28, 0.3938414459809927)	(30, 0.3960357729834979)	(32, 0.39825347151620727)	(34, 0.40048675106905274)	(36, 0.40262135082770273)	(38, 0.40444952385700883)	(40, 0.406285487396383)	(42, 0.40796823757108513)	(44, 0.40963021305227254)	(46, 0.4112558328198089)	(48, 0.41271006136584776)	(50, 0.41414611205506124)	(52, 0.4154263525429134)	(54, 0.4166546562969784)	(56, 0.41782842648056695)	(58, 0.418859370646241)	(60, 0.4199422515457021)	(62, 0.4209238558142784)	(64, 0.421900266409476)	(66, 0.42269489843641866)	(68, 0.4234973209734294)	(70, 0.4242426131032744)	(72, 0.42491259696912803)	(74, 0.425621533385322)	(76, 0.426177256436844)	(78, 0.42670701112147247)	(80, 0.42718223223562446)	(82, 0.4276340818195723)	(84, 0.4280937219135882)	(86, 0.42852219996733176)	(88, 0.42894288751100734)	(90, 0.42930904148420646)	(92, 0.42971674484443523)	(94, 0.430088092491013)	(96, 0.43045424646421204)	(98, 0.4307892383971389)	(100, 0.4311579892070273)	(102, 0.4314851906298861)	(104, 0.43174487429882163)	(106, 0.4320123484778252)	(108, 0.43227982265682885)	(110, 0.4325550873459004)	(112, 0.4329056602989634)	(114, 0.43319650600817117)	(116, 0.43343022131021314)	(118, 0.4336639366122551)	(120, 0.43390803926105453)	(122, 0.43423264384722393)	(124, 0.434481940169402)	(126, 0.43473902700164824)	(128, 0.43500130750727306)	(130, 0.43524281331938314)	(132, 0.43550249698831867)	(134, 0.43575179331049674)	(136, 0.43598291177584936)	(138, 0.4362088365678233)
SFZ_Mock1_R1 - polya	(1, 0.0020111009179418753)	(2, 0.005211803941362761)	(3, 0.007011918825502699)	(4, 0.00896017283975889)	(5, 0.011505472439029076)	(6, 0.013637778099793342)	(7, 0.015568075855853623)	(8, 0.020348929600514553)	(9, 0.026988256068452128)	(10, 0.03394855065164158)	(12, 0.03908404049567173)	(14, 0.04607126946615506)	(16, 0.054299724784430625)	(18, 0.06279527944337036)	(20, 0.07010347652910556)	(22, 0.0778448683438171)	(24, 0.08417220482560074)	(26, 0.09151631442772776)	(28, 0.09838009412311421)	(30, 0.10551546222371379)	(32, 0.11214132149800443)	(34, 0.11889287457966644)	(36, 0.1263110537468516)	(38, 0.13330726084643285)	(40, 0.14108905424208518)	(42, 0.14907958913926495)	(44, 0.15602866106108199)	(46, 0.1645466610427666)	(48, 0.17180323388618857)	(50, 0.1775918826220949)	(52, 0.18353091502039204)	(54, 0.1895170825964534)	(56, 0.19519126018636082)	(58, 0.2007734119530142)	(60, 0.20592910258751476)	(62, 0.21101296818923165)	(64, 0.2161103009845955)	(66, 0.22082830782557075)	(68, 0.22576852336172037)	(70, 0.23081647644704545)	(72, 0.23542450120657077)	(74, 0.23975420396405947)	(76, 0.24433080527174192)	(78, 0.2486133728514664)	(80, 0.25312712725546316)	(82, 0.2573109354151101)	(84, 0.26146556465518866)	(86, 0.26553490166883664)	(88, 0.2699050060072662)	(90, 0.27437611429804765)	(92, 0.2793499978183146)	(94, 0.2833766887187473)	(96, 0.2873270655218475)	(98, 0.2915669869883566)	(100, 0.2957014154379648)	(102, 0.29952609843369354)	(104, 0.30315326258926734)	(106, 0.30717321989287655)	(108, 0.3113570280525235)	(110, 0.31522211262919303)	(112, 0.31871236031602296)	(114, 0.32216220642191207)	(116, 0.32533373052576464)	(118, 0.3287499086475364)	(120, 0.33213915238201436)	(122, 0.33550819532602194)	(124, 0.33869992022034484)	(126, 0.34185797713055044)	(128, 0.345020523105305)	(130, 0.34839629964613605)	(132, 0.3517114738155558)	(134, 0.35514785272779803)	(136, 0.3584338479776495)	(138, 0.36132031648264196)
SFZ_Mock1_R2 - polya	(1, 0.0024420511146437058)	(2, 0.0061634856257459705)	(3, 0.008044403671767501)	(4, 0.0100510155251604)	(5, 0.012255146218708303)	(6, 0.014463765976805184)	(7, 0.016744210767685702)	(8, 0.021385903511328335)	(9, 0.027719973589935446)	(10, 0.03467802364085042)	(12, 0.03992349556633051)	(14, 0.04654711030834666)	(16, 0.05462293743195701)	(18, 0.06281772476611525)	(20, 0.06980270920432408)	(22, 0.07726353448472453)	(24, 0.08368065225748772)	(26, 0.09141755500765027)	(28, 0.09862699267330796)	(30, 0.10583418580669118)	(32, 0.11246004508098183)	(34, 0.11883676127280422)	(36, 0.12620556072995062)	(38, 0.13296833647298506)	(40, 0.14049649772162018)	(42, 0.14813015198715623)	(44, 0.15452706896944904)	(46, 0.16274654615862666)	(48, 0.16967766182224775)	(50, 0.17580299039932742)	(52, 0.1820674799774254)	(54, 0.1882287210708969)	(56, 0.19425529022789903)	(58, 0.19974317163902391)	(60, 0.20511658190414986)	(62, 0.21051692655656967)	(64, 0.21589931495079356)	(66, 0.2207991289060024)	(68, 0.22562262876387862)	(70, 0.23056733336457721)	(72, 0.23521127064049435)	(74, 0.2395095499461402)	(76, 0.24432407167491846)	(78, 0.24871213227154387)	(80, 0.2530193897062877)	(82, 0.2570864821876612)	(84, 0.2613174255250724)	(86, 0.2654608321037786)	(88, 0.26953690271425)	(90, 0.27374540072891634)	(92, 0.27834220282706923)	(94, 0.28231951401746314)	(96, 0.28622500017507346)	(98, 0.29040431927017146)	(100, 0.29434347341189915)	(102, 0.29816142281080443)	(104, 0.301815521353672)	(106, 0.30590281462551594)	(108, 0.31009111184971183)	(110, 0.3139584409586559)	(112, 0.31757887151740616)	(114, 0.3212082802052544)	(116, 0.3245099871810273)	(118, 0.32777353710813384)	(120, 0.3309809737283782)	(122, 0.3342804361718766)	(124, 0.3374990954534934)	(126, 0.34082100321973663)	(128, 0.343918457758531)	(130, 0.3471662959597162)	(132, 0.3503400645958432)	(134, 0.353852757605418)	(136, 0.35681778474001763)	(138, 0.36004093308618335)
