Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
GW_P3_R1	(1, 38.40514942328152)	(2, 38.888984036985185)	(3, 39.130316276530905)	(4, 39.02958477360388)	(5, 38.877067049544266)	(6, 38.85809819626321)	(7, 38.97641007583023)	(8, 38.99248844212911)	(9, 38.94589745247724)	(10, 38.90695236025188)	(15, 39.185913365892475)	(20, 39.250528521187206)	(25, 39.00508534373938)	(30, 38.946006543928334)	(35, 38.94144675533798)	(40, 38.93375549437236)	(45, 38.93536689100257)	(50, 38.90214370991162)	(55, 38.86548690568635)	(60, 38.826926953527355)	(65, 38.7977389897397)	(70, 38.77841595852576)	(75, 38.7619453630298)	(80, 38.73529971997188)	(85, 38.713772643503674)	(90, 38.679234698804635)	(95, 38.600829684661484)	(100, 38.475590482499015)	(105, 38.35691144710732)	(110, 38.292015989439065)	(115, 38.30421673151692)	(120, 38.31054986694097)	(125, 38.267899118761875)	(130, 38.22634036685591)	(135, 38.16462051675188)	(140, 38.07602771523289)	(145, 38.012104567502)	(150, 37.964806443713655)
GW_P3_R2	(1, 37.71337892859192)	(2, 38.37563564719273)	(3, 38.77250147305561)	(4, 38.699932560151176)	(5, 38.75724620011379)	(6, 38.87593015444167)	(7, 39.01283777379423)	(8, 39.001527719024345)	(9, 38.96943060979698)	(10, 39.02648012030625)	(15, 39.12702332141126)	(20, 39.15157084469125)	(25, 38.897972748276416)	(30, 38.82147820960711)	(35, 38.82592514211893)	(40, 38.814451015964536)	(45, 38.818809784969304)	(50, 38.791683900834094)	(55, 38.78892076878918)	(60, 38.77509337843512)	(65, 38.74797851112536)	(70, 38.69163900453536)	(75, 38.67873944343386)	(80, 38.63616749689664)	(85, 38.585549130624905)	(90, 38.53626568604033)	(95, 38.51196411916296)	(100, 38.480505250143366)	(105, 38.422368360911165)	(110, 38.34242292401901)	(115, 38.273310709707786)	(120, 38.21203910558051)	(125, 38.14213261691177)	(130, 38.11988719385554)	(135, 38.04498074579358)	(140, 37.971369871908315)	(145, 37.90305141956762)	(150, 37.85534871188643)
SFZ_Mock1_R1	(1, 38.44292378879203)	(2, 38.90930267050859)	(3, 39.14931795846682)	(4, 39.048135072001905)	(5, 38.90193360170757)	(6, 38.89609216157257)	(7, 39.00920321079444)	(8, 39.0306127267853)	(9, 38.97832984892143)	(10, 38.94535824440945)	(15, 39.21379286630183)	(20, 39.27596721833679)	(25, 39.04038953229154)	(30, 38.98187164563201)	(35, 38.97750477964023)	(40, 38.97058740446634)	(45, 38.974468710575124)	(50, 38.94165491089629)	(55, 38.90886574501453)	(60, 38.87164173278446)	(65, 38.845254924376896)	(70, 38.82554102240086)	(75, 38.80795626181099)	(80, 38.78407309562307)	(85, 38.75820152781385)	(90, 38.72678695040868)	(95, 38.65252407979916)	(100, 38.53729687207894)	(105, 38.420426326144664)	(110, 38.3587817306306)	(115, 38.36769868054189)	(120, 38.37343656677757)	(125, 38.3322500709912)	(130, 38.29468209407227)	(135, 38.24012361251476)	(140, 38.154264123570606)	(145, 38.09114820401013)	(150, 38.04757478010332)
SFZ_Mock1_R2	(1, 37.54432188101142)	(2, 38.34181586970508)	(3, 38.64027868830971)	(4, 38.682679698600616)	(5, 38.72535561920451)	(6, 38.85329144497421)	(7, 38.99262940491703)	(8, 38.99774146184412)	(9, 38.96350480302972)	(10, 39.02575090827243)	(15, 39.13393786667802)	(20, 39.167844615160575)	(25, 38.91441846233738)	(30, 38.84285623618159)	(35, 38.852467603570496)	(40, 38.84504933927758)	(45, 38.85310824153949)	(50, 38.826062813584926)	(55, 38.82400117530066)	(60, 38.80872565587212)	(65, 38.781301735631146)	(70, 38.72549606332066)	(75, 38.712197203574235)	(80, 38.6698479962303)	(85, 38.61949747177992)	(90, 38.57072916081266)	(95, 38.54557247109422)	(100, 38.513436311141774)	(105, 38.45660722174065)	(110, 38.37995637931947)	(115, 38.31148603426085)	(120, 38.25166826575041)	(125, 38.183348543005025)	(130, 38.16196190594807)	(135, 38.09279121718815)	(140, 38.01837155273368)	(145, 37.950516676264684)	(150, 37.90755375323476)
SFZ_Mock2_R1	(1, 38.47487165403857)	(2, 38.929898092037206)	(3, 39.16781165174288)	(4, 39.086677730326336)	(5, 38.95762920505781)	(6, 38.954139181839864)	(7, 39.06025457144768)	(8, 39.08599188355051)	(9, 39.04117136764927)	(10, 39.01605183614198)	(15, 39.25267873585351)	(20, 39.308601423257215)	(25, 39.082108517551845)	(30, 39.02434644297877)	(35, 39.01774357814143)	(40, 39.00906282197272)	(45, 39.00782191012682)	(50, 38.97696420800166)	(55, 38.945991741342375)	(60, 38.90979662432466)	(65, 38.88222226224371)	(70, 38.859710999023946)	(75, 38.84200349793885)	(80, 38.81689536879641)	(85, 38.79184438224259)	(90, 38.76067845181241)	(95, 38.691679205588386)	(100, 38.58312465390555)	(105, 38.47506022085753)	(110, 38.41640048787418)	(115, 38.42040430693195)	(120, 38.422754226689676)	(125, 38.382699529777504)	(130, 38.34528140550671)	(135, 38.292030212270355)	(140, 38.2105302447619)	(145, 38.14991291679897)	(150, 38.10473196008536)
SFZ_Mock2_R2	(1, 37.610107640039864)	(2, 38.324464973361756)	(3, 38.7500928825339)	(4, 38.740995221600386)	(5, 38.76614412866171)	(6, 38.850143462839654)	(7, 38.98809342463177)	(8, 38.98518545933318)	(9, 38.95760935912661)	(10, 38.99673314517245)	(15, 39.09176077392695)	(20, 39.12682288453995)	(25, 38.86485328493071)	(30, 38.78963213071915)	(35, 38.79907429492651)	(40, 38.79772570027358)	(45, 38.810774117422575)	(50, 38.79423248281916)	(55, 38.79219226676368)	(60, 38.78048540253407)	(65, 38.75741501089571)	(70, 38.70560836771862)	(75, 38.68935728703705)	(80, 38.648614501642854)	(85, 38.60249486950333)	(90, 38.55356668144734)	(95, 38.52529229671897)	(100, 38.488480988348186)	(105, 38.43114089867222)	(110, 38.3541460781411)	(115, 38.28756891700016)	(120, 38.22466751498034)	(125, 38.15383258166236)	(130, 38.1264904926285)	(135, 38.05541255521854)	(140, 37.981441750406994)	(145, 37.90960877705721)	(150, 37.86567531912465)
SFZ_Mock3_R1	(1, 38.46389211712842)	(2, 38.9237275144358)	(3, 39.153664918260624)	(4, 39.08915343556587)	(5, 38.97002255386303)	(6, 38.96840971413151)	(7, 39.07124902741376)	(8, 39.10119737660536)	(9, 39.063568487121664)	(10, 39.04098471084987)	(15, 39.26990857546666)	(20, 39.32255884418332)	(25, 39.10619817161466)	(30, 39.04972365053289)	(35, 39.04796770934361)	(40, 39.04150678555532)	(45, 39.04160369791258)	(50, 39.014986944174936)	(55, 38.98834035991672)	(60, 38.95629678493894)	(65, 38.9306429588798)	(70, 38.91214465908924)	(75, 38.89487677573483)	(80, 38.87161538130077)	(85, 38.845673430301545)	(90, 38.817760785560814)	(95, 38.75469431609555)	(100, 38.65750179649813)	(105, 38.560319226817015)	(110, 38.50781873035042)	(115, 38.51128071115677)	(120, 38.51013385847941)	(125, 38.470980313197046)	(130, 38.436060013938665)	(135, 38.3863356562499)	(140, 38.31123500164334)	(145, 38.25216049611456)	(150, 38.20882715283492)
SFZ_Mock3_R2	(1, 37.94924228789413)	(2, 38.56427807077334)	(3, 38.81902441672584)	(4, 38.81668402169991)	(5, 38.87508339039714)	(6, 38.99535752312055)	(7, 39.115685548828736)	(8, 39.11867502955885)	(9, 39.10373543775784)	(10, 39.137197188243235)	(15, 39.22493853105717)	(20, 39.248306265932825)	(25, 39.03535249018286)	(30, 38.97140191737801)	(35, 38.974572389366394)	(40, 38.964512475626144)	(45, 38.97124034224431)	(50, 38.950575291950635)	(55, 38.944525318185285)	(60, 38.93029815754047)	(65, 38.90566415411554)	(70, 38.85758249478151)	(75, 38.841189940498886)	(80, 38.80189134162431)	(85, 38.75867100185669)	(90, 38.71460794296165)	(95, 38.68721814477586)	(100, 38.652005343675)	(105, 38.59821666758352)	(110, 38.531042629381176)	(115, 38.471628642303344)	(120, 38.419064980048304)	(125, 38.352597960113854)	(130, 38.32524834222363)	(135, 38.25792717730108)	(140, 38.189411571563994)	(145, 38.12318443104584)	(150, 38.082445498652476)
SFZ_P1_R1	(1, 38.476496669117886)	(2, 38.92480763286526)	(3, 39.15729056806425)	(4, 39.07914681722374)	(5, 38.94996014702981)	(6, 38.94052459442827)	(7, 39.053182631952026)	(8, 39.079318730228536)	(9, 39.036185162031614)	(10, 39.01000670785423)	(15, 39.2491275775789)	(20, 39.30394643169123)	(25, 39.07589986220803)	(30, 39.01894701331443)	(35, 39.01517434738995)	(40, 39.00774054578736)	(45, 39.00876838746592)	(50, 38.979856770180206)	(55, 38.94642603898686)	(60, 38.91124698872013)	(65, 38.88414056362926)	(70, 38.86253683403214)	(75, 38.843998661059345)	(80, 38.818674433260426)	(85, 38.79308541969052)	(90, 38.76179646289188)	(95, 38.6958179076874)	(100, 38.59293897735883)	(105, 38.48800751416826)	(110, 38.43114904394189)	(115, 38.43257631707584)	(120, 38.432288331305976)	(125, 38.39378033890942)	(130, 38.36057548290878)	(135, 38.30847429382484)	(140, 38.23003311158342)	(145, 38.17078543120555)	(150, 38.12498946969598)
SFZ_P1_R2	(1, 37.80489795123172)	(2, 38.488715390444106)	(3, 38.8747480270367)	(4, 38.791500281906664)	(5, 38.870351437624755)	(6, 38.98609371712085)	(7, 39.067325047174606)	(8, 39.082868291818805)	(9, 39.05355703430404)	(10, 39.121124960460456)	(15, 39.21487700508424)	(20, 39.24436980850461)	(25, 39.013830789077986)	(30, 38.947618423317024)	(35, 38.954810378831795)	(40, 38.94586577022558)	(45, 38.95020555280104)	(50, 38.92612313083369)	(55, 38.91601059850477)	(60, 38.9004399958301)	(65, 38.87326163289248)	(70, 38.82023170497455)	(75, 38.80098257813722)	(80, 38.76083653670162)	(85, 38.71610340759162)	(90, 38.66750494331896)	(95, 38.64081299540933)	(100, 38.607214372329956)	(105, 38.55121241093429)	(110, 38.478369383841816)	(115, 38.41215229512244)	(120, 38.355674644858304)	(125, 38.29055906371432)	(130, 38.26616338537006)	(135, 38.197045189746085)	(140, 38.12706278460993)	(145, 38.062386644734374)	(150, 38.02213470820382)
SFZ_P2_R1	(1, 38.45271823613083)	(2, 38.91392440237806)	(3, 39.14886678022612)	(4, 39.06751950745896)	(5, 38.938141860382146)	(6, 38.932861633930976)	(7, 39.04504457470715)	(8, 39.072023357762575)	(9, 39.026385310456284)	(10, 39.00168913886643)	(15, 39.24425726955184)	(20, 39.30015757537348)	(25, 39.07106921017975)	(30, 39.013529139836656)	(35, 39.009823592311875)	(40, 39.002570951821646)	(45, 39.00190574626316)	(50, 38.97115702675498)	(55, 38.93702790038875)	(60, 38.90229270717043)	(65, 38.87407179141458)	(70, 38.8523548966139)	(75, 38.83341332993595)	(80, 38.80817871182319)	(85, 38.783945337683775)	(90, 38.75019961418209)	(95, 38.68218490278762)	(100, 38.57591741206758)	(105, 38.47052170115067)	(110, 38.41057687775201)	(115, 38.41163005129846)	(120, 38.41255114262738)	(125, 38.372621174428474)	(130, 38.33740220223377)	(135, 38.28390908711624)	(140, 38.20302099751766)	(145, 38.14200687617533)	(150, 38.09936227887358)
SFZ_P2_R2	(1, 37.529864134174176)	(2, 38.429090217718155)	(3, 38.8107294846769)	(4, 38.723343602730125)	(5, 38.78927370627427)	(6, 38.894864939667755)	(7, 39.04589026540515)	(8, 39.039755927690386)	(9, 39.03150962348771)	(10, 39.07488613733366)	(15, 39.17216522656529)	(20, 39.198003031846795)	(25, 38.94489588081443)	(30, 38.874641294319005)	(35, 38.88161454115999)	(40, 38.87155930223806)	(45, 38.87821459981418)	(50, 38.85457405479113)	(55, 38.84819210345847)	(60, 38.83486195289275)	(65, 38.80960589237651)	(70, 38.758476195419114)	(75, 38.741613910502615)	(80, 38.701897881847884)	(85, 38.65775127262424)	(90, 38.610534375520636)	(95, 38.58413635972432)	(100, 38.550505675729546)	(105, 38.49415921640896)	(110, 38.42013063029811)	(115, 38.35272349065431)	(120, 38.29632939882267)	(125, 38.229456840609075)	(130, 38.20539771709673)	(135, 38.13360601260026)	(140, 38.06402211860459)	(145, 37.99732315049176)	(150, 37.956388901635435)
SFZ_P3_R1	(1, 38.55297042853925)	(2, 38.962141767917934)	(3, 39.18336165947139)	(4, 39.074253099914216)	(5, 38.96626015723208)	(6, 38.93513424461308)	(7, 39.04625003394)	(8, 39.0615561470288)	(9, 39.00534343974715)	(10, 38.97936864634082)	(15, 39.23545384930935)	(20, 39.29620552667904)	(25, 39.06500013942918)	(30, 39.00020409927926)	(35, 39.005011060633045)	(40, 38.99854937339235)	(45, 38.99405725987431)	(50, 38.9643958446459)	(55, 38.927098740381005)	(60, 38.896080176630925)	(65, 38.86407813145153)	(70, 38.840325199554755)	(75, 38.81962746026029)	(80, 38.7927224293595)	(85, 38.76608573942148)	(90, 38.729603344277265)	(95, 38.65943710226255)	(100, 38.55677518413599)	(105, 38.45147639803412)	(110, 38.38792120599335)	(115, 38.38586099395944)	(120, 38.37647172245529)	(125, 38.33724292059084)	(130, 38.302141145038924)	(135, 38.24307021424745)	(140, 38.17109110825128)	(145, 38.10658972697919)	(150, 38.05757382547454)
SFZ_P3_R2	(1, 37.830071791349376)	(2, 38.45223670084149)	(3, 38.73378126791023)	(4, 38.71896132234632)	(5, 38.85328363050094)	(6, 38.88931983512133)	(7, 39.03559966287493)	(8, 39.02733252170876)	(9, 38.989335043909186)	(10, 39.08128838430204)	(15, 39.18441864270834)	(20, 39.21175510879512)	(25, 38.98883172292634)	(30, 38.92311730833575)	(35, 38.92823645693086)	(40, 38.91442401557953)	(45, 38.922538422835935)	(50, 38.903119787947034)	(55, 38.895206852580955)	(60, 38.8763989661979)	(65, 38.84862408470127)	(70, 38.794959518588804)	(75, 38.773054660391175)	(80, 38.727138846455034)	(85, 38.68360466564883)	(90, 38.632373857597976)	(95, 38.59865597949483)	(100, 38.557003029859395)	(105, 38.50142321824512)	(110, 38.427893211957524)	(115, 38.358144767198674)	(120, 38.29620774001476)	(125, 38.224405319583205)	(130, 38.19390384736359)	(135, 38.12180225514188)	(140, 38.04089961923596)	(145, 37.96828634353925)	(150, 37.919476200238734)
