Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
GW_P3_R1	(1, 0.0)	(2, 0.13113505913906034)	(3, 0.0)	(4, 0.005006701137076881)	(5, 0.031167233945641457)	(6, 0.02825358318018489)	(7, 0.04813496487388852)	(8, 0.0)	(9, 0.0)	(10, 0.041810109433294926)	(15, 0.03810182664089566)	(20, 0.008340000711533253)	(25, 0.024239912393117447)	(30, 0.04263345175693357)	(35, 0.02511080284607938)	(40, 0.02812042817035539)	(45, 0.0013575373017675905)	(50, 0.0074013126935746935)	(55, 0.008325253557349838)	(60, 0.01016867568041405)	(65, 0.022416260250144787)	(70, 0.0038263143692375003)	(75, 0.028700741301981116)	(80, 0.003159115996132623)	(85, 0.02283153725170507)	(90, 0.014783710262922722)	(95, 0.01757777799399694)	(100, 0.00683419028606001)	(105, 0.0005603152746599124)	(110, 0.015580059284431505)	(115, 0.0298397802576874)	(120, 0.0002503417536206472)	(125, 0.014674174264269702)	(130, 8.544664150426847e-06)	(135, 6.541933444835763e-05)	(140, 0.031722613570049525)	(145, 0.004371710812251614)	(150, 0.0)
GW_P3_R2	(1, 0.19662208677122048)	(2, 0.14295066607562665)	(3, 0.0)	(4, 0.0016308134409150836)	(5, 0.12740080797976752)	(6, 0.03680236956154231)	(7, 0.03542604611618403)	(8, 0.0)	(9, 0.08672395807770722)	(10, 0.03127837855594586)	(15, 0.006785014901947342)	(20, 0.00703742742815267)	(25, 0.010874513320343957)	(30, 0.018767586886801274)	(35, 0.00015479985843189323)	(40, 0.019857461458288324)	(45, 0.013806183080694147)	(50, 0.0068262568705069054)	(55, 0.0)	(60, 0.00032490032328831787)	(65, 0.014620874796881199)	(70, 0.028751866675459897)	(75, 0.01715690530822015)	(80, 0.02465426197538908)	(85, 0.03937579932537687)	(90, 0.03637667140345588)	(95, 0.01819075454349283)	(100, 3.363997183871807e-05)	(105, 0.0071450180413811975)	(110, 0.009156052568658998)	(115, 0.02201202217353676)	(120, 0.008300166169857083)	(125, 0.014996525003353254)	(130, 0.00034175100592005655)	(135, 0.00889583484595231)	(140, 0.010146750544890849)	(145, 0.011084791135048119)	(150, 0.0)
SFZ_Mock1_R1	(1, 0.0)	(2, 0.13414671591709165)	(3, 0.0)	(4, 0.005328519619636173)	(5, 0.029309102440273443)	(6, 0.027149862392215316)	(7, 0.04617002888623256)	(8, 0.0)	(9, 0.0)	(10, 0.04074634109815806)	(15, 0.03669451143625106)	(20, 0.008509470759041559)	(25, 0.023248865299153956)	(30, 0.04109397035209521)	(35, 0.023924542127035476)	(40, 0.027718281873944838)	(45, 0.001430523057906576)	(50, 0.00707876714040789)	(55, 0.007837910675567255)	(60, 0.010197203577685544)	(65, 0.021654682632860682)	(70, 0.0037591713966715298)	(75, 0.027322925084499235)	(80, 0.00303186319936482)	(85, 0.0220604360272497)	(90, 0.01422556190674678)	(95, 0.01659957810594425)	(100, 0.006271075011867357)	(105, 0.0005615918934866581)	(110, 0.01481477868615875)	(115, 0.02806804079729639)	(120, 0.00025966766337759493)	(125, 0.014147755009097495)	(130, 1.753463623617298e-05)	(135, 7.31536665085282e-05)	(140, 0.030239715198486995)	(145, 0.00415028894365829)	(150, 0.0)
SFZ_Mock1_R2	(1, 0.20768208229389046)	(2, 0.13905326346912394)	(3, 0.0)	(4, 0.0014634350429666323)	(5, 0.12204868695759755)	(6, 0.03382959044109369)	(7, 0.0334300636962347)	(8, 0.0)	(9, 0.08266163460486985)	(10, 0.029849585811970326)	(15, 0.006438216376143388)	(20, 0.007126838877956521)	(25, 0.010376921611416158)	(30, 0.01792392902436561)	(35, 0.00014817027623977282)	(40, 0.01951961063388723)	(45, 0.013365380533787816)	(50, 0.0064790871726832545)	(55, 0.0)	(60, 0.000353959326885005)	(65, 0.013728221178295199)	(70, 0.027635740844497658)	(75, 0.01775875028713835)	(80, 0.02533532206232091)	(85, 0.03734313044861388)	(90, 0.034344635076503496)	(95, 0.01760175761709201)	(100, 3.458127508769129e-05)	(105, 0.006912249980216853)	(110, 0.00966416077714722)	(115, 0.022373185056253783)	(120, 0.007950298386213294)	(125, 0.014271079781491192)	(130, 0.00035250957750988896)	(135, 0.009242287254806247)	(140, 0.010014698170820445)	(145, 0.010529376239863735)	(150, 0.0)
SFZ_Mock2_R1	(1, 0.0)	(2, 0.13692798573095424)	(3, 0.0)	(4, 0.005488919712659523)	(5, 0.0252141662044889)	(6, 0.023801708037387587)	(7, 0.040818253107497364)	(8, 0.0)	(9, 0.0)	(10, 0.038389361436602265)	(15, 0.032619738012252986)	(20, 0.009641367931764325)	(25, 0.020348337214911413)	(30, 0.03700916788886232)	(35, 0.02016246300906944)	(40, 0.023979778353402564)	(45, 0.0014870545060502852)	(50, 0.006026800731649311)	(55, 0.0067322219956249965)	(60, 0.008806521818480585)	(65, 0.018809521006214608)	(70, 0.0032157079175732144)	(75, 0.02390883342695701)	(80, 0.0026433279796266645)	(85, 0.019532003149770882)	(90, 0.01209815570858521)	(95, 0.014337373485816388)	(100, 0.005461515851588757)	(105, 0.000579237829993715)	(110, 0.013094660713262998)	(115, 0.024515247818944725)	(120, 0.0002972121176161603)	(125, 0.01217894601128592)	(130, 1.0946232271276971e-05)	(135, 6.215511054629178e-05)	(140, 0.02660404505369465)	(145, 0.0038555260655717062)	(150, 0.0)
SFZ_Mock2_R2	(1, 0.22632854206067993)	(2, 0.12879741166146919)	(3, 0.0)	(4, 0.001618069166109729)	(5, 0.11056507981461398)	(6, 0.02938002383657251)	(7, 0.02922805048947933)	(8, 0.0)	(9, 0.07183422532748468)	(10, 0.026556001463235144)	(15, 0.0055434513254400165)	(20, 0.006128101731316128)	(25, 0.00896463955676705)	(30, 0.01610733166991333)	(35, 0.0001645259677370479)	(40, 0.018996396238745744)	(45, 0.011500107565776982)	(50, 0.005643665866440086)	(55, 0.0)	(60, 0.0003236791731128659)	(65, 0.011423104317486523)	(70, 0.026084255838161093)	(75, 0.019923124683963837)	(80, 0.026546856844859443)	(85, 0.03206096977455566)	(90, 0.02876274202955431)	(95, 0.015241203053889246)	(100, 3.525303557787874e-05)	(105, 0.0060367216948392114)	(110, 0.010386850931806644)	(115, 0.023582977027283663)	(120, 0.007306358948045726)	(125, 0.012279670143005352)	(130, 0.0004195497372154781)	(135, 0.01004082660229961)	(140, 0.008613079078756714)	(145, 0.009081182238252116)	(150, 0.0)
SFZ_Mock3_R1	(1, 0.0)	(2, 0.13697507717163823)	(3, 0.0)	(4, 0.005915940022023272)	(5, 0.022303269430209396)	(6, 0.020473190061378755)	(7, 0.0359959495998775)	(8, 0.0)	(9, 0.0)	(10, 0.03635318811456051)	(15, 0.02870547514543755)	(20, 0.010149260307812328)	(25, 0.017518730994000368)	(30, 0.03387332629428233)	(35, 0.01807980099682264)	(40, 0.021236747009798405)	(45, 0.0016857441100702531)	(50, 0.005431623905782665)	(55, 0.005999519563538909)	(60, 0.007523218740665286)	(65, 0.01683026394315979)	(70, 0.002864120945348209)	(75, 0.020857407165501836)	(80, 0.00231205419214813)	(85, 0.01713288804915156)	(90, 0.011030017060998551)	(95, 0.012680607752518759)	(100, 0.004713353692774721)	(105, 0.0006011113776896526)	(110, 0.011567300185646678)	(115, 0.02196597927364594)	(120, 0.00029786027346034464)	(125, 0.010772529476229914)	(130, 1.1638551045874666e-05)	(135, 7.178578647529581e-05)	(140, 0.02368913875034331)	(145, 0.0032775233454899132)	(150, 0.0)
SFZ_Mock3_R2	(1, 0.23992472185755953)	(2, 0.11628245313318145)	(3, 0.0)	(4, 0.0020012378709514922)	(5, 0.09598481025346511)	(6, 0.026498847071941035)	(7, 0.026152141388157774)	(8, 0.0)	(9, 0.062450909876402935)	(10, 0.02349874573733042)	(15, 0.004735385225343554)	(20, 0.005166353556324774)	(25, 0.007926832987966197)	(30, 0.014810709815359261)	(35, 0.0001272978692004737)	(40, 0.019189059779009785)	(45, 0.009743791602891403)	(50, 0.005045810040114321)	(55, 0.0)	(60, 0.00035644858707916646)	(65, 0.010277207411459035)	(70, 0.02504648303547718)	(75, 0.021015504877387396)	(80, 0.026625022545560047)	(85, 0.028643699185324473)	(90, 0.02566783558982783)	(95, 0.01318912783227086)	(100, 3.990618216198446e-05)	(105, 0.005311438910887587)	(110, 0.011419666032244728)	(115, 0.024958230222151753)	(120, 0.006237092355651419)	(125, 0.010898059322591535)	(130, 0.00043686938396797503)	(135, 0.011027300239648628)	(140, 0.007250072509722458)	(145, 0.007954205100660222)	(150, 0.0)
SFZ_P1_R1	(1, 0.0)	(2, 0.13632629124390064)	(3, 0.0)	(4, 0.0058446813805317814)	(5, 0.02476322952199075)	(6, 0.02232794561343584)	(7, 0.03894199361179933)	(8, 0.0)	(9, 0.0)	(10, 0.03714168743347503)	(15, 0.031048967877071922)	(20, 0.009580587287655646)	(25, 0.018949214679566697)	(30, 0.03590164169687131)	(35, 0.01944276938148239)	(40, 0.02270535956394015)	(45, 0.001564377868405978)	(50, 0.005971706790208142)	(55, 0.0065736016736458545)	(60, 0.00807373681336382)	(65, 0.018613864562136286)	(70, 0.003273876155044615)	(75, 0.022688533046025642)	(80, 0.002620044266133406)	(85, 0.018274407378347395)	(90, 0.011861896209226609)	(95, 0.01385400869947628)	(100, 0.0050526846269554814)	(105, 0.0006351236809833978)	(110, 0.012575564978249427)	(115, 0.023437555189846852)	(120, 0.00031344527062731773)	(125, 0.011935828943779215)	(130, 1.5638206522902e-05)	(135, 8.11240324691565e-05)	(140, 0.025040256109938954)	(145, 0.003834638620882887)	(150, 0.0)
SFZ_P1_R2	(1, 0.23298000370343547)	(2, 0.12255340780551788)	(3, 0.0)	(4, 0.0017497965861468603)	(5, 0.10601151636740785)	(6, 0.027446551606416993)	(7, 0.02770811913733585)	(8, 0.0)	(9, 0.06807971459915722)	(10, 0.02609451805866743)	(15, 0.005335075673741588)	(20, 0.005970053403972201)	(25, 0.008551454347040403)	(30, 0.01567327443052935)	(35, 0.00013261979792189108)	(40, 0.018805361780419465)	(45, 0.011042756192507854)	(50, 0.005472281116906394)	(55, 0.0)	(60, 0.00035905577231399807)	(65, 0.01086607063335117)	(70, 0.025413908631608407)	(75, 0.020134453101249804)	(80, 0.027110829411869337)	(85, 0.030546804608920047)	(90, 0.02779060279136053)	(95, 0.014574120687738999)	(100, 3.3720966168383494e-05)	(105, 0.005705135908985014)	(110, 0.01094174398040526)	(115, 0.02456551585378015)	(120, 0.0073098477956066105)	(125, 0.011615747225769465)	(130, 0.00041760623086157324)	(135, 0.010549871954789139)	(140, 0.008282618774781834)	(145, 0.008816823244854317)	(150, 0.0)
SFZ_P2_R1	(1, 0.0)	(2, 0.13585917800654634)	(3, 0.0)	(4, 0.006045079719488801)	(5, 0.024658961553691856)	(6, 0.022332226324416473)	(7, 0.04072008245063277)	(8, 0.0)	(9, 0.0)	(10, 0.03707442073710529)	(15, 0.031942307602817875)	(20, 0.009613626779703156)	(25, 0.020052468987389317)	(30, 0.036388809021609334)	(35, 0.02000905851430524)	(40, 0.023284356371118163)	(45, 0.0015445715394480156)	(50, 0.005943282988562851)	(55, 0.006646830234421229)	(60, 0.008496902032186851)	(65, 0.019124947443113362)	(70, 0.0031706549132978264)	(75, 0.023611281645956148)	(80, 0.0026521834285433534)	(85, 0.018767727691354184)	(90, 0.012285805455470889)	(95, 0.014253599825623279)	(100, 0.005316847787030113)	(105, 0.0006317844890590091)	(110, 0.012602360368542856)	(115, 0.024041711013484145)	(120, 0.0003096521817381974)	(125, 0.012052649108370835)	(130, 1.7293222256478984e-05)	(135, 8.398699559966568e-05)	(140, 0.026260591056338805)	(145, 0.0037517210767317993)	(150, 0.0)
SFZ_P2_R2	(1, 0.22889756404117123)	(2, 0.12457562011371753)	(3, 0.0)	(4, 0.0016530899819423184)	(5, 0.10522161488277354)	(6, 0.029560617103365324)	(7, 0.028164575965800097)	(8, 0.0)	(9, 0.07253209288061123)	(10, 0.026165799606936862)	(15, 0.005653301825645099)	(20, 0.006071670979251948)	(25, 0.008827411866039438)	(30, 0.01567563553714798)	(35, 0.00014895092137183195)	(40, 0.01892835164847639)	(45, 0.011561728513900025)	(50, 0.005360981450737863)	(55, 0.0)	(60, 0.00035304136196136546)	(65, 0.011280168441969819)	(70, 0.025973334583789077)	(75, 0.019954401538143977)	(80, 0.02625506556343044)	(85, 0.031382445989149334)	(90, 0.028401972613199954)	(95, 0.014728228965273557)	(100, 5.48036962595516e-05)	(105, 0.005902041341324662)	(110, 0.010977629689569293)	(115, 0.02423020846335769)	(120, 0.0071896556093397)	(125, 0.011892981860910836)	(130, 0.00040043906687540825)	(135, 0.010361072562239573)	(140, 0.008606040781091407)	(145, 0.00887552502933969)	(150, 0.0)
SFZ_P3_R1	(1, 0.0)	(2, 0.12992139129771138)	(3, 0.0005778972465672904)	(4, 0.039659345167201265)	(5, 0.02694101925663701)	(6, 0.03919611007273066)	(7, 0.03510037799983708)	(8, 0.0)	(9, 0.030518478402053573)	(10, 0.045260361972820115)	(15, 0.03791097667203102)	(20, 0.01054800069567821)	(25, 0.027749158104614445)	(30, 0.056024920994477076)	(35, 0.02240994153266898)	(40, 0.02639174953476271)	(45, 0.010754485497151727)	(50, 0.01998831120519303)	(55, 0.0199023020007672)	(60, 0.0128172778634557)	(65, 0.021562205088827655)	(70, 0.009451781738225582)	(75, 0.02213507369167214)	(80, 0.0037310766531891827)	(85, 0.016570271790967116)	(90, 0.010566457224774686)	(95, 0.015041795297488421)	(100, 0.004814711416497731)	(105, 0.0019446869094879838)	(110, 0.015614890757975413)	(115, 0.023992724004677595)	(120, 0.01488139234184237)	(125, 0.012015963938452409)	(130, 0.0002513744904830646)	(135, 0.01048369332013352)	(140, 0.02284586286741009)	(145, 0.004686114446651267)	(150, 0.0)
SFZ_P3_R2	(1, 0.19891590145732843)	(2, 0.12010172459215132)	(3, 0.0)	(4, 0.007003564250065495)	(5, 0.09478432140920336)	(6, 0.02632643012139878)	(7, 0.025046800503999784)	(8, 0.0)	(9, 0.062078089145145045)	(10, 0.022602203421298466)	(15, 0.004905705515304554)	(20, 0.018264304883176697)	(25, 0.010181999106185592)	(30, 0.013861987389581922)	(35, 0.00013120258981801292)	(40, 0.023079850713101775)	(45, 0.013795880148832835)	(50, 0.004997321734966872)	(55, 0.0)	(60, 0.0002795771160686101)	(65, 0.010239526602922377)	(70, 0.024886770490306496)	(75, 0.02369121085944633)	(80, 0.027659323455660786)	(85, 0.027755714911396983)	(90, 0.02547009184586851)	(95, 0.013038501517064028)	(100, 8.243709697522174e-05)	(105, 0.006177147438568056)	(110, 0.008543211500631582)	(115, 0.019540530133392384)	(120, 0.0062146046188274965)	(125, 0.013546827504432426)	(130, 0.0017492191259693987)	(135, 0.008567993696368523)	(140, 0.009672367669362525)	(145, 0.007856072973862288)	(150, 0.0)
