Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
GW_Mock1_R1	0.2508002370533637	0.4477956618008672
GW_Mock1_R2	0.4170603151610776	0.6670082556414731
GW_Mock2_R1	0.24618151094296828	0.4380132793028376
GW_Mock2_R2	0.3018805065818622	0.564239332976856
GW_Mock3_R1	0.22615641370717252	0.31562410275916686
GW_Mock3_R2	0.30355299472266106	0.5255403600589504
GW_P1_R1	0.22771961778267008	0.3544215731855604
GW_P1_R2	0.26367385922661357	0.4700480016446993
GW_P2_R1	0.23078818279332322	0.3497648590119792
GW_P2_R2	0.26741958263004595	0.4526823220048908
GW_P3_R1	0.23706522137123884	0.3573143411085221
GW_P3_R2	0.28820732313140074	0.4720477797176147
SFZ_Mock1_R1	0.2199462066416967	0.4962526186958046
SFZ_Mock1_R2	0.2915557643269842	0.691625685996399
SFZ_Mock2_R1	0.22681128092791708	0.5295868863807924
SFZ_Mock2_R2	0.3701176774324586	0.7153698333978773
SFZ_Mock3_R1	0.20916446695076343	0.4490848001287814
SFZ_Mock3_R2	0.2376074990596157	0.6354983523360964
SFZ_P1_R1	0.1753494609859851	0.26365105159617974
SFZ_P1_R2	0.26613594313990896	0.42023529713124463
SFZ_P2_R1	0.18550949186096938	0.27853458226571265
SFZ_P2_R2	0.29572583170258737	0.4428375444655722
SFZ_P3_R1	0.18222567859813502	0.26649777390311435
SFZ_P3_R2	0.265644687491515	0.4430729016459248
