Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
GW_Mock1_R1	(1.0, 35.27268953058308)	(2.0, 11.5113918222466)	(3.0, 6.332290520969955)	(4.0, 3.9694418503453615)	(5.0, 2.7788183160318467)	(6.0, 2.0127251585237538)	(7.0, 1.621117671782472)	(8.0, 1.2643285804510511)	(9.0, 1.1025067349791016)	('>10', 11.186899046250401)	('>50', 2.994352334301454)	('>100', 6.130201635970444)	('>500', 2.5915481152010074)	('>1k', 6.126602839759943)	('>5k', 2.753858755795327)	('>10k+', 2.351227086808062)
GW_Mock1_R2	(1.0, 36.770407945899166)	(2.0, 11.36598114032948)	(3.0, 6.097061883475062)	(4.0, 3.7455404888862223)	(5.0, 2.5838015911337173)	(6.0, 2.0168025895870194)	(7.0, 1.6027173477683467)	(8.0, 1.2513645391307404)	(9.0, 0.9829162150750124)	('>10', 10.870022292986873)	('>50', 2.880614646816465)	('>100', 5.975649631402671)	('>500', 2.5453889529683775)	('>1k', 6.0590182810679005)	('>5k', 2.603898323894502)	('>10k+', 2.6488141295782586)
GW_Mock2_R1	(1.0, 33.791511131775394)	(2.0, 11.902231477612128)	(3.0, 6.535093049645067)	(4.0, 4.057238954036088)	(5.0, 2.809806877780135)	(6.0, 2.089097367899962)	(7.0, 1.6622931777164296)	(8.0, 1.3402322110746758)	(9.0, 1.091660895491824)	('>10', 11.420542231258061)	('>50', 3.03506006373987)	('>100', 6.099317859128447)	('>500', 2.567350319598312)	('>1k', 6.262082369052734)	('>5k', 2.670322831241909)	('>10k+', 2.6661591829488627)
GW_Mock2_R2	(1.0, 34.56519498259051)	(2.0, 11.888564027016573)	(3.0, 6.370781384051467)	(4.0, 3.972588841232396)	(5.0, 2.8305507994040786)	(6.0, 1.996455843507439)	(7.0, 1.661342742697144)	(8.0, 1.3013551650933293)	(9.0, 1.1260353710278692)	('>10', 11.264738398690934)	('>50', 2.926118229550473)	('>100', 5.9980445691254385)	('>500', 2.558821364265458)	('>1k', 6.200350083131699)	('>5k', 2.4496944769303792)	('>10k+', 2.8893637216847288)
GW_Mock3_R1	(1.0, 33.93019491892696)	(2.0, 12.038238674743033)	(3.0, 6.486642982402831)	(4.0, 3.982853930524853)	(5.0, 2.8603568543745523)	(6.0, 2.065705030880749)	(7.0, 1.6474546935040018)	(8.0, 1.2633063923095116)	(9.0, 1.1247150611623529)	('>10', 11.52305235896105)	('>50', 3.143950089922466)	('>100', 6.065943060671958)	('>500', 2.5610626588445413)	('>1k', 6.185250245482568)	('>5k', 2.6445325098843906)	('>10k+', 2.4767405374040985)
GW_Mock3_R2	(1.0, 33.97343502188355)	(2.0, 11.810025439863722)	(3.0, 6.524584321893939)	(4.0, 4.021774429367504)	(5.0, 2.7445663957644126)	(6.0, 2.100314364190223)	(7.0, 1.6154225513905864)	(8.0, 1.3141504650117073)	(9.0, 1.1046138948221973)	('>10', 11.559486803073366)	('>50', 3.1225336863609696)	('>100', 6.059429302857447)	('>500', 2.56540982388317)	('>1k', 6.164380499374548)	('>5k', 2.618872290369967)	('>10k+', 2.701000709892606)
GW_P1_R1	(1.0, 22.467650636261936)	(2.0, 12.429839231469963)	(3.0, 7.395619505526783)	(4.0, 4.68936782149421)	(5.0, 3.2270417265643543)	(6.0, 2.4911615079957445)	(7.0, 1.891652438341706)	(8.0, 1.5462644024000038)	(9.0, 1.3629044681427671)	('>10', 14.687675320336588)	('>50', 4.032961207207004)	('>100', 7.135006609009856)	('>500', 2.9166154716248327)	('>1k', 7.363887417817507)	('>5k', 3.208831548435741)	('>10k+', 3.153520687371023)
GW_P1_R2	(1.0, 22.18478655447317)	(2.0, 12.806843190791186)	(3.0, 7.414128473191414)	(4.0, 4.792432983468554)	(5.0, 3.255541184029561)	(6.0, 2.4689462741808885)	(7.0, 1.8850078774777128)	(8.0, 1.5470753199170793)	(9.0, 1.3638398546641641)	('>10', 14.48153622352288)	('>50', 3.9474596977786556)	('>100', 7.19095125498105)	('>500', 2.9073489053132446)	('>1k', 7.3694239176115355)	('>5k', 3.0537848640461)	('>10k+', 3.330893424552756)
GW_P2_R1	(1.0, 23.982601390963755)	(2.0, 12.695288457496206)	(3.0, 7.289477440124985)	(4.0, 4.575964984459701)	(5.0, 3.210000210179906)	(6.0, 2.4717927673448568)	(7.0, 1.9231376986196518)	(8.0, 1.6085234387373661)	(9.0, 1.2892615119699464)	('>10', 14.234947652377366)	('>50', 3.930913568205664)	('>100', 6.931763494300721)	('>500', 2.760994002315638)	('>1k', 7.127918163255109)	('>5k', 3.0066751873564974)	('>10k+', 2.9607400322926654)
GW_P2_R2	(1.0, 23.517422465675388)	(2.0, 12.973428810681748)	(3.0, 7.451496722173939)	(4.0, 4.764373706270541)	(5.0, 3.229287086442213)	(6.0, 2.393423330228277)	(7.0, 1.8700605197520377)	(8.0, 1.5489179594980063)	(9.0, 1.3337403954913833)	('>10', 14.22254660296352)	('>50', 3.823866054283901)	('>100', 6.964007021584667)	('>500', 2.840241330786793)	('>1k', 7.159126643681766)	('>5k', 2.887232997833015)	('>10k+', 3.020828352652871)
