gene_id	transcript_id	stage_gene_q	stage_transcript_q	Guiwei_infected	Guiwei_mock	Yurong1_infected	Yurong1_mock	usage_interaction_difference	drimseq_lr	drimseq_df	drimseq_p	drimseq_q	expected_direction	exact_sequence_duplicate_status	transcript_mappability_status	dtu_status	reason
LITCHI026788	LITCHI026788.m1	8.05588205963554e-06	0	0.887860260052817	0.899255118871383	0.937535732895251	0.851741333909823	0.097189257803994	36.4691750614438	1	1.55099770112352e-09	6.12256342518508e-06	positive_usage_interaction	PASS_NOT_IN_DUPLICATE_CLUSTER	PASS_EXACT_DUPLICATES_EXCLUDED	DISCOVERED	stageR_OFDR_pass
LITCHI026788	LITCHI026788.m2	8.05588205963554e-06	0	0.112139739947184	0.100744881128617	0.0624642671047492	0.148258666090177	-0.097189257803994	36.4691750614438	1	1.55099770112352e-09	6.12256342518508e-06	negative_usage_interaction	PASS_NOT_IN_DUPLICATE_CLUSTER	PASS_EXACT_DUPLICATES_EXCLUDED	DISCOVERED	stageR_OFDR_pass
LITCHI026953	LITCHI026953.m1	6.07015355017027e-05	0	0.936849657806104	0.967931359800384	0.944856718944588	0.906273292378965	0.0696651285599033	31.0551863568835	1	2.507953015388e-08	4.95007226412205e-05	positive_usage_interaction	PASS_NOT_IN_DUPLICATE_CLUSTER	PASS_EXACT_DUPLICATES_EXCLUDED	DISCOVERED	stageR_OFDR_pass
LITCHI026953	LITCHI026953.m2	6.07015355017027e-05	0	0.0631503421938963	0.0320686401996161	0.0551432810554123	0.0937267076210355	-0.0696651285599033	31.0551863568835	1	2.507953015388e-08	4.95007226412205e-05	negative_usage_interaction	PASS_NOT_IN_DUPLICATE_CLUSTER	PASS_EXACT_DUPLICATES_EXCLUDED	DISCOVERED	stageR_OFDR_pass
LITCHI020058	LITCHI020058.m7	6.07015355017027e-05	9.90787526513137e-09	0.266641925887383	0.11492904090646	0.0213151927437642	0.135499149506079	-0.265896841743238	42.1863085141522	1	8.29789322358904e-11	1.31023734000471e-06	negative_usage_interaction	PASS_NOT_IN_DUPLICATE_CLUSTER	PASS_EXACT_DUPLICATES_EXCLUDED	DISCOVERED	stageR_OFDR_pass
LITCHI029168	LITCHI029168.m3	6.07015355017027e-05	3.01993214813386e-07	0.074041604883581	0.0087719298245614	0	0.0644699535417274	-0.129739628600747	34.9560744467744	1	3.37227694631813e-09	1.06496505964727e-05	negative_usage_interaction	PASS_NOT_IN_DUPLICATE_CLUSTER	PASS_EXACT_DUPLICATES_EXCLUDED	DISCOVERED	stageR_OFDR_pass
LITCHI019350	LITCHI019350.m2	8.79809439790241e-05	2.66302076490334e-07	0.0447052249231629	0.18924177537717	0.104236085029378	0.0411522633744856	0.2076203721089	34.4115926853847	1	4.46058541676147e-09	1.17387739551106e-05	positive_usage_interaction	PASS_NOT_IN_DUPLICATE_CLUSTER	PASS_EXACT_DUPLICATES_EXCLUDED	DISCOVERED	stageR_OFDR_pass
LITCHI017484	LITCHI017484.m4	8.79809439790241e-05	3.38104456884928e-06	0.333167068124134	0.26731998959898	0.216980725412822	0.381410059713849	-0.230276412826181	28.1328716306016	1	1.13265644008428e-07	0.000162587683535734	negative_usage_interaction	PASS_NOT_IN_DUPLICATE_CLUSTER	PASS_EXACT_DUPLICATES_EXCLUDED	DISCOVERED	stageR_OFDR_pass
LITCHI017484	LITCHI017484.m3	8.79809439790241e-05	0.000222751100568776	0.407125555132771	0.437339144731528	0.46486900401793	0.289105697695112	0.205976895921575	20.0709379079635	1	7.46220475528821e-06	0.00471312852344003	positive_usage_interaction	PASS_NOT_IN_DUPLICATE_CLUSTER	PASS_EXACT_DUPLICATES_EXCLUDED	DISCOVERED	stageR_OFDR_pass
LITCHI031450	LITCHI031450.m2	0.000119875341411584	7.84899471448737e-08	0.166740091623891	0.209249366284961	0.0397614314115308	0.224123660763741	-0.141852954691139	37.5820442579861	1	8.76476113670133e-10	6.12256342518508e-06	negative_usage_interaction	PASS_NOT_IN_DUPLICATE_CLUSTER	PASS_EXACT_DUPLICATES_EXCLUDED	DISCOVERED	stageR_OFDR_pass
LITCHI030477	LITCHI030477.m1	0.00100415668291478	0	0.583478243028502	0.678342143016325	0.499922164035777	0.369878937164221	0.224907126859379	23.08911125944	1	1.54664102104703e-06	0.00152634135764579	positive_usage_interaction	PASS_NOT_IN_DUPLICATE_CLUSTER	PASS_EXACT_DUPLICATES_EXCLUDED	DISCOVERED	stageR_OFDR_pass
LITCHI030477	LITCHI030477.m2	0.00100415668291478	0	0.416521756971498	0.321657856983675	0.500077835964223	0.630121062835779	-0.224907126859379	23.08911125944	1	1.54664102104703e-06	0.00152634135764579	negative_usage_interaction	PASS_NOT_IN_DUPLICATE_CLUSTER	PASS_EXACT_DUPLICATES_EXCLUDED	DISCOVERED	stageR_OFDR_pass
LITCHI025866	LITCHI025866.m7	0.00114009885352148	5.29924095693466e-06	0.238213532939637	0.24413401014203	0.0258197197784859	0.193482902828243	-0.161742705847364	28.6047800496745	1	8.87627961596679e-08	0.000140156455136116	negative_usage_interaction	PASS_NOT_IN_DUPLICATE_CLUSTER	PASS_EXACT_DUPLICATES_EXCLUDED	DISCOVERED	stageR_OFDR_pass
LITCHI016668	LITCHI016668.m1	0.00114009885352148	0.000746465038572719	0.0391852455752594	0	0.0615730466556569	0.063783227005619	-0.0413954259252215	17.7640247416857	1	2.50067225089821e-05	0.00805828874320057	negative_usage_interaction	PASS_NOT_IN_DUPLICATE_CLUSTER	PASS_EXACT_DUPLICATES_EXCLUDED	DISCOVERED	stageR_OFDR_pass
LITCHI016668	LITCHI016668.m4	0.00114009885352148	0.00693840170229889	0.817052125866383	0.937740311018149	0.876107561891468	0.83704261815873	0.159753128884504	13.5488177285006	1	0.000232437792876397	0.0284511065854133	positive_usage_interaction	PASS_NOT_IN_DUPLICATE_CLUSTER	PASS_EXACT_DUPLICATES_EXCLUDED	DISCOVERED	stageR_OFDR_pass
LITCHI025053	LITCHI025053.m4	0.00123009028897677	0.000982787776297894	0.135356563010793	0.0831196001973991	0	0.153587164570428	-0.205824127383822	18.5602470865415	1	1.64617898609774e-05	0.00684030689223247	negative_usage_interaction	PASS_NOT_IN_DUPLICATE_CLUSTER	PASS_EXACT_DUPLICATES_EXCLUDED	DISCOVERED	stageR_OFDR_pass
LITCHI010783	LITCHI010783.m4	0.0013910666179055	7.0564103093777e-06	0.175962281937879	0.0735675908016334	0.00338409475465313	0.102180754471463	-0.201191350853056	28.8354149752704	1	7.87970346445719e-08	0.000138245019670866	negative_usage_interaction	PASS_NOT_IN_DUPLICATE_CLUSTER	PASS_EXACT_DUPLICATES_EXCLUDED	DISCOVERED	stageR_OFDR_pass
LITCHI004161	LITCHI004161.m6	0.0013910666179055	3.23523410063586e-05	0.173872529590512	0.161482885252257	0.0707956898704586	0	0.058406045532203	25.108605627378	1	5.41904826252059e-07	0.000666174204452931	positive_usage_interaction	PASS_NOT_IN_DUPLICATE_CLUSTER	PASS_EXACT_DUPLICATES_EXCLUDED	DISCOVERED	stageR_OFDR_pass
LITCHI025689	LITCHI025689.m7	0.0013910666179055	0.000630710492483117	0.0888575942174175	0.0620717620593624	0.0678841422283371	0.15721022718363	-0.116111917113349	19.406540880329	1	1.0564461464388e-05	0.00530016881825182	negative_usage_interaction	PASS_NOT_IN_DUPLICATE_CLUSTER	PASS_EXACT_DUPLICATES_EXCLUDED	DISCOVERED	stageR_OFDR_pass
LITCHI025689	LITCHI025689.m2	0.0013910666179055	0.0345230624534223	0.4922067417861	0.568732879243817	0.610064845429764	0.525621363349005	0.160969619538476	11.8446751589654	1	0.000578264619454706	0.0428675978459615	positive_usage_interaction	PASS_NOT_IN_DUPLICATE_CLUSTER	PASS_EXACT_DUPLICATES_EXCLUDED	DISCOVERED	stageR_OFDR_pass
LITCHI008136	LITCHI008136.m1	0.00184792085354731	0	0.453086419753086	0.88047138047138	0.503839011660979	0.494037362678615	0.437186609700658	20.296847622325	1	6.63097456517959e-06	0.00455230819061677	positive_usage_interaction	PASS_NOT_IN_DUPLICATE_CLUSTER	PASS_EXACT_DUPLICATES_EXCLUDED	DISCOVERED	stageR_OFDR_pass
LITCHI008136	LITCHI008136.m2	0.00184792085354731	0	0.546913580246914	0.11952861952862	0.496160988339021	0.505962637321385	-0.437186609700658	20.296847622325	1	6.63097456517959e-06	0.00455230819061677	negative_usage_interaction	PASS_NOT_IN_DUPLICATE_CLUSTER	PASS_EXACT_DUPLICATES_EXCLUDED	DISCOVERED	stageR_OFDR_pass
LITCHI010719	LITCHI010719.m1	0.00184792085354731	8.00116196439417e-05	0	0.416201511423335	0.277464414581989	0.379456231515471	0.314209694489853	22.0327303952654	1	2.68040466269655e-06	0.00248962291905756	positive_usage_interaction	PASS_NOT_IN_DUPLICATE_CLUSTER	PASS_EXACT_DUPLICATES_EXCLUDED	DISCOVERED	stageR_OFDR_pass
LITCHI007310	LITCHI007310.m6	0.00184792085354731	0.000297529564699334	0.163312851741986	0.154218110850576	0.157263444170772	0.0446153846153846	0.103553318663977	19.5176781336486	1	9.96729770074779e-06	0.00530016881825182	positive_usage_interaction	PASS_NOT_IN_DUPLICATE_CLUSTER	PASS_EXACT_DUPLICATES_EXCLUDED	DISCOVERED	stageR_OFDR_pass
LITCHI010719	LITCHI010719.m5	0.00184792085354731	0.00204526087016312	0.627307392938045	0.574139631198942	0.618527257301512	0.620543768484529	-0.0551842729221197	15.8513777776388	1	6.85166329242168e-05	0.0130346702876311	negative_usage_interaction	PASS_NOT_IN_DUPLICATE_CLUSTER	PASS_EXACT_DUPLICATES_EXCLUDED	DISCOVERED	stageR_OFDR_pass
LITCHI017382	LITCHI017382.m4	0.00184792085354731	0.005173763338949	0.134862492421841	0.0573951434878587	0.0407673860911271	0.089411711796649	-0.126111674639504	16.174254346508	1	5.77740226528768e-05	0.0120033133906437	negative_usage_interaction	PASS_NOT_IN_DUPLICATE_CLUSTER	PASS_EXACT_DUPLICATES_EXCLUDED	DISCOVERED	stageR_OFDR_pass
