gene_id	weight	expected_direction	primary_interaction_log2fc	primary_q
LITCHI008721	-1.84138938011684	stronger_infection_response_in_Guiwei	-1.91058272270929	7.86851905355691e-11
LITCHI005805	1.98215378859914	stronger_infection_response_in_Yurong1	2.07255591145601	5.52532016694485e-08
LITCHI015740	-1.87322869807968	stronger_infection_response_in_Guiwei	-1.96299486758937	1.15007301951712e-07
LITCHI010877	-2.64100191381313	stronger_infection_response_in_Guiwei	-2.77434466350923	2.13991601641715e-07
LITCHI009437	0.990859021685459	stronger_infection_response_in_Yurong1	1.03949061099977	2.56887041844824e-07
LITCHI023626	-1.33735416055161	stronger_infection_response_in_Guiwei	-1.40847760833401	5.3720254067952e-07
LITCHI015982	3.24129495890425	stronger_infection_response_in_Yurong1	3.42612366371821	7.78353948677146e-07
LITCHI025204	2.68889471364192	stronger_infection_response_in_Yurong1	2.85870852391512	3.54928996014056e-06
LITCHI014613	3.46233689714127	stronger_infection_response_in_Yurong1	3.69273027953801	8.69074825280193e-06
LITCHI028717	-0.85211812450014	stronger_infection_response_in_Guiwei	-0.907362306726487	1.8218963424227e-05
LITCHI020058	-0.883245223671589	stronger_infection_response_in_Guiwei	-0.941598616265346	1.93707451928746e-05
LITCHI013915	1.4675465533261	stronger_infection_response_in_Yurong1	1.58253973508206	4.39633402885569e-05
LITCHI016077	1.68517914998242	stronger_infection_response_in_Yurong1	1.81072779153467	4.39633402885569e-05
LITCHI028926	1.7646744623068	stronger_infection_response_in_Yurong1	1.90078618581322	5.72406619395087e-05
LITCHI021546	1.21770855461072	stronger_infection_response_in_Yurong1	1.31268337866113	6.63965529613855e-05
LITCHI005234	2.22617909067335	stronger_infection_response_in_Yurong1	2.41562318712994	0.000193366087124934
LITCHI014480	-0.938477441629648	stronger_infection_response_in_Guiwei	-1.01836067537996	0.000285223574243013
LITCHI022605	0.690465751988638	stronger_infection_response_in_Yurong1	0.744942891873029	0.000291548606930528
LITCHI009639	-1.6301907182217	stronger_infection_response_in_Guiwei	-1.77880934382893	0.000368521671955845
LITCHI012815	-2.3653747798612	stronger_infection_response_in_Guiwei	-2.54894194259723	0.000457096292226895
LITCHI004438	1.34020207364397	stronger_infection_response_in_Yurong1	1.46471169048401	0.000458550753798687
LITCHI002263	-1.16524428638502	stronger_infection_response_in_Guiwei	-1.27206412023338	0.000470498373865878
LITCHI029373	-0.699876709289643	stronger_infection_response_in_Guiwei	-0.761291752666979	0.000608633059705247
LITCHI019822	-0.67208334450578	stronger_infection_response_in_Guiwei	-0.730865538412879	0.00070605867572226
LITCHI011122	1.39414986801529	stronger_infection_response_in_Yurong1	1.53140442080389	0.000770317942914888
LITCHI008817	-1.11738522863896	stronger_infection_response_in_Guiwei	-1.23258869770076	0.000795418321148719
LITCHI023108	1.09004911099841	stronger_infection_response_in_Yurong1	1.2004305898851	0.000924526440224526
LITCHI010325	-1.60114984232782	stronger_infection_response_in_Guiwei	-1.77220035077222	0.0010156123433396
LITCHI031010	-1.80453243678916	stronger_infection_response_in_Guiwei	-1.99719086698081	0.0010156123433396
LITCHI019857	0.936603819562557	stronger_infection_response_in_Yurong1	1.03246151283045	0.0011709136879456
LITCHI006337	-1.28771434352383	stronger_infection_response_in_Guiwei	-1.42715758717594	0.00127886488498145
LITCHI025608	-0.988716596673689	stronger_infection_response_in_Guiwei	-1.09304877967237	0.00127886488498145
LITCHI017733	1.20953419579057	stronger_infection_response_in_Yurong1	1.33483169311659	0.00130850272308789
LITCHI015464	1.14277684033349	stronger_infection_response_in_Yurong1	1.2669359040326	0.00133200908602764
LITCHI028928	0.90064975872446	stronger_infection_response_in_Yurong1	0.996114849840184	0.00133200908602764
LITCHI030441	0.547266562939225	stronger_infection_response_in_Yurong1	0.598066185040018	0.00161171491783075
LITCHI018512	1.48418412947372	stronger_infection_response_in_Yurong1	1.65757689760108	0.00194437627616045
