sample_id	run	mate	path	bytes	expected_md5	observed_md5	status
GW_P1	SRR18856609	1	data/active_discovery/PRJNA830488/fastq/SRR18856609_1.fastq.gz	1873470661	d431bc9acef1d0675fd97d8430f7c4d7	d431bc9acef1d0675fd97d8430f7c4d7	RETRIED_AFTER_QUARANTINE:SRR18856609_1.fastq.gz.invalid-65dc00f5091b
GW_P1	SRR18856609	2	data/active_discovery/PRJNA830488/fastq/SRR18856609_2.fastq.gz	1909689952	0da872224d2ea0c398f1f4cf6eb2f824	0da872224d2ea0c398f1f4cf6eb2f824	DOWNLOADED
GW_P2	SRR18856608	1	data/active_discovery/PRJNA830488/fastq/SRR18856608_1.fastq.gz	1673425064	b95d77a4d68538a3af845a606e56a3e0	b95d77a4d68538a3af845a606e56a3e0	DOWNLOADED
GW_P2	SRR18856608	2	data/active_discovery/PRJNA830488/fastq/SRR18856608_2.fastq.gz	1721713097	679e283f02ad7f2f5afd54cb29e8cc12	679e283f02ad7f2f5afd54cb29e8cc12	DOWNLOADED
GW_P3	SRR18856607	1	data/active_discovery/PRJNA830488/fastq/SRR18856607_1.fastq.gz	1588234255	07decd888920aa37bd516894e66dbc62	07decd888920aa37bd516894e66dbc62	DOWNLOADED
GW_P3	SRR18856607	2	data/active_discovery/PRJNA830488/fastq/SRR18856607_2.fastq.gz	1653673475	38f3f2832cd8ecb13db36bda56191cd7	38f3f2832cd8ecb13db36bda56191cd7	DOWNLOADED
GW_M1	SRR18856600	1	data/active_discovery/PRJNA830488/fastq/SRR18856600_1.fastq.gz	1609446304	d50ec1c286f837fce504bd5df88214eb	d50ec1c286f837fce504bd5df88214eb	DOWNLOADED
GW_M1	SRR18856600	2	data/active_discovery/PRJNA830488/fastq/SRR18856600_2.fastq.gz	1639583870	502690f3c3fdced091128077e8f1cd06	502690f3c3fdced091128077e8f1cd06	DOWNLOADED
GW_M2	SRR18856599	1	data/active_discovery/PRJNA830488/fastq/SRR18856599_1.fastq.gz	1844991629	2572f925890059e49bf3c1afd70eb9e0	2572f925890059e49bf3c1afd70eb9e0	DOWNLOADED
GW_M2	SRR18856599	2	data/active_discovery/PRJNA830488/fastq/SRR18856599_2.fastq.gz	1881574226	0bf81a11e40fcec760a856341bff921a	0bf81a11e40fcec760a856341bff921a	DOWNLOADED
GW_M3	SRR18856598	1	data/active_discovery/PRJNA830488/fastq/SRR18856598_1.fastq.gz	1832289621	11302f4f6cb9ab1de4f59bf074d947e8	11302f4f6cb9ab1de4f59bf074d947e8	DOWNLOADED
GW_M3	SRR18856598	2	data/active_discovery/PRJNA830488/fastq/SRR18856598_2.fastq.gz	1862579691	9ba847ab9f2ad7b36653a4731406d320	9ba847ab9f2ad7b36653a4731406d320	DOWNLOADED
YR_P1	SRR18856603	1	data/active_discovery/PRJNA830488/fastq/SRR18856603_1.fastq.gz	1522863728	0ddc80ac3149fb13636e937613b80d84	0ddc80ac3149fb13636e937613b80d84	DOWNLOADED
YR_P1	SRR18856603	2	data/active_discovery/PRJNA830488/fastq/SRR18856603_2.fastq.gz	1561559758	280cfa36f6fe87634a229e879b8914f6	280cfa36f6fe87634a229e879b8914f6	DOWNLOADED
YR_P2	SRR18856602	1	data/active_discovery/PRJNA830488/fastq/SRR18856602_1.fastq.gz	1566702998	d79d57eb322de12feab000f00cc0e124	d79d57eb322de12feab000f00cc0e124	DOWNLOADED
YR_P2	SRR18856602	2	data/active_discovery/PRJNA830488/fastq/SRR18856602_2.fastq.gz	1621148138	edd41f46557112b80b504018ea76f44d	edd41f46557112b80b504018ea76f44d	DOWNLOADED
YR_P3	SRR18856601	1	data/active_discovery/PRJNA830488/fastq/SRR18856601_1.fastq.gz	1436620829	790d94cc4c84e453375f62066c8d8001	790d94cc4c84e453375f62066c8d8001	DOWNLOADED
YR_P3	SRR18856601	2	data/active_discovery/PRJNA830488/fastq/SRR18856601_2.fastq.gz	1472706133	379330bda9002ce17997badace9da576	379330bda9002ce17997badace9da576	DOWNLOADED
YR_M1	SRR18856606	1	data/active_discovery/PRJNA830488/fastq/SRR18856606_1.fastq.gz	1544327877	a9b0aba5765510f412acc4ebbb310232	a9b0aba5765510f412acc4ebbb310232	DOWNLOADED
YR_M1	SRR18856606	2	data/active_discovery/PRJNA830488/fastq/SRR18856606_2.fastq.gz	1616798072	33849788509052d9bff0208603e2d4f3	33849788509052d9bff0208603e2d4f3	DOWNLOADED
YR_M2	SRR18856605	1	data/active_discovery/PRJNA830488/fastq/SRR18856605_1.fastq.gz	1596298428	d07e505ca474ee62d9d7e64c6644de8b	d07e505ca474ee62d9d7e64c6644de8b	DOWNLOADED
YR_M2	SRR18856605	2	data/active_discovery/PRJNA830488/fastq/SRR18856605_2.fastq.gz	1662447243	681dbf2ad088936ca475961834eec7ac	681dbf2ad088936ca475961834eec7ac	DOWNLOADED
YR_M3	SRR18856604	1	data/active_discovery/PRJNA830488/fastq/SRR18856604_1.fastq.gz	1595203679	a1f38877fb5c04201fefc22f218b9006	a1f38877fb5c04201fefc22f218b9006	DOWNLOADED
YR_M3	SRR18856604	2	data/active_discovery/PRJNA830488/fastq/SRR18856604_2.fastq.gz	1649799570	fed8881e0b81e8ba6e6a6b8f10810f6a	fed8881e0b81e8ba6e6a6b8f10810f6a	DOWNLOADED
