sample_id	run	cultivar	treatment	input_read_pairs	surviving_read_pairs	fastp_survival_fraction	q30_rate_after	star_input_reads	star_unique_percent	star_multi_percent	star_mismatch_percent	host_mapped_alignments	pathogen_mapped_alignments	unmapped_alignments	host_fraction_of_host_pathogen	pathogen_fraction_of_host_pathogen	salmon_mapping_rate	technical_gate	technical_gate_reason
RNA-Seq_FZX_Fr_C1	SRR23050944	Feizixiao	infected	37677087	37276029	0.9893553872675985	0.952155	37276029	72.57	10.68	0.88	83660924	1434	0	0.9999828596750764	1.7140324923665192e-05	0.5776515787129578	INCLUDE	none
RNA-Seq_FZX_Fr_C2	SRR23050943	Feizixiao	infected	43148811	42650747	0.9884570631621807	0.951228	42650747	72.79	10.4	0.89	93978382	1404	0	0.9999850606171842	1.493938281578977e-05	0.5824318622133394	INCLUDE	none
RNA-Seq_FZX_Fr_C3	SRR23050942	Feizixiao	infected	35174729	34804002	0.9894604163119494	0.950242	34804002	73.07	10.18	0.89	77065094	4406	0	0.9999428308215312	5.716917846878467e-05	0.5831338591464281	INCLUDE	none
RNA-Seq_FZX_Fr_M1	SRR23050941	Feizixiao	mock	38394172	38077828	0.9917606245031146	0.930896	38077828	71.6	10.6	0.96	84527824	430	0	0.9999949129435467	5.087056453336892e-06	0.5690975336093225	INCLUDE	none
RNA-Seq_FZX_Fr_M2	SRR23050940	Feizixiao	mock	40358531	39991253	0.9908996192155756	0.927872	39991253	71.6	9.91	0.98	84835540	448	0	0.9999947192222244	5.2807777755826925e-06	0.562383254158103	INCLUDE	none
RNA-Seq_FZX_Fr_M3	SRR23050939	Feizixiao	mock	39244849	38871128	0.9904771961283377	0.9272	38871128	71.51	10.12	0.98	83970664	428	0	0.9999949030078114	5.0969921886927464e-06	0.5631604516339223	INCLUDE	none
RNA-Seq_FZX_Le_C1	SRR23050950	Feizixiao	infected	35620848	35328145	0.9917828177476291	0.953648	35328145	68.75	10.12	1.01	73201600	34176	0	0.9995333428296028	0.0004666571703971567	0.4901495960232274	INCLUDE	none
RNA-Seq_FZX_Le_C2	SRR23050949	Feizixiao	infected	43858629	43551962	0.993007829770511	0.955064	43551962	67.58	10.38	1.0	91391888	37372	0	0.9995912468284224	0.0004087531715776766	0.491491956206244	INCLUDE	none
RNA-Seq_FZX_Le_C3	SRR23050948	Feizixiao	infected	38825544	38555472	0.9930439609551897	0.933337	38555472	67.72	9.26	1.06	75975686	32298	0	0.9995750709557039	0.0004249290442961887	0.4907339741554713	INCLUDE	none
RNA-Seq_FZX_Le_M1	SRR23050947	Feizixiao	mock	42734424	42453006	0.9934147234557321	0.954627	42453006	68.42	10.52	1.0	91274434	302	0	0.9999966913078774	3.308692122648265e-06	0.49437457974118487	INCLUDE	none
RNA-Seq_FZX_Le_M2	SRR23050946	Feizixiao	mock	39939393	39623581	0.9920927190856406	0.951554	39623581	68.78	10.66	1.0	83054076	472	0	0.999994316987915	5.683012085021521e-06	0.4871286116214483	INCLUDE	none
RNA-Seq_FZX_Le_M3	SRR23050945	Feizixiao	mock	45726380	45336071	0.9914642488646598	0.951543	45336071	69.82	9.99	1.0	97333606	84	0	0.9999991369894637	8.630105362285145e-07	0.4950032613104034	INCLUDE	none
