cultivar	treatment	time_h	tissue	replicate	small_rna_sample_id	small_rna_biosample	small_rna_run	mrna_sample_id	mrna_biosample	mrna_run	pairing_status
Feizixiao	infected	24	fruit	1	miRNA-Seq_FZX_Fr_C1	SAMN32678569	SRR23050913	RNA-Seq_FZX_Fr_C1	SAMN32678587	SRR23050944	DESIGN_MATCH_ONLY_NOT_SAME_BIOSAMPLE
Feizixiao	infected	24	fruit	2	miRNA-Seq_FZX_Fr_C2	SAMN32678568	SRR23050912	RNA-Seq_FZX_Fr_C2	SAMN32678586	SRR23050943	DESIGN_MATCH_ONLY_NOT_SAME_BIOSAMPLE
Feizixiao	infected	24	fruit	3	miRNA-Seq_FZX_Fr_C3	SAMN32678567	SRR23050911	RNA-Seq_FZX_Fr_C3	SAMN32678585	SRR23050942	DESIGN_MATCH_ONLY_NOT_SAME_BIOSAMPLE
Feizixiao	infected	24	leaf	1	miRNA-Seq_FZX_Le_C1	SAMN32678575	SRR23050919	RNA-Seq_FZX_Le_C1	SAMN32678593	SRR23050950	DESIGN_MATCH_ONLY_NOT_SAME_BIOSAMPLE
Feizixiao	infected	24	leaf	2	miRNA-Seq_FZX_Le_C2	SAMN32678574	SRR23050918	RNA-Seq_FZX_Le_C2	SAMN32678592	SRR23050949	DESIGN_MATCH_ONLY_NOT_SAME_BIOSAMPLE
Feizixiao	infected	24	leaf	3	miRNA-Seq_FZX_Le_C3	SAMN32678573	SRR23050917	RNA-Seq_FZX_Le_C3	SAMN32678591	SRR23050948	DESIGN_MATCH_ONLY_NOT_SAME_BIOSAMPLE
Feizixiao	mock	24	fruit	1	miRNA-Seq_FZX_Fr_M1	SAMN32678566	SRR23050910	RNA-Seq_FZX_Fr_M1	SAMN32678584	SRR23050941	DESIGN_MATCH_ONLY_NOT_SAME_BIOSAMPLE
Feizixiao	mock	24	fruit	2	miRNA-Seq_FZX_Fr_M2	SAMN32678565	SRR23050909	RNA-Seq_FZX_Fr_M2	SAMN32678583	SRR23050940	DESIGN_MATCH_ONLY_NOT_SAME_BIOSAMPLE
Feizixiao	mock	24	fruit	3	miRNA-Seq_FZX_Fr_M3	SAMN32678564	SRR23050908	RNA-Seq_FZX_Fr_M3	SAMN32678582	SRR23050939	DESIGN_MATCH_ONLY_NOT_SAME_BIOSAMPLE
Feizixiao	mock	24	leaf	1	miRNA-Seq_FZX_Le_M1	SAMN32678572	SRR23050916	RNA-Seq_FZX_Le_M1	SAMN32678590	SRR23050947	DESIGN_MATCH_ONLY_NOT_SAME_BIOSAMPLE
Feizixiao	mock	24	leaf	2	miRNA-Seq_FZX_Le_M2	SAMN32678571	SRR23050915	RNA-Seq_FZX_Le_M2	SAMN32678589	SRR23050946	DESIGN_MATCH_ONLY_NOT_SAME_BIOSAMPLE
Feizixiao	mock	24	leaf	3	miRNA-Seq_FZX_Le_M3	SAMN32678570	SRR23050914	RNA-Seq_FZX_Le_M3	SAMN32678588	SRR23050945	DESIGN_MATCH_ONLY_NOT_SAME_BIOSAMPLE
