sample_id	run	cultivar	treatment	input_read_pairs	surviving_read_pairs	fastp_survival_fraction	q30_rate_after	star_input_reads	star_unique_percent	star_multi_percent	star_mismatch_percent	host_mapped_alignments	pathogen_mapped_alignments	unmapped_alignments	host_fraction_of_host_pathogen	pathogen_fraction_of_host_pathogen	salmon_mapping_rate	technical_gate	technical_gate_reason
GW_P1	SRR28413513	Guiwei	infected	21795031	21226981	0.9739367197963609	0.933944	21226981	77.02	14.43	1.3	55156923	97560	0	0.9982343514100024	0.0017656485899976658	0.6743539743122209	INCLUDE	none
GW_P2	SRR28413511	Guiwei	infected	21884953	21227690	0.9699673561099263	0.933837	21227690	77.41	13.68	1.31	52471950	105298	0	0.9979972706064798	0.002002729393520178	0.6794304043445142	INCLUDE	none
GW_P3	SRR28413510	Guiwei	infected	19841617	19254195	0.9703944492024011	0.931301	19254195	76.39	13.92	1.31	48152547	100600	0	0.9979151618857108	0.002084838114289209	0.6698309641093797	INCLUDE	none
GW_Mock1	SRR28413516	Guiwei	mock	21453163	20884749	0.9735044198377647	0.927007	20884749	76.81	13.7	1.33	51720480	232	0	0.9999955143695625	4.485630437570156e-06	0.69106360818605	INCLUDE	none
GW_Mock2	SRR28413515	Guiwei	mock	22454732	21863949	0.9736900444859462	0.932331	21863949	77.07	13.56	1.3	54057957	76	0	0.9999985941034888	1.4058965112548583e-06	0.6892154752098992	INCLUDE	none
GW_Mock3	SRR28413514	Guiwei	mock	23023690	22475153	0.9761751048593862	0.930519	22475153	76.78	13.54	1.32	55362455	528	0	0.9999904629416374	9.537058362624716e-06	0.6815331579722728	INCLUDE	none
SFZ_P1	SRR28413507	SFZ_unresolved	infected	22765347	22174006	0.9740245119039916	0.936831	22174006	81.01	11.28	1.23	52137340	156646	0	0.9970045121440925	0.0029954878559075608	0.719558793300588	INCLUDE	none
SFZ_P2	SRR28413506	SFZ_unresolved	infected	23210841	22563805	0.9721235434769468	0.935009	22563805	80.24	11.59	1.25	53393598	182918	0	0.9965858548920948	0.0034141451079051127	0.7081040631223324	INCLUDE	none
SFZ_P3	SRR28413505	SFZ_unresolved	infected	22260210	21803184	0.9794689268430082	0.935126	21803184	80.69	11.05	1.25	50578554	179102	0	0.9964714288618844	0.003528571138115598	0.7169460203610629	INCLUDE	none
SFZ_Mock1	SRR28413509	SFZ_unresolved	mock	22739725	22276356	0.9796229285974215	0.933155	22276356	77.65	13.04	1.27	54328188	50	0	0.9999990796682933	9.203317066899905e-07	0.6735153631051685	INCLUDE	none
SFZ_Mock2	SRR28413512	SFZ_unresolved	mock	23488381	22372344	0.9524855714831941	0.933576	22372344	77.03	13.39	1.28	54790828	126	0	0.999997700350317	2.299649683048045e-06	0.6737200178935207	INCLUDE	none
SFZ_Mock3	SRR28413508	SFZ_unresolved	mock	23316006	22785897	0.977264159221781	0.939023	22785897	77.49	13.15	1.25	55715883	460	0	0.9999917438946055	8.256105394426192e-06	0.6738667782093459	INCLUDE	none
