category	id	target	status	required	observed	expected	detail
resource	free_disk_bytes	/home/ericzhuang2010/VscodeProjects/lychee	PASS	true	373998125056	>=161061273600	
resource	cpu_count	/home/ericzhuang2010/VscodeProjects/lychee	PASS	true	16	>=16	
resource	ram_bytes	/proc/meminfo	WARN	false	16648536064	preferred>=68719476736	Low RAM is nonblocking only with one alignment and capped STAR sorting.
directory	legacy_archive	/home/ericzhuang2010/VscodeProjects/lychee/data/archive	WARN	false	False	directory if available	Missing archive is nonblocking because S2 is recovered and S3 is reconstructable.
file	manuscript_pdf	/home/ericzhuang2010/VscodeProjects/lychee/docs/paper/lychee_plants_revised_vixra_format.pdf	PASS	true	1930883	type=pdf; bytes>=1	b'%PDF-1.3'
file	manuscript_docx	/home/ericzhuang2010/VscodeProjects/lychee/docs/paper/lychee_plants_revised_vixra_format.docx	PASS	true	1339853	type=zip; bytes>=1	b'PK\x03\x04\x14\x00\x06\x00'
file	review_feedback	/home/ericzhuang2010/VscodeProjects/lychee/docs/paper/review_feedback.txt	PASS	true	3588	type=text; bytes>=1	utf-8
file	legacy_s1	/home/ericzhuang2010/VscodeProjects/lychee/data/source/zenodo/Supplementary_Table_S1_Rationale.docx	PASS	true	39598	type=zip; bytes>=1	b'PK\x03\x04\x14\x00\x00\x00'; md5=c279b41356f513327d31b04043aede42
file	legacy_s2	/home/ericzhuang2010/VscodeProjects/lychee/data/source/zenodo/Supplementary_File_S2_reproducible_workflow.zip	PASS	true	7206	type=zip; bytes>=1	b'PK\x03\x04\n\x00\x00\x00'; md5=03973a02743f5e140cb5ae8638ff5ba5
file	legacy_s3	/home/ericzhuang2010/VscodeProjects/lychee/data/source/legacy/Supplementary_File_S3_GSE262200_workflow.zip	ROUTE	false	missing	zip	Reconstruct only after discovery freeze from the revised external-analysis scripts; GSE262200 is exploratory.
file	host_genome_gz	/home/ericzhuang2010/VscodeProjects/lychee/data/reference/host/Lchinesis_genome.Chr.fasta.gz	PASS	true	142069249	type=gzip; bytes>=100000000	b'\x1f\x8b\x08\x08\xe8\xe9\xd8^'; sha256=693bf47aaa915a9c5145d9c3e39dfed9ba7b181a64654bc25e978096da9583d7
file	host_gff_gz	/home/ericzhuang2010/VscodeProjects/lychee/data/reference/host/Lchinesis_genome.Chr.gff3.gz	PASS	true	5109855	type=gzip; bytes>=1000000	b'\x1f\x8b\x08\x08\x00\xa8\xd9^'; sha256=9be8da5a658edff29bce57a76c8cf0d760375aa95c8434af277d7d12aab4d10a
file	host_cds_gz	/home/ericzhuang2010/VscodeProjects/lychee/data/reference/host/Lchinesis_genome.Chr.cds.gz	PASS	true	12263935	type=gzip; bytes>=1000000	b'\x1f\x8b\x08\x08\xa7\xab\xd9^'; sha256=a582c95d19be8ca579b0995c3692458f4aef007e403b19382f056b50ff975fb9
file	host_peptide_gz	/home/ericzhuang2010/VscodeProjects/lychee/data/reference/host/Lchinesis_genome.Chr.pep.gz	PASS	true	7491271	type=gzip; bytes>=1000000	b'\x1f\x8b\x08\x08\xc6\xac\xd9^'; sha256=96248fe5cf89364417a16bc5dd605600dd9a7a09c81131305b5126e0d73676e6
file	pathogen_genome_gz	/home/ericzhuang2010/VscodeProjects/lychee/data/reference/pathogen/GWHAOTU00000000.genome.fasta.gz	PASS	true	18517466	type=gzip; bytes>=1000000	b'\x1f\x8b\x08\x08\xc2H\x9e_'; sha256=fd6b34aa637336ed5720a74a1f6705ff412e96359fdbc43dfcfed1beccb322d1
file	plant_reactome_snapshot	/home/ericzhuang2010/VscodeProjects/lychee/data/reference/pathways/plant_reactome_gene_ids_by_pathway_and_species_2026-08-18.tsv	PASS	true	24388295	type=text; bytes>=1000000	utf-8; sha256=47d61507bec680717ad2a8069ffb67efa6a7b52af162f483678a2ba49d5572a2
file	oryza_uniprot_snapshot	/home/ericzhuang2010/VscodeProjects/lychee/data/reference/pathways/uniprot_oryza_sativa_2026-08-18.fasta.gz	PASS	true	22357285	type=gzip; bytes>=1000000	b'\x1f\x8b\x08\x00\x00\x00\x00\x00'; sha256=297bc14a42a18f0dec747d1eb2c74d8d4e332571a8f3ed6b78b0a47c2a861257
file	oryza_reference_proteome	/home/ericzhuang2010/VscodeProjects/lychee/data/reference/pathways/uniprot_UP000059680_2026-08-18.fasta.gz	PASS	true	9928795	type=gzip; bytes>=1000000	b'\x1f\x8b\x08\x00\x00\x00\x00\x00'; sha256=a3e9b63a2953927d21b17f96fa8ee360ac5bae0954129c9b74a3867435325ffd
file	frozen_pathway_collection	/home/ericzhuang2010/VscodeProjects/lychee/data/reference/pathways/frozen_plant_reactome_UP000059680/plant_reactome_litchi.gmt	PASS	true	4573	type=text; bytes>=1000	utf-8; sha256=758faee2ebde41f0ddf1ec2ebf08183ecc79eb5c06d96dcef715000c6fa28680
file	environment_explicit_lock	/home/ericzhuang2010/VscodeProjects/lychee/analysis/envs/lychee-discovery-linux-64.lock	PASS	true	80277	type=text; bytes>=1000	utf-8; sha256=d65e1490df585bc5daf957b82f65e5b69139e1b2437e3757f912d632a42003c5
file	ihw_official_source	/home/ericzhuang2010/VscodeProjects/lychee/analysis/envs/sources/IHW_1.30.0.tar.gz	PASS	true	3749395	type=gzip; bytes>=100000	b'\x1f\x8b\x08\x00\x00\x00\x00\x00'; sha256=0b31c7b5794414c546ca255d1e2d0ddc4f56ad8b1a41189b04dceaf4281a3dde
file	combined_reference_qc	/home/ericzhuang2010/VscodeProjects/lychee/data/reference/combined/reference_qc.tsv	PASS	true	410	type=text; bytes>=100	utf-8
