sample_id	primary_status	reason	all_sample_sensitivity
RNA-Seq_FZX_Fr_C1	INCLUDE	none	retain
RNA-Seq_FZX_Fr_C2	INCLUDE	none	retain
RNA-Seq_FZX_Fr_C3	INCLUDE	none	retain
RNA-Seq_FZX_Fr_M1	INCLUDE	none	retain
RNA-Seq_FZX_Fr_M2	INCLUDE	none	retain
RNA-Seq_FZX_Fr_M3	INCLUDE	none	retain
RNA-Seq_FZX_Le_C1	INCLUDE	none	retain
RNA-Seq_FZX_Le_C2	INCLUDE	none	retain
RNA-Seq_FZX_Le_C3	INCLUDE	none	retain
RNA-Seq_FZX_Le_M1	INCLUDE	none	retain
RNA-Seq_FZX_Le_M2	INCLUDE	none	retain
RNA-Seq_FZX_Le_M3	INCLUDE	none	retain
