sample_id	run	cultivar	treatment	input_read_pairs	surviving_read_pairs	fastp_survival_fraction	q30_rate_after	star_input_reads	star_unique_percent	star_multi_percent	star_mismatch_percent	host_mapped_alignments	pathogen_mapped_alignments	unmapped_alignments	host_fraction_of_host_pathogen	pathogen_fraction_of_host_pathogen	salmon_mapping_rate	technical_gate	technical_gate_reason
GI_24hpi_1	SRR8297713	Guiwei	infected	15396203	15101618	0.9808663863421391	0.928431	15101618	82.73	9.54	1.22	34060708	1196	0	0.9999648874590217	3.511254097833169e-05	0.7846181779992051	INCLUDE	none
GI_24hpi_2	SRR8297712	Guiwei	infected	13094482	12836756	0.9803179690498639	0.928437	12836756	83.68	9.05	1.2	28763754	340	0	0.9999881797076592	1.1820292340860797e-05	0.7945214507465904	INCLUDE	none
GI_24hpi_3	SRR8297715	Guiwei	infected	11927593	11677354	0.9790201593900798	0.923652	11677354	77.51	12.8	1.21	32760954	3014	0	0.9999080087002893	9.199129971070659e-05	0.728968651631183	INCLUDE	none
GC_24hpi_1	SRR8297700	Guiwei	mock	14746136	14466269	0.9810209942455433	0.928709	14466269	84.22	8.95	1.18	32420014	9426	0	0.9997093381816029	0.00029066181839711077	0.8112016304964328	INCLUDE	none
GC_24hpi_2	SRR8297707	Guiwei	mock	15525859	15217861	0.9801622570448437	0.928251	15217861	82.91	9.57	1.21	34350456	2124	0	0.9999381705828209	6.182941717914636e-05	0.7951073413011198	INCLUDE	none
GC_24hpi_3	SRR8297706	Guiwei	mock	13527405	13251594	0.9796109453365224	0.927837	13251594	83.24	9.43	1.2	30066922	2602	0	0.999913467203538	8.65327964619593e-05	0.7979394780733549	INCLUDE	none
GI_48hpi_1	SRR8297714	Guiwei	infected	14835382	14526510	0.9791800440325702	0.919926	14526510	80.49	11.48	1.18	36790408	4536	0	0.9998767221931361	0.00012327780686389957	0.7724914656032316	INCLUDE	none
GI_48hpi_2	SRR8297717	Guiwei	infected	13945419	13671905	0.9803868209338135	0.921379	13671905	81.36	10.32	1.18	32956692	8048	0	0.9997558603526071	0.00024413964739294168	0.7812616456887318	INCLUDE	none
GI_48hpi_3	SRR8297716	Guiwei	infected	14694658	14408547	0.9805295910935797	0.922073	14408547	82.2	9.94	1.16	34435220	11700	0	0.9996603469918356	0.00033965300816444545	0.7884403611273225	INCLUDE	none
GC_48hpi_1	SRR8297705	Guiwei	mock	16620982	16246290	0.9774566869755349	0.923844	16246290	78.1	11.72	1.19	43096526	15580	0	0.9996386165871832	0.00036138341281680836	0.7395126518115828	INCLUDE	none
GC_48hpi_2	SRR8297704	Guiwei	mock	16124361	15802691	0.9800506823185117	0.927359	15802691	77.6	12.55	1.17	44361430	5654	0	0.9998725631822005	0.00012743681779942988	0.7279084302793746	INCLUDE	none
GC_48hpi_3	SRR8297699	Guiwei	mock	13951404	13678090	0.9804095702482704	0.91991	13678090	78.89	11.82	1.18	36529862	3720	0	0.9998981758755547	0.00010182412444528434	0.7437617386638047	INCLUDE	none
GI_6hpi_1	SRR8297698	Guiwei	infected	16377734	16078427	0.981724761191017	0.930475	16078427	84.8	8.54	1.17	36094818	1232	0	0.9999658688416045	3.41311583954477e-05	0.8174224381526876	INCLUDE	none
GI_6hpi_2	SRR8297711	Guiwei	infected	14825761	14565801	0.9824656555572425	0.931527	14565801	84.21	8.47	1.18	32289866	1486	0	0.9999539814870557	4.601851294427065e-05	0.8166691279113314	INCLUDE	none
GI_6hpi_3	SRR8297710	Guiwei	infected	16894543	16602342	0.9827044152659234	0.934184	16602342	83.92	8.74	1.18	37270958	1616	0	0.9999566437241496	4.335627585044167e-05	0.8100444503552571	INCLUDE	none
GC_6hpi_1	SRR8297703	Guiwei	mock	13908643	13658087	0.9819855898235363	0.930684	13658087	83.84	8.5	1.18	30376844	900	0	0.9999703730467937	2.962695320626838e-05	0.8120206731733368	INCLUDE	none
GC_6hpi_2	SRR8297702	Guiwei	mock	13735915	13502807	0.9830293067480397	0.933096	13502807	83.53	8.15	1.18	29671918	1312	0	0.9999557850628328	4.421493716727164e-05	0.8074334469862451	INCLUDE	none
GC_6hpi_3	SRR8297701	Guiwei	mock	15624897	15344208	0.9820357855798986	0.931296	15344208	84.13	8.67	1.17	34598728	1274	0	0.9999631791928798	3.682080712018456e-05	0.8089637471024897	INCLUDE	none
HI_24hpi_1	SRR8297721	Heiye	infected	14456491	14139117	0.9780462630938587	0.922764	14139117	75.11	13.89	1.03	42428162	2208	0	0.9999479618018886	5.2038198111399924e-05	0.6968872950128356	INCLUDE	none
HI_24hpi_2	SRR8297720	Heiye	infected	16315950	15985706	0.9797594378506921	0.927557	15985706	84.41	8.96	1.04	36505002	7082	0	0.9998060368178382	0.00019396318216182896	0.7966831743308679	INCLUDE	none
HI_24hpi_3	SRR8297719	Heiye	infected	12630445	12352371	0.9779838319235783	0.923027	12352371	84.65	9.11	1.04	28524764	3944	0	0.9998617532907554	0.00013824670924459672	0.799625108410361	INCLUDE	none
HC_24hpi_1	SRR8297731	Heiye	mock	14614544	14360950	0.9826478335553952	0.93119	14360950	84.72	8.91	1.03	32560420	280	0	0.9999914006762753	8.5993237246128e-06	0.8036623621696336	INCLUDE	none
HC_24hpi_2	SRR8297732	Heiye	mock	14221174	13975901	0.9827529710275678	0.931916	13975901	84.37	9.15	1.04	31957226	336	0	0.9999894860565396	1.051394346039288e-05	0.7998580556631018	INCLUDE	none
HC_24hpi_3	SRR8297733	Heiye	mock	12927185	12689989	0.9816513804049374	0.931777	12689989	83.3	9.08	1.07	28802052	618	0	0.9999785436558486	2.1456344151427628e-05	0.7940196796072873	INCLUDE	none
HI_48hpi_1	SRR8297718	Heiye	infected	16327810	16031582	0.9818574566950498	0.927519	16031582	84.61	9.42	1.04	37103008	554	0	0.9999850688189991	1.4931181000896894e-05	0.7914464710968637	INCLUDE	none
HI_48hpi_2	SRR8297723	Heiye	infected	12962483	12731506	0.9821811145287519	0.926674	12731506	85.61	8.47	1.03	28509638	104	0	0.9999963521241265	3.647875873447048e-06	0.8060050397808398	INCLUDE	none
HI_48hpi_3	SRR8297722	Heiye	infected	16445484	16087157	0.9782112219986958	0.924317	16087157	83.46	10.35	1.02	40300416	1082	0	0.9999731523627235	2.6847637276410918e-05	0.7780923005848703	INCLUDE	none
HC_48hpi_1	SRR8297726	Heiye	mock	15392143	15117774	0.9821747368121515	0.927776	15117774	84.46	9.52	1.06	35113802	220	0	0.9999937346966405	6.265303359438574e-06	0.7864680342489575	INCLUDE	none
HC_48hpi_2	SRR8297727	Heiye	mock	14780683	14479787	0.9796426186800705	0.927887	14479787	84.79	9.38	1.06	33291320	246	0	0.9999926107411108	7.389258889173312e-06	0.7974659433871507	INCLUDE	none
HC_48hpi_3	SRR8297728	Heiye	mock	13277950	13010254	0.9798390564808573	0.925762	13010254	84.85	9.1	1.05	29681124	618	0	0.9999791791196083	2.082088039172364e-05	0.7977747398321355	INCLUDE	none
HI_6hpi_1	SRR8297729	Heiye	infected	17349898	17067242	0.9837084921190891	0.930133	17067242	81.44	10.21	0.97	42602380	3708	0	0.9999129701839793	8.702981602065884e-05	0.7657074880639766	INCLUDE	none
HI_6hpi_2	SRR8297724	Heiye	infected	16613271	16351112	0.9842199046774112	0.932253	16351112	86.22	8.81	0.97	38504888	1966	0	0.9999489441542018	5.105584579825711e-05	0.8135546377518544	INCLUDE	none
HI_6hpi_3	SRR8297725	Heiye	infected	14011765	13771769	0.9828718223578543	0.933462	13771769	86.07	7.9	0.99	31363818	660	0	0.9999789570864211	2.1042913578858224e-05	0.8281387815900775	INCLUDE	none
HC_6hpi_1	SRR8297709	Heiye	mock	14555800	14281935	0.981185163302601	0.929888	14281935	87.07	8.22	0.99	32526656	376	0	0.9999884403839858	1.1559616014150938e-05	0.8223013898326802	INCLUDE	none
HC_6hpi_2	SRR8297708	Heiye	mock	14526858	14277851	0.9828588535800378	0.930255	14277851	87.44	8.05	0.97	32418894	488	0	0.999984947276293	1.5052723707071282e-05	0.8267522192240274	INCLUDE	none
HC_6hpi_3	SRR8297730	Heiye	mock	14337810	14092558	0.9828947377598113	0.931729	14092558	86.68	8.62	0.97	32962024	290	0	0.9999912020739806	8.797926019392935e-06	0.8165683618261497	INCLUDE	none
