transcript_id	exact_sequence_duplicate_status
LITCHI002948.m1	EXCLUDED_FROM_DTU
LITCHI018017.m1	EXCLUDED_FROM_DTU
LITCHI018051.m1	EXCLUDED_FROM_DTU
LITCHI018118.m1	EXCLUDED_FROM_DTU
LITCHI018115.m1	EXCLUDED_FROM_DTU
LITCHI018114.m1	EXCLUDED_FROM_DTU
LITCHI018113.m1	EXCLUDED_FROM_DTU
LITCHI019124.m1	EXCLUDED_FROM_DTU
LITCHI019330.m10	EXCLUDED_FROM_DTU
LITCHI019330.m1	EXCLUDED_FROM_DTU
LITCHI019630.m1	EXCLUDED_FROM_DTU
LITCHI014746.m2	EXCLUDED_FROM_DTU
LITCHI014746.m3	EXCLUDED_FROM_DTU
LITCHI014746.m5	EXCLUDED_FROM_DTU
LITCHI015265.m6	EXCLUDED_FROM_DTU
LITCHI015446.m1	EXCLUDED_FROM_DTU
LITCHI015447.m1	EXCLUDED_FROM_DTU
LITCHI015540.m4	EXCLUDED_FROM_DTU
LITCHI015659.m1	EXCLUDED_FROM_DTU
LITCHI015939.m6	EXCLUDED_FROM_DTU
LITCHI015939.m8	EXCLUDED_FROM_DTU
LITCHI015939.m9	EXCLUDED_FROM_DTU
LITCHI016245.m1	EXCLUDED_FROM_DTU
LITCHI016436.m4	EXCLUDED_FROM_DTU
LITCHI016743.m9	EXCLUDED_FROM_DTU
LITCHI017021.m1	EXCLUDED_FROM_DTU
LITCHI017022.m1	EXCLUDED_FROM_DTU
LITCHI017256.m2	EXCLUDED_FROM_DTU
LITCHI012526.m6	EXCLUDED_FROM_DTU
LITCHI012853.m2	EXCLUDED_FROM_DTU
LITCHI013023.m1	EXCLUDED_FROM_DTU
LITCHI013389.m1	EXCLUDED_FROM_DTU
LITCHI013571.m1	EXCLUDED_FROM_DTU
LITCHI013782.m1	EXCLUDED_FROM_DTU
LITCHI013812.m2	EXCLUDED_FROM_DTU
LITCHI013854.m1	EXCLUDED_FROM_DTU
LITCHI013959.m1	EXCLUDED_FROM_DTU
LITCHI025346.m4	EXCLUDED_FROM_DTU
LITCHI025346.m5	EXCLUDED_FROM_DTU
LITCHI025346.m7	EXCLUDED_FROM_DTU
LITCHI025540.m1	EXCLUDED_FROM_DTU
LITCHI026339.m1	EXCLUDED_FROM_DTU
LITCHI026340.m1	EXCLUDED_FROM_DTU
LITCHI026790.m4	EXCLUDED_FROM_DTU
LITCHI027582.m11	EXCLUDED_FROM_DTU
LITCHI027582.m8	EXCLUDED_FROM_DTU
LITCHI027582.m13	EXCLUDED_FROM_DTU
LITCHI030001.m1	EXCLUDED_FROM_DTU
LITCHI030532.m1	EXCLUDED_FROM_DTU
LITCHI030554.m2	EXCLUDED_FROM_DTU
LITCHI030584.m1	EXCLUDED_FROM_DTU
LITCHI030785.m20	EXCLUDED_FROM_DTU
LITCHI030785.m21	EXCLUDED_FROM_DTU
LITCHI030785.m24	EXCLUDED_FROM_DTU
LITCHI030870.m1	EXCLUDED_FROM_DTU
LITCHI030925.m4	EXCLUDED_FROM_DTU
LITCHI030925.m5	EXCLUDED_FROM_DTU
LITCHI031230.m1	EXCLUDED_FROM_DTU
LITCHI031352.m1	EXCLUDED_FROM_DTU
LITCHI031356.m1	EXCLUDED_FROM_DTU
LITCHI031431.m1	EXCLUDED_FROM_DTU
LITCHI031507.m1	EXCLUDED_FROM_DTU
LITCHI031756.m1	EXCLUDED_FROM_DTU
LITCHI000515.m1	EXCLUDED_FROM_DTU
LITCHI000848.m1	EXCLUDED_FROM_DTU
LITCHI001101.m1	EXCLUDED_FROM_DTU
LITCHI001101.m2	EXCLUDED_FROM_DTU
LITCHI001101.m3	EXCLUDED_FROM_DTU
LITCHI001158.m1	EXCLUDED_FROM_DTU
LITCHI001526.m1	EXCLUDED_FROM_DTU
LITCHI001527.m1	EXCLUDED_FROM_DTU
LITCHI001566.m3	EXCLUDED_FROM_DTU
LITCHI002276.m1	EXCLUDED_FROM_DTU
LITCHI002363.m2	EXCLUDED_FROM_DTU
LITCHI002363.m11	EXCLUDED_FROM_DTU
LITCHI002363.m16	EXCLUDED_FROM_DTU
LITCHI002363.m5	EXCLUDED_FROM_DTU
LITCHI002363.m9	EXCLUDED_FROM_DTU
LITCHI002437.m1	EXCLUDED_FROM_DTU
LITCHI002438.m1	EXCLUDED_FROM_DTU
LITCHI002444.m1	EXCLUDED_FROM_DTU
LITCHI002520.m2	EXCLUDED_FROM_DTU
LITCHI002534.m1	EXCLUDED_FROM_DTU
LITCHI002535.m1	EXCLUDED_FROM_DTU
LITCHI002537.m1	EXCLUDED_FROM_DTU
LITCHI002710.m1	EXCLUDED_FROM_DTU
LITCHI002764.m1	EXCLUDED_FROM_DTU
LITCHI002873.m1	EXCLUDED_FROM_DTU
LITCHI002879.m1	EXCLUDED_FROM_DTU
LITCHI003109.m1	EXCLUDED_FROM_DTU
LITCHI003142.m1	EXCLUDED_FROM_DTU
LITCHI003153.m1	EXCLUDED_FROM_DTU
LITCHI003171.m1	EXCLUDED_FROM_DTU
LITCHI003253.m1	EXCLUDED_FROM_DTU
LITCHI003255.m1	EXCLUDED_FROM_DTU
LITCHI003306.m3	EXCLUDED_FROM_DTU
LITCHI003543.m1	EXCLUDED_FROM_DTU
LITCHI003591.m2	EXCLUDED_FROM_DTU
LITCHI003637.m1	EXCLUDED_FROM_DTU
LITCHI003644.m1	EXCLUDED_FROM_DTU
LITCHI003645.m1	EXCLUDED_FROM_DTU
LITCHI008260.m1	EXCLUDED_FROM_DTU
LITCHI008442.m1	EXCLUDED_FROM_DTU
LITCHI008532.m2	EXCLUDED_FROM_DTU
LITCHI008766.m5	EXCLUDED_FROM_DTU
LITCHI008774.m6	EXCLUDED_FROM_DTU
LITCHI008835.m4	EXCLUDED_FROM_DTU
LITCHI008967.m11	EXCLUDED_FROM_DTU
LITCHI008967.m7	EXCLUDED_FROM_DTU
LITCHI008967.m8	EXCLUDED_FROM_DTU
LITCHI009183.m1	EXCLUDED_FROM_DTU
LITCHI009381.m16	EXCLUDED_FROM_DTU
LITCHI009381.m17	EXCLUDED_FROM_DTU
LITCHI009606.m1	EXCLUDED_FROM_DTU
LITCHI009904.m1	EXCLUDED_FROM_DTU
LITCHI009906.m1	EXCLUDED_FROM_DTU
LITCHI010190.m1	EXCLUDED_FROM_DTU
LITCHI010350.m1	EXCLUDED_FROM_DTU
LITCHI010468.m12	EXCLUDED_FROM_DTU
LITCHI010468.m6	EXCLUDED_FROM_DTU
LITCHI010683.m7	EXCLUDED_FROM_DTU
LITCHI010683.m9	EXCLUDED_FROM_DTU
