gene_id	lr	df	pvalue	adj_pvalue
LITCHI000047	NA	3	NA	NA
LITCHI000054	0.122092855279334	1	0.726775611506521	0.923415112748944
LITCHI000113	2.88703503231227	3	0.409372067638064	0.767348786480623
LITCHI000114	NA	3	NA	NA
LITCHI000118	0.158594148844713	1	0.690454161386167	0.910499668100343
LITCHI000120	2.23760728613706	2	0.326670375307304	0.71266899398914
LITCHI000128	NA	2	NA	NA
LITCHI000155	NA	5	NA	NA
LITCHI000170	0.000565616167477856	1	0.981025950477991	0.998868038351997
LITCHI000184	1.59382889898552	2	0.450717532477606	0.799258062030961
LITCHI000185	0.148038366474793	1	0.700417058151912	0.915320597097304
LITCHI000187	5.29135406389833	1	0.0214315499630599	0.201567851463876
LITCHI000198	4.52258943425841	2	0.104215467817943	0.452587909570567
LITCHI000200	NA	4	NA	NA
LITCHI000205	9.75542305943964	1	0.00178794491944564	0.0508142462497523
LITCHI000264	0.677992520984844	2	0.712485113427691	0.918597085576918
LITCHI000270	7.38479803083828	4	0.116897821461355	0.477943025726173
LITCHI000271	0.122266824131657	1	0.726588822718782	0.923415112748944
LITCHI000290	0.126235377249031	1	0.722367715127418	0.923244235804536
LITCHI000388	11.922048552573	3	0.00765501574959292	0.112568306516054
LITCHI000391	0.055654835086898	1	0.81350035881196	0.954383304368938
LITCHI000400	0.726278773523518	1	0.394092048572477	0.761573857656658
LITCHI000426	0.0817641134490259	1	0.774920822313447	0.941946817480936
LITCHI000428	5.08383884117939	4	0.27880277934752	0.672780472331504
LITCHI000430	1.45129859057124	1	0.228319696935294	0.631981516753577
LITCHI000431	2.02283172751777	2	0.363703660015279	0.743860066937769
LITCHI000433	9.83161983039463	3	0.0200530137544035	0.193957827635702
LITCHI000435	9.02416516953963	3	0.0289713167957665	0.235120342870643
LITCHI000438	1.04667109716684	1	0.306275010680944	0.695276400995116
LITCHI000439	13.5973614334071	3	0.00350774264780003	0.0759133971361389
LITCHI000441	1.50245659580105	1	0.220293761110055	0.622866518892557
LITCHI000590	10.236001807818	2	0.00598798148822109	0.0974971029774932
LITCHI000591	27.5987204112171	4	1.5040315607468e-05	0.00273000458785187
LITCHI000594	0.00287792121525854	1	0.957216999377939	0.996423200141666
LITCHI000595	NA	3	NA	NA
LITCHI000598	0.86308110250684	1	0.352877900983136	0.736591874071441
LITCHI000631	2.56194516652613	1	0.109463824859376	0.462574620397426
LITCHI000632	4.52843940779712	2	0.103911084329266	0.452400814757928
LITCHI000633	0.594326296661166	3	0.897730001045431	0.978092022625186
LITCHI000634	0.25389772298513	1	0.614343844784696	0.879985902007865
LITCHI000636	0.605785822728649	1	0.436378948901831	0.789696682464207
LITCHI000637	4.46791791925352	1	0.0345370529168046	0.262259433991057
LITCHI000666	NA	2	NA	NA
LITCHI000684	1.66392370389076	2	0.435194660779387	0.789246182991667
LITCHI000685	0.303192479965219	1	0.581887910090947	0.862757224544066
LITCHI000687	1.10753837373341	1	0.292617678061345	0.682408941220652
LITCHI000689	1.06076624413254	1	0.303040487501495	0.692760761475756
LITCHI000690	0.0291685931733809	1	0.864390344817804	0.967294654465799
LITCHI000711	0.347617479856126	1	0.555464925327061	0.85458673641847
LITCHI000732	NA	1	NA	NA
LITCHI000758	3.61346561432583	2	0.164189700845318	0.550905236557224
