gate	observed	threshold	status
mapping_rate_GW_P1	0.821382400414775	0.6	PASS
mapping_rate_GW_P2	0.81087621103657	0.6	PASS
mapping_rate_GW_P3	0.824296080823715	0.6	PASS
mapping_rate_GW_M1	0.825624104145335	0.6	PASS
mapping_rate_GW_M2	0.811419118527982	0.6	PASS
mapping_rate_GW_M3	0.822613554257887	0.6	PASS
mapping_rate_YR_P1	0.807734040737904	0.6	PASS
mapping_rate_YR_P2	0.812544498465928	0.6	PASS
mapping_rate_YR_P3	0.82075489143679	0.6	PASS
mapping_rate_YR_M1	0.816498156954243	0.6	PASS
mapping_rate_YR_M2	0.819248015216287	0.6	PASS
mapping_rate_YR_M3	0.822987055483633	0.6	PASS
bootstrap_count_GW_P1	30	30	PASS
bootstrap_count_GW_P2	30	30	PASS
bootstrap_count_GW_P3	30	30	PASS
bootstrap_count_GW_M1	30	30	PASS
bootstrap_count_GW_M2	30	30	PASS
bootstrap_count_GW_M3	30	30	PASS
bootstrap_count_YR_P1	30	30	PASS
bootstrap_count_YR_P2	30	30	PASS
bootstrap_count_YR_P3	30	30	PASS
bootstrap_count_YR_M1	30	30	PASS
bootstrap_count_YR_M2	30	30	PASS
bootstrap_count_YR_M3	30	30	PASS
genes_with_at_least_two_retained_isoforms	5855	1000	PASS
exact_duplicate_transcripts_excluded	360	0	PASS
