sample_id	PC1	PC2	PC1_variance_fraction	PC2_variance_fraction	study	geo_series	biosample	experiment	run	cultivar	treatment	time_h	tissue	replicate	modality	library_layout	instrument	read_count	base_count	fastq_ftp	fastq_md5	primary_status	reason	all_sample_sensitivity	time
GI_24hpi_1	-34.5607383984635	-3.78686149843981	0.525357900385263	0.198176146981736	PRJNA450886	NA	SAMN10576446	SRX5112223	SRR8297713	Guiwei	infected	24	pericarp	1	mRNA	PAIRED	Illumina HiSeq 2500	15396203	3849050750	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/003/SRR8297713/SRR8297713_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/003/SRR8297713/SRR8297713_2.fastq.gz	82d92114810065aeec79e8a87207d7ed;6e075af0b42779fbaae7acf4a50d1e5a	INCLUDE	none	retain	24
GI_24hpi_2	-35.3324675395335	-10.7576854062769	0.525357900385263	0.198176146981736	PRJNA450886	NA	SAMN10576447	SRX5112224	SRR8297712	Guiwei	infected	24	pericarp	2	mRNA	PAIRED	Illumina HiSeq 2500	13094482	3273620500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/002/SRR8297712/SRR8297712_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/002/SRR8297712/SRR8297712_2.fastq.gz	2af0ff214bf38e29b90f22bdb3482bde;b63df0aa8e01d8b2981c729e0b091e3f	INCLUDE	none	retain	24
GI_24hpi_3	-28.5900004136895	-6.66113374714208	0.525357900385263	0.198176146981736	PRJNA450886	NA	SAMN10576448	SRX5112221	SRR8297715	Guiwei	infected	24	pericarp	3	mRNA	PAIRED	Illumina HiSeq 2500	11927593	2981898250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/005/SRR8297715/SRR8297715_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/005/SRR8297715/SRR8297715_2.fastq.gz	cda72a8042642608eff74abacc37f034;d2f9ee4f1612cd48c26f4ddf3d57bfb3	INCLUDE	none	retain	24
GC_24hpi_1	-37.7496498503155	-6.01417756687272	0.525357900385263	0.198176146981736	PRJNA450886	NA	SAMN10576437	SRX5112236	SRR8297700	Guiwei	mock	24	pericarp	1	mRNA	PAIRED	Illumina HiSeq 2500	14746136	3686534000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/000/SRR8297700/SRR8297700_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/000/SRR8297700/SRR8297700_2.fastq.gz	59602ec7a092844f987ccb903f3cc0e9;531061f38c23620357a7d586e33af5d4	INCLUDE	none	retain	24
GC_24hpi_2	-34.5390356302607	-3.65818166293199	0.525357900385263	0.198176146981736	PRJNA450886	NA	SAMN10576438	SRX5112229	SRR8297707	Guiwei	mock	24	pericarp	2	mRNA	PAIRED	Illumina HiSeq 2500	15525859	3881464750	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/007/SRR8297707/SRR8297707_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/007/SRR8297707/SRR8297707_2.fastq.gz	666d47be3fd05e3d7bbb17b863d8989b;52783a1c2fa1405891e56f5cbc9b9dfe	INCLUDE	none	retain	24
GC_24hpi_3	-33.6104268577507	-1.20292981299851	0.525357900385263	0.198176146981736	PRJNA450886	NA	SAMN10576439	SRX5112230	SRR8297706	Guiwei	mock	24	pericarp	3	mRNA	PAIRED	Illumina HiSeq 2500	13527405	3381851250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/006/SRR8297706/SRR8297706_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/006/SRR8297706/SRR8297706_2.fastq.gz	7fdcf9ebf2320beeb1d6928433247c83;1289c1731e9f6fbe4be2fdc897de0135	INCLUDE	none	retain	24
GI_48hpi_1	-32.298011329302	-9.29416079115826	0.525357900385263	0.198176146981736	PRJNA450886	NA	SAMN10576449	SRX5112222	SRR8297714	Guiwei	infected	48	pericarp	1	mRNA	PAIRED	Illumina HiSeq 2500	14835382	3708845500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/004/SRR8297714/SRR8297714_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/004/SRR8297714/SRR8297714_2.fastq.gz	cb4cd12e1b7b3fc353e3fd86eb744195;4305bb5eb94e8c2354b7471a5e78881a	INCLUDE	none	retain	48
GI_48hpi_2	-27.1607407316792	-5.36280760975818	0.525357900385263	0.198176146981736	PRJNA450886	NA	SAMN10576450	SRX5112219	SRR8297717	Guiwei	infected	48	pericarp	2	mRNA	PAIRED	Illumina HiSeq 2500	13945419	3486354750	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/007/SRR8297717/SRR8297717_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/007/SRR8297717/SRR8297717_2.fastq.gz	6182b5677f6431a0124e93f89e4b0b4e;e272d120f5e15f67163d388005837a9f	INCLUDE	none	retain	48
GI_48hpi_3	-34.4045852484665	-7.41019791319542	0.525357900385263	0.198176146981736	PRJNA450886	NA	SAMN10576451	SRX5112220	SRR8297716	Guiwei	infected	48	pericarp	3	mRNA	PAIRED	Illumina HiSeq 2500	14694658	3673664500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/006/SRR8297716/SRR8297716_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/006/SRR8297716/SRR8297716_2.fastq.gz	a6ab65b2b0e773265ec8094e01e91133;a010d47919585c31cf7867477753dde0	INCLUDE	none	retain	48
GC_48hpi_1	-35.5056511391299	-13.7533163785598	0.525357900385263	0.198176146981736	PRJNA450886	NA	SAMN10576440	SRX5112231	SRR8297705	Guiwei	mock	48	pericarp	1	mRNA	PAIRED	Illumina HiSeq 2500	16620982	4155245500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/005/SRR8297705/SRR8297705_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/005/SRR8297705/SRR8297705_2.fastq.gz	aed1c0b20e1f7e85d9bb5d19e31e1183;a0e6c7926cfa2dcc03b3b3f2e462ffc1	INCLUDE	none	retain	48
GC_48hpi_2	-32.4033652926761	-15.635314250522	0.525357900385263	0.198176146981736	PRJNA450886	NA	SAMN10576441	SRX5112232	SRR8297704	Guiwei	mock	48	pericarp	2	mRNA	PAIRED	Illumina HiSeq 2500	16124361	4031090250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/004/SRR8297704/SRR8297704_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/004/SRR8297704/SRR8297704_2.fastq.gz	4661c2abebeef403566b7d49a5833c35;e3fab86fa165acedfa17d331ff8b3d78	INCLUDE	none	retain	48
GC_48hpi_3	-32.7839526051759	-15.0394733856106	0.525357900385263	0.198176146981736	PRJNA450886	NA	SAMN10576442	SRX5112237	SRR8297699	Guiwei	mock	48	pericarp	3	mRNA	PAIRED	Illumina HiSeq 2500	13951404	3487851000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/009/SRR8297699/SRR8297699_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/009/SRR8297699/SRR8297699_2.fastq.gz	f726420f8dfd60200d88bda00589b85f;efd4effa65f7cfe5b48d8c72d18e36ff	INCLUDE	none	retain	48
GI_6hpi_1	-27.9147590193467	19.1765664929402	0.525357900385263	0.198176146981736	PRJNA450886	NA	SAMN10576443	SRX5112238	SRR8297698	Guiwei	infected	6	pericarp	1	mRNA	PAIRED	Illumina HiSeq 2500	16377734	4094433500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/008/SRR8297698/SRR8297698_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/008/SRR8297698/SRR8297698_2.fastq.gz	0751555cf19573563972711da37816a8;b65ee9f7515171889394b31a652a6efa	INCLUDE	none	retain	6
GI_6hpi_2	-27.9399523538703	20.5948959322553	0.525357900385263	0.198176146981736	PRJNA450886	NA	SAMN10576444	SRX5112225	SRR8297711	Guiwei	infected	6	pericarp	2	mRNA	PAIRED	Illumina HiSeq 2500	14825761	3706440250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/001/SRR8297711/SRR8297711_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/001/SRR8297711/SRR8297711_2.fastq.gz	31ccff0de497797549718c8557f64fba;4203788950526c48eb97dd25b6e782f8	INCLUDE	none	retain	6
GI_6hpi_3	-28.4111000967126	23.3361435281373	0.525357900385263	0.198176146981736	PRJNA450886	NA	SAMN10576445	SRX5112226	SRR8297710	Guiwei	infected	6	pericarp	3	mRNA	PAIRED	Illumina HiSeq 2500	16894543	4223635750	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/000/SRR8297710/SRR8297710_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/000/SRR8297710/SRR8297710_2.fastq.gz	9a4975498455f6c1ddfe6a1e9d4e24be;bcfdbf452983cc187439e7c109035446	INCLUDE	none	retain	6
GC_6hpi_1	-27.2023562814093	23.0376831441917	0.525357900385263	0.198176146981736	PRJNA450886	NA	SAMN10576434	SRX5112233	SRR8297703	Guiwei	mock	6	pericarp	1	mRNA	PAIRED	Illumina HiSeq 2500	13908643	3477160750	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/003/SRR8297703/SRR8297703_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/003/SRR8297703/SRR8297703_2.fastq.gz	00a33dc67f4365a58a9b2e120cebb6bc;974d886a9022fdc9c3c8bc35c6c8d467	INCLUDE	none	retain	6
GC_6hpi_2	-27.3123252267836	24.5116577263551	0.525357900385263	0.198176146981736	PRJNA450886	NA	SAMN10576435	SRX5112234	SRR8297702	Guiwei	mock	6	pericarp	2	mRNA	PAIRED	Illumina HiSeq 2500	13735915	3433978750	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/002/SRR8297702/SRR8297702_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/002/SRR8297702/SRR8297702_2.fastq.gz	7b80bf6de0204a12eabfb3ff2cf10ac9;6121fb638b50dc5bc3725ddb4d86e5cd	INCLUDE	none	retain	6
GC_6hpi_3	-29.6586331103566	16.9997860429135	0.525357900385263	0.198176146981736	PRJNA450886	NA	SAMN10576436	SRX5112235	SRR8297701	Guiwei	mock	6	pericarp	3	mRNA	PAIRED	Illumina HiSeq 2500	15624897	3906224250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/001/SRR8297701/SRR8297701_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/001/SRR8297701/SRR8297701_2.fastq.gz	254c056df2cc2392d194e5625a5c5625;0c10cacf0f2c989e5afa1de5c98c6b45	INCLUDE	none	retain	6
HI_24hpi_1	32.8502755553379	-10.1761124795231	0.525357900385263	0.198176146981736	PRJNA450886	NA	SAMN10576464	SRX5112215	SRR8297721	Heiye	infected	24	pericarp	1	mRNA	PAIRED	Illumina HiSeq 2500	14456491	3614122750	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/001/SRR8297721/SRR8297721_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/001/SRR8297721/SRR8297721_2.fastq.gz	6e813eba9ca6cdbb7fb2472d504362b2;0739f3679ec8edc3df2b6392b1a46503	INCLUDE	none	retain	24
HI_24hpi_2	30.9644944134536	-16.1418356791229	0.525357900385263	0.198176146981736	PRJNA450886	NA	SAMN10576465	SRX5112216	SRR8297720	Heiye	infected	24	pericarp	2	mRNA	PAIRED	Illumina HiSeq 2500	16315950	4078987500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/000/SRR8297720/SRR8297720_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/000/SRR8297720/SRR8297720_2.fastq.gz	9e2f0b4fc7d6f778984354b98243538d;c36484ef795425173e0aa72a1affc244	INCLUDE	none	retain	24
HI_24hpi_3	31.9164978689979	-10.1966277020616	0.525357900385263	0.198176146981736	PRJNA450886	NA	SAMN10576466	SRX5112217	SRR8297719	Heiye	infected	24	pericarp	3	mRNA	PAIRED	Illumina HiSeq 2500	12630445	3157611250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/009/SRR8297719/SRR8297719_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/009/SRR8297719/SRR8297719_2.fastq.gz	c15f4fb2dcf8f63b5a668854b545d1d9;64be9a9c99b3b8fdfbf8e5866b08a77c	INCLUDE	none	retain	24
HC_24hpi_1	30.5129492846445	-7.39351908335695	0.525357900385263	0.198176146981736	PRJNA450886	NA	SAMN10576455	SRX5112205	SRR8297731	Heiye	mock	24	pericarp	1	mRNA	PAIRED	Illumina HiSeq 2500	14614544	3653636000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/001/SRR8297731/SRR8297731_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/001/SRR8297731/SRR8297731_2.fastq.gz	c8238e5198343de875d968ca03815e8e;73e2ad377e2cd42e6320efb2660d96e5	INCLUDE	none	retain	24
HC_24hpi_2	31.2810070725351	-10.3289794881373	0.525357900385263	0.198176146981736	PRJNA450886	NA	SAMN10576456	SRX5112204	SRR8297732	Heiye	mock	24	pericarp	2	mRNA	PAIRED	Illumina HiSeq 2500	14221174	3555293500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/002/SRR8297732/SRR8297732_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/002/SRR8297732/SRR8297732_2.fastq.gz	46db2a33b997e5e30da53526cc377249;659e831863f7f01848d742c04d5a72cc	INCLUDE	none	retain	24
