cultivar	tissue	treatment	time	n	mean_score	standard_error	confidence_lower	confidence_upper
Guiwei	pericarp	infected	24	3	0.109706733774987	0.0384429956980538	-0.0557001266049912	0.275113594154965
Guiwei	pericarp	mock	24	3	0.279458367411869	0.0708067028231355	-0.0251982857746536	0.584115020598392
Guiwei	pericarp	infected	48	3	0.0310122135202351	0.0721587517776862	-0.27946183679134	0.34148626383181
Guiwei	pericarp	mock	48	3	0.00532160484326372	0.0325417841136842	-0.134694391404397	0.145337601090925
Guiwei	pericarp	infected	6	3	0.127200211484833	0.0542175588619424	-0.106079116152856	0.360479539122521
Guiwei	pericarp	mock	6	3	0.0671379816635431	0.0328105916412804	-0.0740346000265067	0.208310563353593
Heiye	pericarp	infected	24	3	-0.115435155406989	0.0247164893844447	-0.221781625926793	-0.0090886848871842
Heiye	pericarp	mock	24	3	-0.0550170588713692	0.0240871434716491	-0.158655672481527	0.0486215547387888
Heiye	pericarp	infected	48	3	-0.0960285979637826	0.0549545424959237	-0.332478910246001	0.140421714318436
Heiye	pericarp	mock	48	3	0.11832722293794	0.032089735007666	-0.0197437629897306	0.256398208865611
Heiye	pericarp	infected	6	3	-0.24931924428128	0.0134012314295878	-0.3069800892738	-0.19165839928876
Heiye	pericarp	mock	6	3	-0.222364279113248	0.0516603910399669	-0.444641001641286	-8.7556585210008e-05
