sample_id	signature_score	study	geo_series	biosample	experiment	run	cultivar	treatment	time_h	tissue	replicate	modality	library_layout	instrument	read_count	base_count	fastq_ftp	fastq_md5	primary_status	reason	all_sample_sensitivity	time
GI_24hpi_1	0.133824791142222	PRJNA450886	NA	SAMN10576446	SRX5112223	SRR8297713	Guiwei	infected	24	pericarp	1	mRNA	PAIRED	Illumina HiSeq 2500	15396203	3849050750	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/003/SRR8297713/SRR8297713_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/003/SRR8297713/SRR8297713_2.fastq.gz	82d92114810065aeec79e8a87207d7ed;6e075af0b42779fbaae7acf4a50d1e5a	INCLUDE	none	retain	24
GI_24hpi_2	0.160872156345174	PRJNA450886	NA	SAMN10576447	SRX5112224	SRR8297712	Guiwei	infected	24	pericarp	2	mRNA	PAIRED	Illumina HiSeq 2500	13094482	3273620500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/002/SRR8297712/SRR8297712_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/002/SRR8297712/SRR8297712_2.fastq.gz	2af0ff214bf38e29b90f22bdb3482bde;b63df0aa8e01d8b2981c729e0b091e3f	INCLUDE	none	retain	24
GI_24hpi_3	0.0344232538375636	PRJNA450886	NA	SAMN10576448	SRX5112221	SRR8297715	Guiwei	infected	24	pericarp	3	mRNA	PAIRED	Illumina HiSeq 2500	11927593	2981898250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/005/SRR8297715/SRR8297715_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/005/SRR8297715/SRR8297715_2.fastq.gz	cda72a8042642608eff74abacc37f034;d2f9ee4f1612cd48c26f4ddf3d57bfb3	INCLUDE	none	retain	24
GC_24hpi_1	0.39202038123856	PRJNA450886	NA	SAMN10576437	SRX5112236	SRR8297700	Guiwei	mock	24	pericarp	1	mRNA	PAIRED	Illumina HiSeq 2500	14746136	3686534000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/000/SRR8297700/SRR8297700_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/000/SRR8297700/SRR8297700_2.fastq.gz	59602ec7a092844f987ccb903f3cc0e9;531061f38c23620357a7d586e33af5d4	INCLUDE	none	retain	24
GC_24hpi_2	0.297595854681834	PRJNA450886	NA	SAMN10576438	SRX5112229	SRR8297707	Guiwei	mock	24	pericarp	2	mRNA	PAIRED	Illumina HiSeq 2500	15525859	3881464750	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/007/SRR8297707/SRR8297707_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/007/SRR8297707/SRR8297707_2.fastq.gz	666d47be3fd05e3d7bbb17b863d8989b;52783a1c2fa1405891e56f5cbc9b9dfe	INCLUDE	none	retain	24
GC_24hpi_3	0.148758866315214	PRJNA450886	NA	SAMN10576439	SRX5112230	SRR8297706	Guiwei	mock	24	pericarp	3	mRNA	PAIRED	Illumina HiSeq 2500	13527405	3381851250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/006/SRR8297706/SRR8297706_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/006/SRR8297706/SRR8297706_2.fastq.gz	7fdcf9ebf2320beeb1d6928433247c83;1289c1731e9f6fbe4be2fdc897de0135	INCLUDE	none	retain	24
GI_48hpi_1	-0.00953712885088495	PRJNA450886	NA	SAMN10576449	SRX5112222	SRR8297714	Guiwei	infected	48	pericarp	1	mRNA	PAIRED	Illumina HiSeq 2500	14835382	3708845500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/004/SRR8297714/SRR8297714_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/004/SRR8297714/SRR8297714_2.fastq.gz	cb4cd12e1b7b3fc353e3fd86eb744195;4305bb5eb94e8c2354b7471a5e78881a	INCLUDE	none	retain	48
GI_48hpi_2	-0.0686608935116168	PRJNA450886	NA	SAMN10576450	SRX5112219	SRR8297717	Guiwei	infected	48	pericarp	2	mRNA	PAIRED	Illumina HiSeq 2500	13945419	3486354750	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/007/SRR8297717/SRR8297717_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/007/SRR8297717/SRR8297717_2.fastq.gz	6182b5677f6431a0124e93f89e4b0b4e;e272d120f5e15f67163d388005837a9f	INCLUDE	none	retain	48
GI_48hpi_3	0.171234662923207	PRJNA450886	NA	SAMN10576451	SRX5112220	SRR8297716	Guiwei	infected	48	pericarp	3	mRNA	PAIRED	Illumina HiSeq 2500	14694658	3673664500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/006/SRR8297716/SRR8297716_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/006/SRR8297716/SRR8297716_2.fastq.gz	a6ab65b2b0e773265ec8094e01e91133;a010d47919585c31cf7867477753dde0	INCLUDE	none	retain	48
GC_48hpi_1	-0.0189876976032146	PRJNA450886	NA	SAMN10576440	SRX5112231	SRR8297705	Guiwei	mock	48	pericarp	1	mRNA	PAIRED	Illumina HiSeq 2500	16620982	4155245500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/005/SRR8297705/SRR8297705_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/005/SRR8297705/SRR8297705_2.fastq.gz	aed1c0b20e1f7e85d9bb5d19e31e1183;a0e6c7926cfa2dcc03b3b3f2e462ffc1	INCLUDE	none	retain	48
GC_48hpi_2	0.0697610196294103	PRJNA450886	NA	SAMN10576441	SRX5112232	SRR8297704	Guiwei	mock	48	pericarp	2	mRNA	PAIRED	Illumina HiSeq 2500	16124361	4031090250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/004/SRR8297704/SRR8297704_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/004/SRR8297704/SRR8297704_2.fastq.gz	4661c2abebeef403566b7d49a5833c35;e3fab86fa165acedfa17d331ff8b3d78	INCLUDE	none	retain	48
