gene_id	baseMean	external_log2fc	external_lfc_se	external_signed_stat	external_p	genomewide_q	contrast	estimand
LITCHI026684	342.096385256196	1.88347832481372	0.259299970784065	7.26370434643127	3.76630750020268e-13	6.75148282486333e-09	primary_24h	resistant-minus-susceptible cultivar-by-infection at 24 h
LITCHI005661	605.771812394654	-0.974826130844923	0.139502896729625	-6.98785583452268	2.79118975486276e-12	2.50174337728349e-08	primary_24h	resistant-minus-susceptible cultivar-by-infection at 24 h
LITCHI007195	323.476679460641	5.56951882499176	0.86314189846669	6.45261090312684	1.0993937217179e-10	6.56924395183834e-07	primary_24h	resistant-minus-susceptible cultivar-by-infection at 24 h
LITCHI012750	160.342194368107	2.42009948048872	0.385526620695544	6.27738617925403	3.44312144203942e-10	1.51030837549283e-06	primary_24h	resistant-minus-susceptible cultivar-by-infection at 24 h
LITCHI023056	32.801688756351	3.30729837103497	0.529511807199325	6.24593885550508	4.21261959023996e-10	1.51030837549283e-06	primary_24h	resistant-minus-susceptible cultivar-by-infection at 24 h
LITCHI009126	765.688865036754	1.45512117349834	0.239095514262339	6.08594091774453	1.15809145794584e-09	3.45999124585619e-06	primary_24h	resistant-minus-susceptible cultivar-by-infection at 24 h
LITCHI009937	810.764871309775	0.809136025555056	0.133538372480394	6.05920238899012	1.36798180922819e-09	3.50320598746065e-06	primary_24h	resistant-minus-susceptible cultivar-by-infection at 24 h
LITCHI001321	2474.56451967045	1.17465471485944	0.196404365389689	5.98079738466496	2.22047936031472e-09	4.97553912662521e-06	primary_24h	resistant-minus-susceptible cultivar-by-infection at 24 h
LITCHI004354	941.543835326537	1.88081329670902	0.317013639799291	5.93290969404285	2.97612563770027e-09	5.92778090904611e-06	primary_24h	resistant-minus-susceptible cultivar-by-infection at 24 h
LITCHI020876	803.267297507351	-1.68494455249293	0.290966514624307	-5.79085381927371	7.00295074195536e-09	1.18849314076252e-05	primary_24h	resistant-minus-susceptible cultivar-by-infection at 24 h
LITCHI025528	1165.94281583791	0.966560342986217	0.167108328456261	5.78403453565275	7.29299595469581e-09	1.18849314076252e-05	primary_24h	resistant-minus-susceptible cultivar-by-infection at 24 h
LITCHI010555	1305.67796634497	0.52957127982797	0.0918696326636123	5.7643778958716	8.19595894526868e-09	1.22433966710739e-05	primary_24h	resistant-minus-susceptible cultivar-by-infection at 24 h
LITCHI010370	1964.71966800923	1.95164538041162	0.340699207993904	5.72835314735026	1.01410286147887e-08	1.39836983806694e-05	primary_24h	resistant-minus-susceptible cultivar-by-infection at 24 h
LITCHI018075	99.3301904543179	2.25204351276385	0.395322873215325	5.69671948007219	1.22134634172195e-08	1.46533088485081e-05	primary_24h	resistant-minus-susceptible cultivar-by-infection at 24 h
LITCHI028800	300.783209785614	2.3960320034273	0.420709041357367	5.69522346298237	1.23210437895159e-08	1.46533088485081e-05	primary_24h	resistant-minus-susceptible cultivar-by-infection at 24 h
LITCHI018664	543.747552212345	1.13174061529808	0.199073798689981	5.68503048992673	1.30789323650635e-08	1.46533088485081e-05	primary_24h	resistant-minus-susceptible cultivar-by-infection at 24 h
LITCHI010862	1479.25509349156	1.14369663746385	0.201683631420223	5.67074595697293	1.42177092501304e-08	1.49921562363434e-05	primary_24h	resistant-minus-susceptible cultivar-by-infection at 24 h
LITCHI005897	186.47263724116	-1.14664136395137	0.203897370945403	-5.62362015083758	1.86996593932879e-08	1.76106595748235e-05	primary_24h	resistant-minus-susceptible cultivar-by-infection at 24 h
LITCHI027345	452.94665431208	-1.14085071119975	0.203071225672442	-5.61798308658441	1.93199406278123e-08	1.76106595748235e-05	primary_24h	resistant-minus-susceptible cultivar-by-infection at 24 h
LITCHI022463	222.814893829588	1.51092067000095	0.269520915284883	5.60594961027018	2.07116218034374e-08	1.76106595748235e-05	primary_24h	resistant-minus-susceptible cultivar-by-infection at 24 h
LITCHI006468	903.309035617491	-1.10327858188951	0.196920940848157	-5.60264732200436	2.11102476680769e-08	1.76106595748235e-05	primary_24h	resistant-minus-susceptible cultivar-by-infection at 24 h
LITCHI012739	279.716576031276	2.83783513444988	0.50688591398573	5.59856775686565	2.16129928955772e-08	1.76106595748235e-05	primary_24h	resistant-minus-susceptible cultivar-by-infection at 24 h
LITCHI027172	328.352091418118	0.812606131712392	0.146213945844281	5.55765133770359	2.73428881373274e-08	2.13108092499883e-05	primary_24h	resistant-minus-susceptible cultivar-by-infection at 24 h
LITCHI018672	116.146448110695	2.97557716950863	0.541196491799451	5.49814570973103	3.83805735538839e-08	2.81379924833108e-05	primary_24h	resistant-minus-susceptible cultivar-by-infection at 24 h
LITCHI013258	1634.97945480094	1.05879792324142	0.192767410347068	5.49261890967517	3.96016734406491e-08	2.81379924833108e-05	primary_24h	resistant-minus-susceptible cultivar-by-infection at 24 h
LITCHI027835	587.062243359543	-0.963289878590271	0.175548859158464	-5.4873035530281	4.08115477276627e-08	2.81379924833108e-05	primary_24h	resistant-minus-susceptible cultivar-by-infection at 24 h
LITCHI002106	462.329535990615	-0.957899764677812	0.175570607705373	-5.45592327324669	4.87190282027558e-08	3.23458259097259e-05	primary_24h	resistant-minus-susceptible cultivar-by-infection at 24 h
LITCHI022796	60.1706588174938	2.38099239629772	0.437978019016411	5.43632852088065	5.43896332085129e-08	3.39425968391882e-05	primary_24h	resistant-minus-susceptible cultivar-by-infection at 24 h
LITCHI030483	1756.51754050781	2.24032990860405	0.412438406029667	5.43191389514512	5.57528248970332e-08	3.39425968391882e-05	primary_24h	resistant-minus-susceptible cultivar-by-infection at 24 h
LITCHI001586	4898.0638185715	1.91293007076816	0.352381368396392	5.42857892706834	5.68045244435818e-08	3.39425968391882e-05	primary_24h	resistant-minus-susceptible cultivar-by-infection at 24 h
LITCHI015378	1075.61974005267	2.0381372323325	0.3762597081109	5.41683626600745	6.06628450701992e-08	3.50787793783352e-05	primary_24h	resistant-minus-susceptible cultivar-by-infection at 24 h
LITCHI027909	171.918815762267	2.29883571704956	0.431055072383139	5.33304411508296	9.65798360616924e-08	5.41028169138093e-05	primary_24h	resistant-minus-susceptible cultivar-by-infection at 24 h
LITCHI029631	562.300361307331	-1.05032278788392	0.197787156847683	-5.31036900789662	1.09403494486025e-07	5.84859095659032e-05	primary_24h	resistant-minus-susceptible cultivar-by-infection at 24 h
LITCHI025666	537.089883965361	-1.37869844874847	0.259747349531994	-5.30784414636981	1.10929427939345e-07	5.84859095659032e-05	primary_24h	resistant-minus-susceptible cultivar-by-infection at 24 h
LITCHI029305	120.810556598125	1.9237807748714	0.36328174289739	5.29556139961258	1.18651316991395e-07	6.07698145253642e-05	primary_24h	resistant-minus-susceptible cultivar-by-infection at 24 h
LITCHI031193	202.077043564005	2.1591742618517	0.408696853643189	5.28307042886305	1.27036524962362e-07	6.32571318465364e-05	primary_24h	resistant-minus-susceptible cultivar-by-infection at 24 h
LITCHI007923	1133.65150680822	-1.90424149129245	0.361351895268566	-5.26977031593307	1.36594573502278e-07	6.61782249892387e-05	primary_24h	resistant-minus-susceptible cultivar-by-infection at 24 h
LITCHI014986	1832.59379880318	0.988700289851104	0.188319018055248	5.25013511678914	1.51987684742051e-07	7.16981904391054e-05	primary_24h	resistant-minus-susceptible cultivar-by-infection at 24 h
LITCHI011682	1147.04318394214	-0.567366599856575	0.10843939554738	-5.23210773162856	1.67588024697022e-07	7.70303315568928e-05	primary_24h	resistant-minus-susceptible cultivar-by-infection at 24 h
LITCHI022112	1380.71096298588	0.876739824718703	0.167934110498409	5.22073700284379	1.78212475139559e-07	7.98659207337932e-05	primary_24h	resistant-minus-susceptible cultivar-by-infection at 24 h
LITCHI020695	293.692945300631	-1.14079778547899	0.219103867405124	-5.20665289476453	1.92277274278783e-07	8.40673760663773e-05	primary_24h	resistant-minus-susceptible cultivar-by-infection at 24 h
