gene_id	RNA-Seq_FZX_Fr_C1	RNA-Seq_FZX_Fr_C2	RNA-Seq_FZX_Fr_C3	RNA-Seq_FZX_Fr_M1	RNA-Seq_FZX_Fr_M2	RNA-Seq_FZX_Fr_M3	RNA-Seq_FZX_Le_C1	RNA-Seq_FZX_Le_C2	RNA-Seq_FZX_Le_C3	RNA-Seq_FZX_Le_M1	RNA-Seq_FZX_Le_M2	RNA-Seq_FZX_Le_M3
LITCHI014204	85.6029231558942	62.0293737789079	54.9336124963354	77.6794291962337	105.726482661391	104.928619305817	52.6103394159748	71.1151269810266	74.1387160550856	61.1095006467469	68.8559548439925	77.6847402943855
LITCHI014205	205.252463476065	267.660996443233	211.596137022922	134.089490874451	249.583827921972	237.229921908803	246.370369947979	221.35835299728	332.500908368263	346.621102029089	364.406899482053	412.81309668063
LITCHI014206	8.754844413671	7.64745704123522	14.2420476842351	9.24755109478972	11.2659366770335	10.0366505422955	8.98225307102008	8.01297205420018	14.6030804350926	24.0430822216709	14.8305133510138	23.4860842750468
LITCHI014207	27.2372937314209	33.9886979610454	39.6742756917978	49.9367759118645	25.1317048949208	20.9857238611633	78.2739196188893	63.1021549268264	32.5761025090528	39.0700086102153	57.2034086396246	46.9721685500936
LITCHI014208	76.8480787422232	117.261007965607	115.970959714486	91.5507558384183	110.926145743099	94.891968763521	88.5393517000551	91.147557116527	130.304410036211	117.210025830646	119.703429190325	121.946976043512
LITCHI014209	716.924481430614	723.959266570267	752.793949023856	853.548966049091	813.747272287264	796.545083947633	1038.09181920789	1007.63123581567	1042.43528028969	1015.8202238656	942.79692017159	915.053975793169
LITCHI014210	343.384453113985	392.569461450075	431.330587008263	334.761349631388	353.577089556127	351.282768980342	477.34259177421	491.796159826536	550.42380101503	456.818562211748	373.94080092199	435.395870022021
LITCHI014213	43.774222068355	70.5265482691692	53.9163233760329	32.366428831764	15.5989892451233	43.7962932754712	103.937499821804	130.210795880753	84.2485409716882	131.23515712662	129.237330630263	95.7509589674984
LITCHI014214	1434.82172335164	1320.46091578661	1454.72344203259	1277.08680619046	1594.56334505705	1523.74603687577	1280.61265212543	1347.1809266124	1308.66066976022	1213.17385710181	1317.7970434758	1315.22071940262
LITCHI014216	17.509688827342	13.5954791844182	13.2247585639326	31.4416737222851	26.8649259221567	33.7596427331757	2.56635802029145	3.00486452032507	5.61656939811255	20.0359018513924	12.7118685865832	5.41986560193387
LITCHI014218	48.6380245203944	87.5208972496919	64.089214579058	61.9585923350912	56.3296833851674	69.3441310194961	157.831018247924	101.163772184277	130.304410036211	118.211820923215	98.5169815460201	87.6211605645976
LITCHI014219	0	0	0	0	1.73322102723592	5.4745366594339	23.0972221826231	10.0162150677502	4.49325551849004	10.0179509256962	21.1864476443054	19.8728405404242
