sample_id	PC1	PC2	PC1_variance_fraction	PC2_variance_fraction	study	geo_series	biosample	experiment	run	cultivar	treatment	time_h	tissue	replicate	modality	library_layout	instrument	read_count	base_count	fastq_ftp	fastq_md5	primary_status	reason	all_sample_sensitivity
RNA-Seq_FZX_Fr_C1	-36.5541252943699	-5.3786216906222	0.920470357586133	0.0287227559011029	PRJNA922966	GSE222651	SAMN32678587	SRX19004413	SRR23050944	Feizixiao	infected	24	fruit	1	mRNA	PAIRED	Illumina NovaSeq 6000	37677087	11247616752	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/044/SRR23050944/SRR23050944_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/044/SRR23050944/SRR23050944_2.fastq.gz	74901ca5a3b666b78d4f30d1a1a23bb6;e77af553bfac659fabeb302abe592b47	INCLUDE	none	retain
RNA-Seq_FZX_Fr_C2	-37.7701393191729	-6.13302722417813	0.920470357586133	0.0287227559011029	PRJNA922966	GSE222651	SAMN32678586	SRX19004414	SRR23050943	Feizixiao	infected	24	fruit	2	mRNA	PAIRED	Illumina NovaSeq 6000	43148811	12883467090	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/043/SRR23050943/SRR23050943_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/043/SRR23050943/SRR23050943_2.fastq.gz	ba2a42018d944b9f963cf7168b766db4;ba338e73f08da7104bb35db6cfe7591a	INCLUDE	none	retain
RNA-Seq_FZX_Fr_C3	-36.1329613976677	-4.13925698068282	0.920470357586133	0.0287227559011029	PRJNA922966	GSE222651	SAMN32678585	SRX19004415	SRR23050942	Feizixiao	infected	24	fruit	3	mRNA	PAIRED	Illumina NovaSeq 6000	35174729	10504629640	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/042/SRR23050942/SRR23050942_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/042/SRR23050942/SRR23050942_2.fastq.gz	ea3cc3c504c54e50e3a192a5412eb21a;4b22b8cacbbf31ec5b603eefb2047d73	INCLUDE	none	retain
RNA-Seq_FZX_Fr_M1	-33.269158800714	5.32597168639279	0.920470357586133	0.0287227559011029	PRJNA922966	GSE222651	SAMN32678584	SRX19004416	SRR23050941	Feizixiao	mock	24	fruit	1	mRNA	PAIRED	Illumina NovaSeq 6000	38394172	11438403354	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/041/SRR23050941/SRR23050941_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/041/SRR23050941/SRR23050941_2.fastq.gz	3d5adbfebc0083eef89838cdae268de3;8fdd282058aa1d76faf75995a1cb57b6	INCLUDE	none	retain
RNA-Seq_FZX_Fr_M2	-32.6990643918676	6.6570618972086	0.920470357586133	0.0287227559011029	PRJNA922966	GSE222651	SAMN32678583	SRX19004417	SRR23050940	Feizixiao	mock	24	fruit	2	mRNA	PAIRED	Illumina NovaSeq 6000	40358531	12021528776	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/040/SRR23050940/SRR23050940_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/040/SRR23050940/SRR23050940_2.fastq.gz	8c794c2d2a93dcd1bec0ca4768cd679a;1d90c049e675862d3194010e1ea4cc94	INCLUDE	none	retain
RNA-Seq_FZX_Fr_M3	-33.5037639338161	5.95941662380198	0.920470357586133	0.0287227559011029	PRJNA922966	GSE222651	SAMN32678582	SRX19004418	SRR23050939	Feizixiao	mock	24	fruit	3	mRNA	PAIRED	Illumina NovaSeq 6000	39244849	11693679436	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/039/SRR23050939/SRR23050939_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/039/SRR23050939/SRR23050939_2.fastq.gz	d00865b59156aead58d33f6bf1d49d0f;a364a6684910157a0f634f7b7de89bf4	INCLUDE	none	retain
RNA-Seq_FZX_Le_C1	32.6003031795418	-9.42482488588292	0.920470357586133	0.0287227559011029	PRJNA922966	GSE222651	SAMN32678593	SRX19004407	SRR23050950	Feizixiao	infected	24	leaf	1	mRNA	PAIRED	Illumina NovaSeq 6000	35620848	10652132024	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/050/SRR23050950/SRR23050950_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/050/SRR23050950/SRR23050950_2.fastq.gz	48f9fb3a0f178d239a353864992d2eb4;3fd76edc3f91a2774780c14cb7edf3e6	INCLUDE	none	retain
RNA-Seq_FZX_Le_C2	32.5864757402335	-6.38937519754285	0.920470357586133	0.0287227559011029	PRJNA922966	GSE222651	SAMN32678592	SRX19004408	SRR23050949	Feizixiao	infected	24	leaf	2	mRNA	PAIRED	Illumina NovaSeq 6000	43858629	13111669600	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/049/SRR23050949/SRR23050949_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/049/SRR23050949/SRR23050949_2.fastq.gz	1e2b7c8e4415ead635f6f23c0c2e0b17;d5a85fef37996fb1366611c600a58c9c	INCLUDE	none	retain
RNA-Seq_FZX_Le_C3	32.3653875505683	-4.9386397411357	0.920470357586133	0.0287227559011029	PRJNA922966	GSE222651	SAMN32678591	SRX19004409	SRR23050948	Feizixiao	infected	24	leaf	3	mRNA	PAIRED	Illumina NovaSeq 6000	38825544	11586633884	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/048/SRR23050948/SRR23050948_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/048/SRR23050948/SRR23050948_2.fastq.gz	7ce79ead8989b98f662b95974fe9b87a;cabb6f8d5ed6a52bdd0caa44a06318b7	INCLUDE	none	retain
RNA-Seq_FZX_Le_M1	36.9987249976522	5.47150855775422	0.920470357586133	0.0287227559011029	PRJNA922966	GSE222651	SAMN32678590	SRX19004410	SRR23050947	Feizixiao	mock	24	leaf	1	mRNA	PAIRED	Illumina NovaSeq 6000	42734424	12774277852	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/047/SRR23050947/SRR23050947_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/047/SRR23050947/SRR23050947_2.fastq.gz	4ae7f04e50f31d19cc0de7d37358850a;e2ced6b96ee13f598564e255ac9e6c1e	INCLUDE	none	retain
