gene_id	RNA-Seq_FZX_Fr_C1	RNA-Seq_FZX_Fr_C2	RNA-Seq_FZX_Fr_C3	RNA-Seq_FZX_Fr_M1	RNA-Seq_FZX_Fr_M2	RNA-Seq_FZX_Fr_M3	RNA-Seq_FZX_Le_C1	RNA-Seq_FZX_Le_C2	RNA-Seq_FZX_Le_C3	RNA-Seq_FZX_Le_M1	RNA-Seq_FZX_Le_M2	RNA-Seq_FZX_Le_M3
LITCHI014204	10.0061259818709	9.93362365177072	9.90911120891637	9.98305275647011	10.060195341769	10.0581584352136	9.9007381368209	9.96300540719448	9.97235225933905	9.9305296684918	9.95588805663497	9.98306861729271
LITCHI014205	10.27049032659	10.374840022704	10.2818125481499	10.1280194068174	10.3461011243486	10.325809489913	10.340875976223	10.2988877574786	10.47005359071	10.4893982313227	10.5131544522451	10.5747133876105
LITCHI014206	9.6727611148141	9.6624574130601	9.71614590595645	9.67713434810534	9.69393239646173	9.68390161406657	9.67479451592563	9.66593644360464	9.71867495258201	9.77619561980278	9.72025202320384	9.77316081842006
LITCHI014207	9.79295320845771	9.82537520813666	9.85022178306721	9.89086625052119	9.78202633223283	9.75906810166213	9.98482467535042	9.93720250560772	9.81888183994673	9.8476706903358	9.91711912538588	9.87960007994551
LITCHI014208	9.98056315466804	10.0887972651203	10.0856730967429	10.022732435965	10.07327927741	10.0318178724828	10.0143963020628	10.0216245798287	10.1194317872429	10.0886741390466	10.0946636775564	10.0999978477027
LITCHI014209	10.8904380472608	10.8966992114362	10.9219885530065	11.0060212995916	10.9735864716463	10.9592688695404	11.1453395650714	11.1234746139646	11.1484242701756	11.1293931848799	11.0755158330492	11.0543659592309
LITCHI014210	10.485003041171	10.5494880800711	10.5971860120333	10.4731804531612	10.4987678774152	10.4956888184209	10.6507645108514	10.6669837830832	10.7301141151569	10.6272447555822	10.5256242299606	10.6020464033014
LITCHI014213	9.86703430256143	9.96116241592835	9.90546753540857	9.81790597595059	9.72549281650102	9.86712259588959	10.0556169644417	10.1192177572699	10.0022622766125	10.1215554077963	10.1169873535587	10.0341268759407
LITCHI014214	11.3986687606706	11.3308957399196	11.4100938146411	11.3041826726916	11.4875637139082	11.4489280944452	11.306376085277	11.3470669157314	11.3236857834731	11.2637211483484	11.3292718126528	11.3276992084342
LITCHI014216	9.73798630719603	9.71153481443566	9.70884118071686	9.81356336064913	9.79105267856022	9.82433169481613	9.60045703451596	9.60746572578383	9.64138821277465	9.75349426894114	9.70505122535846	9.63915714904012
LITCHI014218	9.88597374300417	10.0115440824174	9.94046804740585	9.93338641425697	9.91405609886663	9.95743602154226	10.1792094546814	10.04843709489	10.1194317872429	10.0910884834673	10.0414903337002	10.0118256288854
LITCHI014219	9.51502601510565	9.51502601510565	9.51502601510565	9.51502601510565	9.58523691448634	9.6397812556337	9.77102054948413	9.68372979975995	9.62805502179304	9.683744401076	9.76022964012211	9.75252409923209
LITCHI014220	10.1477395667761	10.1883740908744	10.18517846136	10.2060232849074	10.1570904940059	10.1978333133889	9.76382606302996	10.0019403860831	9.97577489206441	9.87614937257708	9.86989238363129	10.0365435180738
LITCHI014221	9.65415068073406	9.62493613152271	9.64675077020912	9.6175846759396	9.68692216665699	9.60325502984519	9.67479451592563	9.72834851549578	9.77979858946519	9.683744401076	9.670218294845	9.76305928589995
LITCHI014225	11.8639056519542	11.958845724532	11.7566283573297	11.3752125162677	11.3983334587019	11.4610018532698	11.2781371766026	11.1066608208423	11.1054145487282	11.0807194860592	10.9795471242889	11.0403788017884
LITCHI014226	10.5033451718772	10.4409233166578	10.4042560660191	10.5877963584702	10.5273128018008	10.5422518096128	10.7167045817273	10.7512664523687	10.7347888546896	10.872729147756	10.8801989722607	10.9003397986511
LITCHI014227	11.5782280167228	11.4986639512549	11.5693492012339	11.4602865778861	11.4697444915442	11.5043103099439	11.7347473634965	11.7053312428522	11.7100340823148	11.8178413941579	11.7840466324384	11.78476545398
LITCHI014230	9.79295320845771	9.79700943271711	9.82808799181311	9.87313683400814	9.79545563947055	9.79823187450427	9.73265864502262	9.73490132498264	9.76750887074827	9.71461088745879	9.74113330463008	9.66703156430826
LITCHI014231	10.2271315770864	10.2003789034706	10.1552995541199	10.265558464549	10.243706543862	10.3120053106978	10.132343901825	10.1654387033793	10.1445556399645	10.332775019837	10.2915966289528	10.2749904965132
LITCHI014232	10.256343123977	10.2302566920411	10.2907606417853	10.189312446805	10.3116098892923	10.302654476921	9.51502601510565	9.62176011578454	9.57155135769398	9.56840681721275	9.56991791936025	9.51502601510565
LITCHI014233	10.058489620747	10.0371130448134	10.0171307353616	10.0302879825575	10.0623987656142	10.0696996718685	9.51502601510565	9.51502601510565	9.51502601510565	9.51502601510565	9.51502601510565	9.56571536414162
LITCHI014234	11.3506265183388	11.3376068810908	11.3681193254004	11.4132128314841	11.3268198449447	11.3766154964158	11.2641803740616	11.2095081308918	11.1681751546704	11.2150251435018	11.2505315510925	11.2567050742807
LITCHI014235	11.1479923963189	10.9995127402721	10.9669059259943	10.895988344853	10.9214891093745	10.9163984330754	11.5184411537837	11.4859578670014	11.3669702267796	11.4422415586896	11.4713711758835	11.4414766571228
LITCHI014236	10.8860875938225	10.7642821582395	10.831878205986	10.7202181751745	10.8612064160504	10.9011860271603	10.8827249596374	10.9421392797752	10.9179354476339	10.964194484292	10.957547380154	11.0743467817741
LITCHI014237	10.2473501039811	10.1416275501341	10.1420289817526	10.1663155717753	10.189649842071	10.1581372773927	10.0844942550511	10.1842105657801	10.2142098740963	10.2706981808744	10.2934438523706	10.2229988656753
