artifact	path	sha256	status
discovery_freeze_manifest	results/discovery/frozen_results.sha256	01fa41ceb9176a33e7ec452fe51de235c5b3608651fea56efc9f7859bae3fc8b	PASS
discovery_external_unlock	results/discovery/external_outcomes_unlock_timestamp.txt	9e97b71d639938ad0ee0c87c29e8ee28f8c30067579deb5bbeca0b38c412bd71	PASS
external_analysis_bundle	analysis/preregistration/external_validation_bundle.sha256	eef01de2072716d50d399119df316136e911783034d884ff5b1862dbe5340983	PASS
external_config	analysis/config/external_validation.yaml	0c3681f57e0fc8feeae800bae6f690f7f209b7ff648f9fe19d82187513d76524	PASS
