gene_id	study	contrast	external_log2fc	genomewide_q	external_response_direction
LITCHI026684	PRJNA450886	primary_24h	1.88347832481372	6.75148282486333e-09	positive
LITCHI005661	PRJNA450886	primary_24h	-0.974826130844923	2.50174337728349e-08	negative
LITCHI007195	PRJNA450886	primary_24h	5.56951882499176	6.56924395183834e-07	positive
LITCHI012750	PRJNA450886	primary_24h	2.42009948048872	1.51030837549283e-06	positive
LITCHI023056	PRJNA450886	primary_24h	3.30729837103497	1.51030837549283e-06	positive
LITCHI009126	PRJNA450886	primary_24h	1.45512117349834	3.45999124585619e-06	positive
LITCHI009937	PRJNA450886	primary_24h	0.809136025555056	3.50320598746065e-06	positive
LITCHI001321	PRJNA450886	primary_24h	1.17465471485944	4.97553912662521e-06	positive
LITCHI004354	PRJNA450886	primary_24h	1.88081329670902	5.92778090904611e-06	positive
LITCHI020876	PRJNA450886	primary_24h	-1.68494455249293	1.18849314076252e-05	negative
LITCHI025528	PRJNA450886	primary_24h	0.966560342986217	1.18849314076252e-05	positive
LITCHI010370	PRJNA450886	primary_24h	1.95164538041162	1.39836983806694e-05	positive
LITCHI018075	PRJNA450886	primary_24h	2.25204351276385	1.46533088485081e-05	positive
LITCHI018664	PRJNA450886	primary_24h	1.13174061529808	1.46533088485081e-05	positive
LITCHI028800	PRJNA450886	primary_24h	2.3960320034273	1.46533088485081e-05	positive
LITCHI010862	PRJNA450886	primary_24h	1.14369663746385	1.49921562363434e-05	positive
LITCHI005897	PRJNA450886	primary_24h	-1.14664136395137	1.76106595748235e-05	negative
LITCHI006468	PRJNA450886	primary_24h	-1.10327858188951	1.76106595748235e-05	negative
LITCHI012739	PRJNA450886	primary_24h	2.83783513444988	1.76106595748235e-05	positive
LITCHI022463	PRJNA450886	primary_24h	1.51092067000095	1.76106595748235e-05	positive
LITCHI027345	PRJNA450886	primary_24h	-1.14085071119975	1.76106595748235e-05	negative
LITCHI027172	PRJNA450886	primary_24h	0.812606131712392	2.13108092499883e-05	positive
LITCHI013258	PRJNA450886	primary_24h	1.05879792324142	2.81379924833108e-05	positive
LITCHI018672	PRJNA450886	primary_24h	2.97557716950863	2.81379924833108e-05	positive
LITCHI027835	PRJNA450886	primary_24h	-0.963289878590271	2.81379924833108e-05	negative
LITCHI002106	PRJNA450886	primary_24h	-0.957899764677812	3.23458259097259e-05	negative
LITCHI001586	PRJNA450886	primary_24h	1.91293007076816	3.39425968391882e-05	positive
LITCHI022796	PRJNA450886	primary_24h	2.38099239629772	3.39425968391882e-05	positive
LITCHI030483	PRJNA450886	primary_24h	2.24032990860405	3.39425968391882e-05	positive
LITCHI015378	PRJNA450886	primary_24h	2.0381372323325	3.50787793783352e-05	positive
LITCHI027909	PRJNA450886	primary_24h	2.29883571704956	5.41028169138093e-05	positive
LITCHI025666	PRJNA450886	primary_24h	-1.37869844874847	5.84859095659032e-05	negative
LITCHI029631	PRJNA450886	primary_24h	-1.05032278788392	5.84859095659032e-05	negative
LITCHI029305	PRJNA450886	primary_24h	1.9237807748714	6.07698145253642e-05	positive
LITCHI031193	PRJNA450886	primary_24h	2.1591742618517	6.32571318465364e-05	positive
LITCHI007923	PRJNA450886	primary_24h	-1.90424149129245	6.61782249892387e-05	negative
LITCHI014986	PRJNA450886	primary_24h	0.988700289851104	7.16981904391054e-05	positive
LITCHI022112	PRJNA450886	primary_24h	0.876739824718703	7.98659207337932e-05	positive
LITCHI020695	PRJNA450886	primary_24h	-1.14079778547899	8.40673760663773e-05	negative
LITCHI006361	PRJNA450886	primary_24h	-1.10580208154987	9.97191585034832e-05	negative
LITCHI011826	PRJNA450886	primary_24h	1.64813899937221	0.000113140218096596	positive
LITCHI027861	PRJNA450886	primary_24h	0.754276443229981	0.000122083037087544	positive
LITCHI027700	PRJNA450886	primary_24h	-1.45642940228818	0.000124549613578709	negative
LITCHI014829	PRJNA450886	primary_24h	2.57714731585475	0.000139737227290283	positive
LITCHI017126	PRJNA450886	primary_24h	0.676728583067012	0.000139737227290283	positive
LITCHI022837	PRJNA450886	primary_24h	0.800332726947925	0.000142869876151721	positive
LITCHI003041	PRJNA450886	primary_24h	3.51839071461689	0.000167666660427626	positive
LITCHI010548	PRJNA450886	primary_24h	0.956070767898046	0.000167666660427626	positive
LITCHI009142	PRJNA450886	primary_24h	-1.02189860077417	0.000187721729005134	negative
LITCHI015539	PRJNA450886	primary_24h	0.70128366306941	0.000189380676438929	positive
LITCHI007692	PRJNA450886	primary_24h	1.28747802260277	0.000200728010210909	positive
LITCHI023391	PRJNA450886	primary_24h	1.22477660625177	0.000205276408279539	positive
LITCHI015086	PRJNA450886	primary_24h	1.77943173460497	0.000235107686240776	positive
LITCHI004453	PRJNA450886	primary_24h	1.76703915274408	0.000243049837730174	positive
LITCHI006954	PRJNA450886	primary_24h	3.14991725760974	0.000252107026637478	positive
LITCHI010945	PRJNA450886	primary_24h	2.65862594107233	0.000252107026637478	positive
LITCHI024918	PRJNA450886	primary_24h	1.51888920797069	0.000252107026637478	positive
LITCHI029086	PRJNA450886	primary_24h	1.87186440531646	0.000252107026637478	positive
LITCHI015379	PRJNA450886	primary_24h	3.22161828583044	0.000265727144842975	positive
LITCHI017106	PRJNA450886	primary_24h	2.19729250295839	0.000266344861078306	positive
LITCHI019499	PRJNA450886	primary_24h	1.36453163723908	0.000278668896006096	positive
LITCHI020311	PRJNA450886	primary_24h	-1.80521188237112	0.000296524018221101	negative
LITCHI000484	PRJNA450886	primary_24h	-1.42351762943565	0.000298347497082036	negative
LITCHI003045	PRJNA450886	primary_24h	1.10284411213611	0.000298347497082036	positive
LITCHI003379	PRJNA450886	primary_24h	1.81891753474307	0.000298347497082036	positive
LITCHI003915	PRJNA450886	primary_24h	1.15301522279418	0.000298347497082036	positive
LITCHI030761	PRJNA450886	primary_24h	1.31428235523989	0.000319882090607554	positive
LITCHI011244	PRJNA450886	primary_24h	-2.91368868667513	0.000332695472478549	negative
LITCHI022926	PRJNA450886	primary_24h	-0.980592081961439	0.000332695472478549	negative
LITCHI015148	PRJNA450886	primary_24h	2.94646749091599	0.000335839013277142	positive
LITCHI018600	PRJNA450886	primary_24h	1.48474191975561	0.000338835624217673	positive
LITCHI013501	PRJNA450886	primary_24h	-1.3502517353589	0.000349803975327206	negative
LITCHI020918	PRJNA450886	primary_24h	1.52353970664912	0.000352703477845201	positive
LITCHI027513	PRJNA450886	primary_24h	-2.10358222708384	0.000352703477845201	negative
LITCHI010675	PRJNA450886	primary_24h	4.80709411816324	0.000378931035173805	positive
