Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47
GC_24hpi_1_R1	(30, 1324.0)	(32, 2799.0)	(34, 3384.0)	(36, 2615.0)	(38, 2382.0)	(40, 2765.0)	(42, 2085.0)	(44, 2100.0)	(46, 1667.0)	(48, 1967.0)	(50, 1771.0)	(52, 1870.0)	(54, 1785.0)	(56, 1674.0)	(58, 1669.0)	(60, 2172.0)	(62, 1966.0)	(64, 1918.0)	(66, 1940.0)	(68, 1954.0)	(70, 1726.0)	(72, 2011.0)	(74, 1643.0)	(76, 1778.0)	(78, 2140.0)	(80, 1804.0)	(82, 1766.0)	(84, 1796.0)	(86, 1751.0)	(88, 1715.0)	(90, 1622.0)	(92, 1622.0)	(94, 1764.0)	(96, 1567.0)	(98, 1460.0)	(100, 1612.0)	(102, 1400.0)	(104, 1434.0)	(106, 1302.0)	(108, 1329.0)	(110, 1301.0)	(112, 1247.0)	(114, 1215.0)	(116, 1291.0)	(118, 8948.0)	(120, 9457.0)	(122, 10165.0)	(124, 14357596.0)
GC_24hpi_1_R2	(30, 1324.0)	(32, 2799.0)	(34, 3384.0)	(36, 2615.0)	(38, 2382.0)	(40, 2765.0)	(42, 2085.0)	(44, 2100.0)	(46, 1667.0)	(48, 1967.0)	(50, 1771.0)	(52, 1870.0)	(54, 1785.0)	(56, 1674.0)	(58, 1669.0)	(60, 2172.0)	(62, 1966.0)	(64, 1918.0)	(66, 1940.0)	(68, 1954.0)	(70, 1726.0)	(72, 2011.0)	(74, 1643.0)	(76, 1778.0)	(78, 2140.0)	(80, 1804.0)	(82, 1766.0)	(84, 1796.0)	(86, 1751.0)	(88, 1715.0)	(90, 1622.0)	(92, 1622.0)	(94, 1764.0)	(96, 1567.0)	(98, 1460.0)	(100, 1612.0)	(102, 1400.0)	(104, 1434.0)	(106, 1302.0)	(108, 1329.0)	(110, 1301.0)	(112, 1247.0)	(114, 1215.0)	(116, 1291.0)	(118, 8948.0)	(120, 9457.0)	(122, 10165.0)	(124, 14357596.0)
GC_24hpi_2_R1	(30, 1253.0)	(32, 2539.0)	(34, 3041.0)	(36, 2444.0)	(38, 2163.0)	(40, 2559.0)	(42, 1846.0)	(44, 1827.0)	(46, 1616.0)	(48, 1802.0)	(50, 1602.0)	(52, 1608.0)	(54, 1566.0)	(56, 1515.0)	(58, 1635.0)	(60, 1951.0)	(62, 1907.0)	(64, 1890.0)	(66, 1939.0)	(68, 1872.0)	(70, 1726.0)	(72, 1982.0)	(74, 1775.0)	(76, 1827.0)	(78, 2045.0)	(80, 1814.0)	(82, 1792.0)	(84, 1748.0)	(86, 1737.0)	(88, 1737.0)	(90, 1586.0)	(92, 1561.0)	(94, 1692.0)	(96, 1502.0)	(98, 1361.0)	(100, 1536.0)	(102, 1399.0)	(104, 1335.0)	(106, 1355.0)	(108, 1250.0)	(110, 1308.0)	(112, 1247.0)	(114, 1167.0)	(116, 1340.0)	(118, 10435.0)	(120, 11092.0)	(122, 12421.0)	(124, 15107516.0)
GC_24hpi_2_R2	(30, 1253.0)	(32, 2539.0)	(34, 3041.0)	(36, 2444.0)	(38, 2163.0)	(40, 2559.0)	(42, 1846.0)	(44, 1827.0)	(46, 1616.0)	(48, 1802.0)	(50, 1602.0)	(52, 1608.0)	(54, 1566.0)	(56, 1515.0)	(58, 1635.0)	(60, 1951.0)	(62, 1907.0)	(64, 1890.0)	(66, 1939.0)	(68, 1872.0)	(70, 1726.0)	(72, 1982.0)	(74, 1775.0)	(76, 1827.0)	(78, 2045.0)	(80, 1814.0)	(82, 1792.0)	(84, 1748.0)	(86, 1737.0)	(88, 1737.0)	(90, 1586.0)	(92, 1561.0)	(94, 1692.0)	(96, 1502.0)	(98, 1361.0)	(100, 1536.0)	(102, 1399.0)	(104, 1335.0)	(106, 1355.0)	(108, 1250.0)	(110, 1308.0)	(112, 1247.0)	(114, 1167.0)	(116, 1340.0)	(118, 10435.0)	(120, 11092.0)	(122, 12421.0)	(124, 15107516.0)
GC_24hpi_3_R1	(30, 1214.0)	(32, 2490.0)	(34, 2768.0)	(36, 2210.0)	(38, 2075.0)	(40, 2375.0)	(42, 1676.0)	(44, 1708.0)	(46, 1408.0)	(48, 1623.0)	(50, 1558.0)	(52, 1550.0)	(54, 1603.0)	(56, 1487.0)	(58, 1544.0)	(60, 1880.0)	(62, 1832.0)	(64, 1866.0)	(66, 1809.0)	(68, 1832.0)	(70, 1736.0)	(72, 1898.0)	(74, 1630.0)	(76, 1698.0)	(78, 2013.0)	(80, 1778.0)	(82, 1758.0)	(84, 1791.0)	(86, 1730.0)	(88, 1671.0)	(90, 1591.0)	(92, 1589.0)	(94, 1667.0)	(96, 1530.0)	(98, 1465.0)	(100, 1570.0)	(102, 1230.0)	(104, 1401.0)	(106, 1277.0)	(108, 1252.0)	(110, 1288.0)	(112, 1147.0)	(114, 1119.0)	(116, 1242.0)	(118, 8619.0)	(120, 9201.0)	(122, 9963.0)	(124, 13150232.0)
GC_24hpi_3_R2	(30, 1214.0)	(32, 2490.0)	(34, 2768.0)	(36, 2210.0)	(38, 2075.0)	(40, 2375.0)	(42, 1676.0)	(44, 1708.0)	(46, 1408.0)	(48, 1623.0)	(50, 1558.0)	(52, 1550.0)	(54, 1603.0)	(56, 1487.0)	(58, 1544.0)	(60, 1880.0)	(62, 1832.0)	(64, 1866.0)	(66, 1809.0)	(68, 1832.0)	(70, 1736.0)	(72, 1898.0)	(74, 1630.0)	(76, 1698.0)	(78, 2013.0)	(80, 1778.0)	(82, 1758.0)	(84, 1791.0)	(86, 1730.0)	(88, 1671.0)	(90, 1591.0)	(92, 1589.0)	(94, 1667.0)	(96, 1530.0)	(98, 1465.0)	(100, 1570.0)	(102, 1230.0)	(104, 1401.0)	(106, 1277.0)	(108, 1252.0)	(110, 1288.0)	(112, 1147.0)	(114, 1119.0)	(116, 1242.0)	(118, 8619.0)	(120, 9201.0)	(122, 9963.0)	(124, 13150232.0)
GC_48hpi_1_R1	(30, 1532.0)	(32, 3044.0)	(34, 3339.0)	(36, 2780.0)	(38, 2459.0)	(40, 2702.0)	(42, 2036.0)	(44, 2091.0)	(46, 1694.0)	(48, 2005.0)	(50, 1808.0)	(52, 1835.0)	(54, 1844.0)	(56, 1786.0)	(58, 1776.0)	(60, 2131.0)	(62, 2031.0)	(64, 2075.0)	(66, 1907.0)	(68, 1996.0)	(70, 1864.0)	(72, 2045.0)	(74, 1794.0)	(76, 1926.0)	(78, 2332.0)	(80, 1931.0)	(82, 2033.0)	(84, 1902.0)	(86, 1780.0)	(88, 1847.0)	(90, 1753.0)	(92, 1689.0)	(94, 1740.0)	(96, 1556.0)	(98, 1599.0)	(100, 1655.0)	(102, 1503.0)	(104, 1514.0)	(106, 1504.0)	(108, 1438.0)	(110, 1460.0)	(112, 1360.0)	(114, 1296.0)	(116, 1522.0)	(118, 11120.0)	(120, 11492.0)	(122, 12432.0)	(124, 16127332.0)
GC_48hpi_1_R2	(30, 1532.0)	(32, 3044.0)	(34, 3339.0)	(36, 2780.0)	(38, 2459.0)	(40, 2702.0)	(42, 2036.0)	(44, 2091.0)	(46, 1694.0)	(48, 2005.0)	(50, 1808.0)	(52, 1835.0)	(54, 1844.0)	(56, 1786.0)	(58, 1776.0)	(60, 2131.0)	(62, 2031.0)	(64, 2075.0)	(66, 1907.0)	(68, 1996.0)	(70, 1864.0)	(72, 2045.0)	(74, 1794.0)	(76, 1926.0)	(78, 2332.0)	(80, 1931.0)	(82, 2033.0)	(84, 1902.0)	(86, 1780.0)	(88, 1847.0)	(90, 1753.0)	(92, 1689.0)	(94, 1740.0)	(96, 1556.0)	(98, 1599.0)	(100, 1655.0)	(102, 1503.0)	(104, 1514.0)	(106, 1504.0)	(108, 1438.0)	(110, 1460.0)	(112, 1360.0)	(114, 1296.0)	(116, 1522.0)	(118, 11120.0)	(120, 11492.0)	(122, 12432.0)	(124, 16127332.0)
GC_48hpi_2_R1	(30, 1777.0)	(32, 3396.0)	(34, 4039.0)	(36, 3403.0)	(38, 3006.0)	(40, 3483.0)	(42, 2501.0)	(44, 2450.0)	(46, 2029.0)	(48, 2375.0)	(50, 2130.0)	(52, 2150.0)	(54, 2279.0)	(56, 2090.0)	(58, 2195.0)	(60, 2592.0)	(62, 2334.0)	(64, 2299.0)	(66, 2300.0)	(68, 2430.0)	(70, 2075.0)	(72, 2502.0)	(74, 2089.0)	(76, 2349.0)	(78, 2729.0)	(80, 2290.0)	(82, 2368.0)	(84, 2343.0)	(86, 2014.0)	(88, 2188.0)	(90, 1881.0)	(92, 1859.0)	(94, 1947.0)	(96, 1777.0)	(98, 1514.0)	(100, 1754.0)	(102, 1535.0)	(104, 1472.0)	(106, 1431.0)	(108, 1387.0)	(110, 1282.0)	(112, 1293.0)	(114, 1207.0)	(116, 1394.0)	(118, 8875.0)	(120, 9231.0)	(122, 9817.0)	(124, 15678830.0)
GC_48hpi_2_R2	(30, 1777.0)	(32, 3396.0)	(34, 4039.0)	(36, 3403.0)	(38, 3006.0)	(40, 3483.0)	(42, 2501.0)	(44, 2450.0)	(46, 2029.0)	(48, 2375.0)	(50, 2130.0)	(52, 2150.0)	(54, 2279.0)	(56, 2090.0)	(58, 2195.0)	(60, 2592.0)	(62, 2334.0)	(64, 2299.0)	(66, 2300.0)	(68, 2430.0)	(70, 2075.0)	(72, 2502.0)	(74, 2089.0)	(76, 2349.0)	(78, 2729.0)	(80, 2290.0)	(82, 2368.0)	(84, 2343.0)	(86, 2014.0)	(88, 2188.0)	(90, 1881.0)	(92, 1859.0)	(94, 1947.0)	(96, 1777.0)	(98, 1514.0)	(100, 1754.0)	(102, 1535.0)	(104, 1472.0)	(106, 1431.0)	(108, 1387.0)	(110, 1282.0)	(112, 1293.0)	(114, 1207.0)	(116, 1394.0)	(118, 8875.0)	(120, 9231.0)	(122, 9817.0)	(124, 15678830.0)
