Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
GC_24hpi_1_R1	(20.0, 1.0)	(21.0, 170.0)	(22.0, 5255.0)	(23.0, 19160.0)	(24.0, 34749.0)	(25.0, 53258.0)	(26.0, 77395.0)	(27.0, 109689.0)	(28.0, 151648.0)	(29.0, 204326.0)	(30.0, 271526.0)	(31.0, 360071.0)	(32.0, 489318.0)	(33.0, 699737.0)	(34.0, 1145620.0)	(35.0, 2828511.0)	(36.0, 8015835.0)	
GC_24hpi_1_R2	(20.0, 2.0)	(21.0, 235.0)	(22.0, 5798.0)	(23.0, 24877.0)	(24.0, 52296.0)	(25.0, 77698.0)	(26.0, 98585.0)	(27.0, 124980.0)	(28.0, 153979.0)	(29.0, 191694.0)	(30.0, 238823.0)	(31.0, 300084.0)	(32.0, 389769.0)	(33.0, 529705.0)	(34.0, 795950.0)	(35.0, 1569032.0)	(36.0, 9912762.0)	
GC_24hpi_2_R1	(20.0, 1.0)	(21.0, 218.0)	(22.0, 5513.0)	(23.0, 20080.0)	(24.0, 36427.0)	(25.0, 55601.0)	(26.0, 81146.0)	(27.0, 114376.0)	(28.0, 158059.0)	(29.0, 213217.0)	(30.0, 282673.0)	(31.0, 375413.0)	(32.0, 509239.0)	(33.0, 728465.0)	(34.0, 1180895.0)	(35.0, 2900395.0)	(36.0, 8556143.0)	
GC_24hpi_2_R2	(20.0, 5.0)	(21.0, 251.0)	(22.0, 6577.0)	(23.0, 27556.0)	(24.0, 58308.0)	(25.0, 85154.0)	(26.0, 108618.0)	(27.0, 135925.0)	(28.0, 168526.0)	(29.0, 208070.0)	(30.0, 258315.0)	(31.0, 325909.0)	(32.0, 422174.0)	(33.0, 573046.0)	(34.0, 857892.0)	(35.0, 1682910.0)	(36.0, 10298625.0)	
GC_24hpi_3_R1	(20.0, 2.0)	(21.0, 180.0)	(22.0, 4653.0)	(23.0, 16740.0)	(24.0, 30381.0)	(25.0, 46390.0)	(26.0, 67755.0)	(27.0, 96724.0)	(28.0, 134467.0)	(29.0, 181373.0)	(30.0, 242650.0)	(31.0, 323539.0)	(32.0, 439956.0)	(33.0, 630776.0)	(34.0, 1027970.0)	(35.0, 2530754.0)	(36.0, 7477284.0)	
GC_24hpi_3_R2	(20.0, 2.0)	(21.0, 225.0)	(22.0, 5966.0)	(23.0, 25238.0)	(24.0, 53901.0)	(25.0, 78088.0)	(26.0, 100059.0)	(27.0, 124263.0)	(28.0, 153234.0)	(29.0, 187213.0)	(30.0, 231712.0)	(31.0, 289916.0)	(32.0, 372466.0)	(33.0, 504087.0)	(34.0, 752949.0)	(35.0, 1471311.0)	(36.0, 8900964.0)	
GC_48hpi_1_R1	(21.0, 229.0)	(22.0, 5723.0)	(23.0, 21186.0)	(24.0, 38261.0)	(25.0, 59026.0)	(26.0, 86160.0)	(27.0, 123263.0)	(28.0, 171468.0)	(29.0, 233113.0)	(30.0, 313237.0)	(31.0, 416050.0)	(32.0, 568051.0)	(33.0, 812442.0)	(34.0, 1324945.0)	(35.0, 3269110.0)	(36.0, 8804026.0)		
GC_48hpi_1_R2	(20.0, 3.0)	(21.0, 353.0)	(22.0, 8078.0)	(23.0, 35251.0)	(24.0, 74226.0)	(25.0, 106545.0)	(26.0, 135202.0)	(27.0, 166624.0)	(28.0, 202571.0)	(29.0, 246313.0)	(30.0, 303343.0)	(31.0, 375218.0)	(32.0, 482878.0)	(33.0, 650193.0)	(34.0, 972374.0)	(35.0, 1913114.0)	(36.0, 10574004.0)	
GC_48hpi_2_R1	(21.0, 222.0)	(22.0, 5764.0)	(23.0, 20908.0)	(24.0, 38106.0)	(25.0, 58103.0)	(26.0, 84856.0)	(27.0, 121191.0)	(28.0, 166782.0)	(29.0, 224622.0)	(30.0, 297954.0)	(31.0, 395404.0)	(32.0, 536051.0)	(33.0, 764529.0)	(34.0, 1253051.0)	(35.0, 3108892.0)	(36.0, 8726256.0)		
GC_48hpi_2_R2	(19.0, 1.0)	(20.0, 3.0)	(21.0, 282.0)	(22.0, 6924.0)	(23.0, 29193.0)	(24.0, 61324.0)	(25.0, 89563.0)	(26.0, 115775.0)	(27.0, 142318.0)	(28.0, 176662.0)	(29.0, 217461.0)	(30.0, 268863.0)	(31.0, 337845.0)	(32.0, 435918.0)	(33.0, 591457.0)	(34.0, 891866.0)	(35.0, 1777988.0)	(36.0, 10659248.0)
GC_48hpi_3_R1	(20.0, 1.0)	(21.0, 226.0)	(22.0, 5086.0)	(23.0, 19161.0)	(24.0, 35850.0)	(25.0, 56405.0)	(26.0, 81969.0)	(27.0, 117645.0)	(28.0, 162595.0)	(29.0, 220285.0)	(30.0, 291379.0)	(31.0, 387070.0)	(32.0, 524121.0)	(33.0, 755500.0)	(34.0, 1264968.0)	(35.0, 3431782.0)	(36.0, 6324047.0)	
GC_48hpi_3_R2	(20.0, 3.0)	(21.0, 220.0)	(22.0, 5453.0)	(23.0, 24419.0)	(24.0, 53315.0)	(25.0, 78673.0)	(26.0, 100961.0)	(27.0, 126989.0)	(28.0, 157883.0)	(29.0, 194300.0)	(30.0, 241949.0)	(31.0, 303171.0)	(32.0, 390425.0)	(33.0, 527010.0)	(34.0, 784909.0)	(35.0, 1514007.0)	(36.0, 9174403.0)	
GC_6hpi_1_R1	(21.0, 155.0)	(22.0, 4597.0)	(23.0, 16109.0)	(24.0, 29302.0)	(25.0, 45372.0)	(26.0, 66378.0)	(27.0, 95596.0)	(28.0, 132887.0)	(29.0, 180769.0)	(30.0, 240527.0)	(31.0, 320494.0)	(32.0, 433023.0)	(33.0, 618120.0)	(34.0, 1001029.0)	(35.0, 2506374.0)	(36.0, 7967355.0)		
GC_6hpi_1_R2	(20.0, 1.0)	(21.0, 207.0)	(22.0, 5570.0)	(23.0, 23425.0)	(24.0, 49420.0)	(25.0, 72088.0)	(26.0, 92810.0)	(27.0, 117478.0)	(28.0, 146291.0)	(29.0, 182391.0)	(30.0, 225754.0)	(31.0, 286702.0)	(32.0, 371607.0)	(33.0, 505727.0)	(34.0, 760092.0)	(35.0, 1498892.0)	(36.0, 9319632.0)	
GC_6hpi_2_R1	(20.0, 2.0)	(21.0, 140.0)	(22.0, 4391.0)	(23.0, 15939.0)	(24.0, 28644.0)	(25.0, 45333.0)	(26.0, 65358.0)	(27.0, 93285.0)	(28.0, 129973.0)	(29.0, 176010.0)	(30.0, 234477.0)	(31.0, 311399.0)	(32.0, 421986.0)	(33.0, 602677.0)	(34.0, 981388.0)	(35.0, 2478160.0)	(36.0, 7913645.0)	
GC_6hpi_2_R2	(20.0, 1.0)	(21.0, 181.0)	(22.0, 4888.0)	(23.0, 21052.0)	(24.0, 44114.0)	(25.0, 64969.0)	(26.0, 84446.0)	(27.0, 106132.0)	(28.0, 133585.0)	(29.0, 166094.0)	(30.0, 208800.0)	(31.0, 264511.0)	(32.0, 343910.0)	(33.0, 469464.0)	(34.0, 709095.0)	(35.0, 1395043.0)	(36.0, 9486522.0)	
GC_6hpi_3_R1	(20.0, 1.0)	(21.0, 153.0)	(22.0, 4803.0)	(23.0, 17787.0)	(24.0, 32426.0)	(25.0, 50184.0)	(26.0, 72998.0)	(27.0, 105323.0)	(28.0, 146484.0)	(29.0, 199540.0)	(30.0, 267919.0)	(31.0, 356244.0)	(32.0, 484433.0)	(33.0, 691869.0)	(34.0, 1122140.0)	(35.0, 2826088.0)	(36.0, 8965816.0)	
GC_6hpi_3_R2	(20.0, 3.0)	(21.0, 204.0)	(22.0, 5921.0)	(23.0, 25542.0)	(24.0, 55133.0)	(25.0, 81784.0)	(26.0, 104597.0)	(27.0, 132138.0)	(28.0, 163153.0)	(29.0, 202291.0)	(30.0, 250126.0)	(31.0, 317082.0)	(32.0, 409162.0)	(33.0, 556181.0)	(34.0, 836223.0)	(35.0, 1645725.0)	(36.0, 10558943.0)	
GI_24hpi_1_R1	(20.0, 1.0)	(21.0, 188.0)	(22.0, 5624.0)	(23.0, 20249.0)	(24.0, 36514.0)	(25.0, 56356.0)	(26.0, 81270.0)	(27.0, 116135.0)	(28.0, 159618.0)	(29.0, 214646.0)	(30.0, 284465.0)	(31.0, 376682.0)	(32.0, 509840.0)	(33.0, 728636.0)	(34.0, 1185393.0)	(35.0, 2918648.0)	(36.0, 8407353.0)	
GI_24hpi_1_R2	(20.0, 3.0)	(21.0, 276.0)	(22.0, 6142.0)	(23.0, 26116.0)	(24.0, 55069.0)	(25.0, 81230.0)	(26.0, 104652.0)	(27.0, 130708.0)	(28.0, 162619.0)	(29.0, 202289.0)	(30.0, 252286.0)	(31.0, 318700.0)	(32.0, 413989.0)	(33.0, 561948.0)	(34.0, 843658.0)	(35.0, 1651735.0)	(36.0, 10290198.0)	
GI_24hpi_2_R1	(21.0, 182.0)	(22.0, 4840.0)	(23.0, 18001.0)	(24.0, 32362.0)	(25.0, 49395.0)	(26.0, 71288.0)	(27.0, 100926.0)	(28.0, 138243.0)	(29.0, 184606.0)	(30.0, 244713.0)	(31.0, 324672.0)	(32.0, 440867.0)	(33.0, 628321.0)	(34.0, 1026017.0)	(35.0, 2534236.0)	(36.0, 7038087.0)		
GI_24hpi_2_R2	(20.0, 2.0)	(21.0, 193.0)	(22.0, 5169.0)	(23.0, 22458.0)	(24.0, 45972.0)	(25.0, 67865.0)	(26.0, 87802.0)	(27.0, 108221.0)	(28.0, 135929.0)	(29.0, 167701.0)	(30.0, 209986.0)	(31.0, 263855.0)	(32.0, 343352.0)	(33.0, 468125.0)	(34.0, 705755.0)	(35.0, 1385539.0)	(36.0, 8818832.0)	
GI_24hpi_3_R1	(21.0, 148.0)	(22.0, 4572.0)	(23.0, 16352.0)	(24.0, 29384.0)	(25.0, 45382.0)	(26.0, 65946.0)	(27.0, 93852.0)	(28.0, 130276.0)	(29.0, 175287.0)	(30.0, 233311.0)	(31.0, 309111.0)	(32.0, 415977.0)	(33.0, 594047.0)	(34.0, 966660.0)	(35.0, 2357978.0)	(36.0, 6239071.0)		
GI_24hpi_3_R2	(20.0, 1.0)	(21.0, 242.0)	(22.0, 5527.0)	(23.0, 23514.0)	(24.0, 48316.0)	(25.0, 70227.0)	(26.0, 90330.0)	(27.0, 113066.0)	(28.0, 139774.0)	(29.0, 172124.0)	(30.0, 213875.0)	(31.0, 268732.0)	(32.0, 347592.0)	(33.0, 471673.0)	(34.0, 709331.0)	(35.0, 1398546.0)	(36.0, 7604484.0)	
GI_48hpi_1_R1	(21.0, 185.0)	(22.0, 4971.0)	(23.0, 18862.0)	(24.0, 34860.0)	(25.0, 54490.0)	(26.0, 80745.0)	(27.0, 115994.0)	(28.0, 162331.0)	(29.0, 220965.0)	(30.0, 295801.0)	(31.0, 395947.0)	(32.0, 539986.0)	(33.0, 779886.0)	(34.0, 1298395.0)	(35.0, 3510846.0)	(36.0, 7012246.0)		
GI_48hpi_1_R2	(20.0, 2.0)	(21.0, 256.0)	(22.0, 6450.0)	(23.0, 28678.0)	(24.0, 63047.0)	(25.0, 92710.0)	(26.0, 117929.0)	(27.0, 146285.0)	(28.0, 179465.0)	(29.0, 218834.0)	(30.0, 269029.0)	(31.0, 334698.0)	(32.0, 427624.0)	(33.0, 572602.0)	(34.0, 841762.0)	(35.0, 1610230.0)	(36.0, 9616909.0)	
GI_48hpi_2_R1	(20.0, 1.0)	(21.0, 182.0)	(22.0, 4996.0)	(23.0, 19140.0)	(24.0, 35680.0)	(25.0, 54666.0)	(26.0, 80250.0)	(27.0, 114725.0)	(28.0, 158035.0)	(29.0, 213563.0)	(30.0, 284500.0)	(31.0, 379937.0)	(32.0, 516358.0)	(33.0, 744411.0)	(34.0, 1252719.0)	(35.0, 3426618.0)	(36.0, 6386124.0)	
GI_48hpi_2_R2	(20.0, 2.0)	(21.0, 212.0)	(22.0, 5610.0)	(23.0, 23959.0)	(24.0, 52027.0)	(25.0, 76788.0)	(26.0, 98589.0)	(27.0, 123662.0)	(28.0, 152755.0)	(29.0, 189352.0)	(30.0, 235137.0)	(31.0, 294888.0)	(32.0, 380291.0)	(33.0, 511797.0)	(34.0, 761703.0)	(35.0, 1475888.0)	(36.0, 9289245.0)	
GI_48hpi_3_R1	(21.0, 207.0)	(22.0, 5196.0)	(23.0, 19452.0)	(24.0, 35880.0)	(25.0, 56224.0)	(26.0, 83333.0)	(27.0, 118353.0)	(28.0, 164287.0)	(29.0, 221439.0)	(30.0, 295195.0)	(31.0, 392173.0)	(32.0, 535781.0)	(33.0, 774509.0)	(34.0, 1302753.0)	(35.0, 3572379.0)	(36.0, 6831386.0)		
GI_48hpi_3_R2	(20.0, 1.0)	(21.0, 197.0)	(22.0, 5394.0)	(23.0, 25194.0)	(24.0, 55209.0)	(25.0, 81395.0)	(26.0, 104659.0)	(27.0, 131048.0)	(28.0, 161431.0)	(29.0, 198967.0)	(30.0, 245726.0)	(31.0, 308791.0)	(32.0, 394917.0)	(33.0, 533017.0)	(34.0, 791116.0)	(35.0, 1520766.0)	(36.0, 9850719.0)	
GI_6hpi_1_R1	(21.0, 171.0)	(22.0, 5128.0)	(23.0, 18234.0)	(24.0, 33111.0)	(25.0, 51745.0)	(26.0, 76443.0)	(27.0, 109608.0)	(28.0, 152918.0)	(29.0, 209405.0)	(30.0, 280651.0)	(31.0, 373676.0)	(32.0, 509481.0)	(33.0, 726147.0)	(34.0, 1175353.0)	(35.0, 2930190.0)	(36.0, 9426166.0)		
GI_6hpi_1_R2	(20.0, 2.0)	(21.0, 274.0)	(22.0, 6499.0)	(23.0, 28518.0)	(24.0, 60282.0)	(25.0, 88862.0)	(26.0, 113737.0)	(27.0, 142716.0)	(28.0, 176753.0)	(29.0, 218414.0)	(30.0, 270870.0)	(31.0, 341666.0)	(32.0, 441443.0)	(33.0, 598428.0)	(34.0, 896342.0)	(35.0, 1758168.0)	(36.0, 10935453.0)	
GI_6hpi_2_R1	(20.0, 2.0)	(21.0, 145.0)	(22.0, 4901.0)	(23.0, 17692.0)	(24.0, 32458.0)	(25.0, 49476.0)	(26.0, 72678.0)	(27.0, 103679.0)	(28.0, 143391.0)	(29.0, 193690.0)	(30.0, 258998.0)	(31.0, 343795.0)	(32.0, 464898.0)	(33.0, 664494.0)	(34.0, 1074940.0)	(35.0, 2699364.0)	(36.0, 8441200.0)	
