Sample	salmon_version	samp_type	opt_type	quant_errors	num_libraries	library_types	frag_dist_length	frag_length_mean	frag_length_sd	frag_length_source	seq_bias_correct	gc_bias_correct	pos_bias_correct	num_bias_bins	mapping_type	keep_duplicates	index_seq_hash	index_name_hash	index_seq_hash512	index_name_hash512	index_decoy_seq_hash	index_decoy_name_hash	num_valid_targets	num_decoy_targets	num_eq_classes	serialized_eq_classes	eq_class_properties	length_classes	num_processed	num_mapped	num_dovetail_fragments	num_fragments_filtered_vm	num_alignments_below_threshold_for_mapped_fragments_vm	percent_mapped	num_decoy_fragments	inference_truncated_mass	num_bootstraps	num_orphan	range_factorization_bins	meta_info_complete	num_em_iterations	em_converged	detected_library_type	total_time_seconds	peak_rss_kb	diagnostics	call	start_time	end_time
GC_24hpi_1	2.5.1	none	vb	[]	1	['IU']	1001	234.78680783247827	63.31565751612821	rad_baked	True	True	False	0	mapping	False	d9b37b2be3805d428c012d6c8292420f637a14558b2d1a7a69e23e63a59a792d	daef0f53b5572211df58ac2d3e309c6fd2947ad6a2d6ba07689c6879c38578a8	11d5016f56f9350dfde25f01116ed6871cba697f29e444fb9280b858fb19d5d5ad23759b3bdf2d96c48e9fa11be5ae884bf29cc969a397178e8c071367671e1b	84b563b021e4e53b71b0cb7374a0e836348ce580497e25226378eee3b76f48e84398914bd014bf9368094d4e9d02ed7fbd132272cae5bf796e27695a93179aa1	15f0c392eb01b3ccec413eb855548d5aae8523658e473d24ad6d40071692162a	3646b314b8380d6b00a24c7ebcc307b59f95e423d5574cc6cddeecb8c9c0bacf	59539	0	121050	False	['range_factorized', 'gzipped']	[1044, 1976, 2872, 4168, 34608567]	14466269	11735061	93063	207985	7692664	81.12016304964328	0	0.0	30	1499498	4	True	1570	True	IU	56.209365326	2592412	[]	quant	Sun Aug 23 07:45:59 2026	Sun Aug 23 07:46:55 2026
GC_24hpi_2	2.5.1	none	vb	[]	1	['IU']	1001	228.52622328159435	63.07143379646204	rad_baked	True	True	False	0	mapping	False	d9b37b2be3805d428c012d6c8292420f637a14558b2d1a7a69e23e63a59a792d	daef0f53b5572211df58ac2d3e309c6fd2947ad6a2d6ba07689c6879c38578a8	11d5016f56f9350dfde25f01116ed6871cba697f29e444fb9280b858fb19d5d5ad23759b3bdf2d96c48e9fa11be5ae884bf29cc969a397178e8c071367671e1b	84b563b021e4e53b71b0cb7374a0e836348ce580497e25226378eee3b76f48e84398914bd014bf9368094d4e9d02ed7fbd132272cae5bf796e27695a93179aa1	15f0c392eb01b3ccec413eb855548d5aae8523658e473d24ad6d40071692162a	3646b314b8380d6b00a24c7ebcc307b59f95e423d5574cc6cddeecb8c9c0bacf	59539	0	120932	False	['range_factorized', 'gzipped']	[1044, 1976, 2872, 4168, 34608567]	15217861	12099833	116332	237669	7941921	79.51073413011198	0	0.0	30	1579679	4	True	1726	True	IU	60.008719109	1913312	[]	quant	Sun Aug 23 09:31:26 2026	Sun Aug 23 09:32:26 2026
GC_24hpi_3	2.5.1	none	vb	[]	1	['IU']	1001	236.01184564099205	63.69112504046787	rad_baked	True	True	False	0	mapping	False	d9b37b2be3805d428c012d6c8292420f637a14558b2d1a7a69e23e63a59a792d	daef0f53b5572211df58ac2d3e309c6fd2947ad6a2d6ba07689c6879c38578a8	11d5016f56f9350dfde25f01116ed6871cba697f29e444fb9280b858fb19d5d5ad23759b3bdf2d96c48e9fa11be5ae884bf29cc969a397178e8c071367671e1b	84b563b021e4e53b71b0cb7374a0e836348ce580497e25226378eee3b76f48e84398914bd014bf9368094d4e9d02ed7fbd132272cae5bf796e27695a93179aa1	15f0c392eb01b3ccec413eb855548d5aae8523658e473d24ad6d40071692162a	3646b314b8380d6b00a24c7ebcc307b59f95e423d5574cc6cddeecb8c9c0bacf	59539	0	112071	False	['range_factorized', 'gzipped']	[1044, 1976, 2872, 4168, 34608567]	13251594	10573970	84842	184716	6852732	79.79394780733548	0	0.0	30	1332158	4	True	1378	True	IU	73.235906699	2432124	[]	quant	Sun Aug 23 09:50:20 2026	Sun Aug 23 09:51:33 2026
GC_48hpi_1	2.5.1	none	vb	[]	1	['IU']	1001	229.77816472233815	60.88870667489469	rad_baked	True	True	False	0	mapping	False	d9b37b2be3805d428c012d6c8292420f637a14558b2d1a7a69e23e63a59a792d	daef0f53b5572211df58ac2d3e309c6fd2947ad6a2d6ba07689c6879c38578a8	11d5016f56f9350dfde25f01116ed6871cba697f29e444fb9280b858fb19d5d5ad23759b3bdf2d96c48e9fa11be5ae884bf29cc969a397178e8c071367671e1b	84b563b021e4e53b71b0cb7374a0e836348ce580497e25226378eee3b76f48e84398914bd014bf9368094d4e9d02ed7fbd132272cae5bf796e27695a93179aa1	15f0c392eb01b3ccec413eb855548d5aae8523658e473d24ad6d40071692162a	3646b314b8380d6b00a24c7ebcc307b59f95e423d5574cc6cddeecb8c9c0bacf	59539	0	121750	False	['range_factorized', 'gzipped']	[1044, 1976, 2872, 4168, 34608567]	16246290	12014337	94028	212250	7259134	73.95126518115828	0	0.0	30	1332652	4	True	1120	True	IU	75.658812666	2601048	[]	quant	Sun Aug 23 09:57:48 2026	Sun Aug 23 09:59:04 2026
GC_48hpi_2	2.5.1	none	vb	[]	1	['IU']	1001	237.1270002304567	60.269746643154875	rad_baked	True	True	False	0	mapping	False	d9b37b2be3805d428c012d6c8292420f637a14558b2d1a7a69e23e63a59a792d	daef0f53b5572211df58ac2d3e309c6fd2947ad6a2d6ba07689c6879c38578a8	11d5016f56f9350dfde25f01116ed6871cba697f29e444fb9280b858fb19d5d5ad23759b3bdf2d96c48e9fa11be5ae884bf29cc969a397178e8c071367671e1b	84b563b021e4e53b71b0cb7374a0e836348ce580497e25226378eee3b76f48e84398914bd014bf9368094d4e9d02ed7fbd132272cae5bf796e27695a93179aa1	15f0c392eb01b3ccec413eb855548d5aae8523658e473d24ad6d40071692162a	3646b314b8380d6b00a24c7ebcc307b59f95e423d5574cc6cddeecb8c9c0bacf	59539	0	117650	False	['range_factorized', 'gzipped']	[1044, 1976, 2872, 4168, 34608567]	15802691	11502912	80618	200149	7399924	72.79084302793746	0	0.0	30	1400832	4	True	1745	True	IU	51.480677659	2550780	[]	quant	Sun Aug 23 04:18:06 2026	Sun Aug 23 04:18:58 2026
GC_48hpi_3	2.5.1	none	vb	[]	1	['IU']	1001	223.44288196681484	60.58813492415128	rad_baked	True	True	False	0	mapping	False	d9b37b2be3805d428c012d6c8292420f637a14558b2d1a7a69e23e63a59a792d	daef0f53b5572211df58ac2d3e309c6fd2947ad6a2d6ba07689c6879c38578a8	11d5016f56f9350dfde25f01116ed6871cba697f29e444fb9280b858fb19d5d5ad23759b3bdf2d96c48e9fa11be5ae884bf29cc969a397178e8c071367671e1b	84b563b021e4e53b71b0cb7374a0e836348ce580497e25226378eee3b76f48e84398914bd014bf9368094d4e9d02ed7fbd132272cae5bf796e27695a93179aa1	15f0c392eb01b3ccec413eb855548d5aae8523658e473d24ad6d40071692162a	3646b314b8380d6b00a24c7ebcc307b59f95e423d5574cc6cddeecb8c9c0bacf	59539	0	114257	False	['range_factorized', 'gzipped']	[1044, 1976, 2872, 4168, 34608567]	13678090	10173240	147286	184103	5793843	74.37617386638047	0	0.0	30	1142471	4	True	1506	True	IU	72.569625623	2517816	[]	quant	Sun Aug 23 09:30:25 2026	Sun Aug 23 09:31:38 2026
GC_6hpi_1	2.5.1	none	vb	[]	1	['IU']	1001	239.96728240254268	67.00229365187054	rad_baked	True	True	False	0	mapping	False	d9b37b2be3805d428c012d6c8292420f637a14558b2d1a7a69e23e63a59a792d	daef0f53b5572211df58ac2d3e309c6fd2947ad6a2d6ba07689c6879c38578a8	11d5016f56f9350dfde25f01116ed6871cba697f29e444fb9280b858fb19d5d5ad23759b3bdf2d96c48e9fa11be5ae884bf29cc969a397178e8c071367671e1b	84b563b021e4e53b71b0cb7374a0e836348ce580497e25226378eee3b76f48e84398914bd014bf9368094d4e9d02ed7fbd132272cae5bf796e27695a93179aa1	15f0c392eb01b3ccec413eb855548d5aae8523658e473d24ad6d40071692162a	3646b314b8380d6b00a24c7ebcc307b59f95e423d5574cc6cddeecb8c9c0bacf	59539	0	128400	False	['range_factorized', 'gzipped']	[1044, 1976, 2872, 4168, 34608567]	13658087	11090649	82915	180731	7100568	81.20206731733369	0	0.0	30	1354152	4	True	1519	True	IU	55.610833791	2433716	[]	quant	Sun Aug 23 03:46:37 2026	Sun Aug 23 03:47:33 2026
GC_6hpi_2	2.5.1	none	vb	[]	1	['IU']	1001	238.4173911974938	64.32460344032366	rad_baked	True	True	False	0	mapping	False	d9b37b2be3805d428c012d6c8292420f637a14558b2d1a7a69e23e63a59a792d	daef0f53b5572211df58ac2d3e309c6fd2947ad6a2d6ba07689c6879c38578a8	11d5016f56f9350dfde25f01116ed6871cba697f29e444fb9280b858fb19d5d5ad23759b3bdf2d96c48e9fa11be5ae884bf29cc969a397178e8c071367671e1b	84b563b021e4e53b71b0cb7374a0e836348ce580497e25226378eee3b76f48e84398914bd014bf9368094d4e9d02ed7fbd132272cae5bf796e27695a93179aa1	15f0c392eb01b3ccec413eb855548d5aae8523658e473d24ad6d40071692162a	3646b314b8380d6b00a24c7ebcc307b59f95e423d5574cc6cddeecb8c9c0bacf	59539	0	118772	False	['range_factorized', 'gzipped']	[1044, 1976, 2872, 4168, 34608567]	13502807	10902618	75305	174823	6975714	80.74334469862451	0	0.0	30	1311310	4	True	1275	True	IU	54.823995685	2637436	[]	quant	Sun Aug 23 06:58:30 2026	Sun Aug 23 06:59:25 2026
GC_6hpi_3	2.5.1	none	vb	[]	1	['IU']	1001	237.40593915365767	66.60158136667087	rad_baked	True	True	False	0	mapping	False	d9b37b2be3805d428c012d6c8292420f637a14558b2d1a7a69e23e63a59a792d	daef0f53b5572211df58ac2d3e309c6fd2947ad6a2d6ba07689c6879c38578a8	11d5016f56f9350dfde25f01116ed6871cba697f29e444fb9280b858fb19d5d5ad23759b3bdf2d96c48e9fa11be5ae884bf29cc969a397178e8c071367671e1b	84b563b021e4e53b71b0cb7374a0e836348ce580497e25226378eee3b76f48e84398914bd014bf9368094d4e9d02ed7fbd132272cae5bf796e27695a93179aa1	15f0c392eb01b3ccec413eb855548d5aae8523658e473d24ad6d40071692162a	3646b314b8380d6b00a24c7ebcc307b59f95e423d5574cc6cddeecb8c9c0bacf	59539	0	122191	False	['range_factorized', 'gzipped']	[1044, 1976, 2872, 4168, 34608567]	15344208	12412908	97548	208998	7977906	80.89637471024898	0	0.0	30	1470882	4	True	1560	True	IU	55.687010644	2572032	[]	quant	Sun Aug 23 06:04:38 2026	Sun Aug 23 06:05:34 2026
GI_24hpi_1	2.5.1	none	vb	[]	1	['IU']	1001	224.99792243569786	58.97060795231573	rad_baked	True	True	False	0	mapping	False	d9b37b2be3805d428c012d6c8292420f637a14558b2d1a7a69e23e63a59a792d	daef0f53b5572211df58ac2d3e309c6fd2947ad6a2d6ba07689c6879c38578a8	11d5016f56f9350dfde25f01116ed6871cba697f29e444fb9280b858fb19d5d5ad23759b3bdf2d96c48e9fa11be5ae884bf29cc969a397178e8c071367671e1b	84b563b021e4e53b71b0cb7374a0e836348ce580497e25226378eee3b76f48e84398914bd014bf9368094d4e9d02ed7fbd132272cae5bf796e27695a93179aa1	15f0c392eb01b3ccec413eb855548d5aae8523658e473d24ad6d40071692162a	3646b314b8380d6b00a24c7ebcc307b59f95e423d5574cc6cddeecb8c9c0bacf	59539	0	111563	False	['range_factorized', 'gzipped']	[1044, 1976, 2872, 4168, 34608567]	15101618	11849004	112941	232442	7779135	78.46181779992051	0	0.0	30	1527161	4	True	1696	True	IU	75.351104396	1908724	[]	quant	Sun Aug 23 09:41:50 2026	Sun Aug 23 09:43:06 2026
