Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61
GC_24hpi_1_R2 - polya	(1, 0.0025507613607904014)	(2, 0.004990920602955745)	(3, 0.006525524998878426)	(4, 0.007693759876855601)	(5, 0.008661528414824858)	(6, 0.009622384320380052)	(7, 0.010797531830771293)	(8, 0.013002661570858387)	(9, 0.015380607121297137)	(10, 0.017862242157946878)	(12, 0.019977507676651112)	(14, 0.022604307993996244)	(16, 0.02474722404235674)	(18, 0.02683138271519768)	(20, 0.028811851901827626)	(22, 0.030999700060879556)	(24, 0.03287647976129851)	(26, 0.034718696299647134)	(28, 0.03703442815835928)	(30, 0.03919808210396199)	(32, 0.04116126970955676)	(34, 0.042913622026522526)	(36, 0.04484570278625401)	(38, 0.046442520873903284)	(40, 0.048215611088111246)	(42, 0.05043802240923351)	(44, 0.052262957366546965)	(46, 0.054792980830095164)	(48, 0.05728844113157304)	(50, 0.05918941504544123)	(52, 0.06120099107793447)	(54, 0.06322984869146288)	(56, 0.06533820157775305)	(58, 0.06776107923888322)	(60, 0.07043281166691978)	(62, 0.07315638883806183)	(64, 0.07607697603300478)	(66, 0.07910470903036575)	(68, 0.08228106362462913)	(70, 0.08571318561821296)	(72, 0.08899668601489438)	(74, 0.09242189537606413)	(76, 0.09599918265034335)	(78, 0.09949351833565379)	(80, 0.10322979615545652)	(82, 0.10692459818077488)	(84, 0.10997998170779211)	(86, 0.11330495789895792)	(88, 0.11657117671460417)	(90, 0.1199825608109458)	(92, 0.12336283806142413)	(94, 0.12675348426052357)	(96, 0.13050358734515444)	(98, 0.13429862254047675)	(100, 0.13776876401233795)	(102, 0.14102807019557012)	(104, 0.14443945429191174)	(106, 0.1474118862299602)	(108, 0.15044653185973522)	(110, 0.1534120511653696)	(112, 0.15649162890583607)	(114, 0.1588384676104115)
GC_24hpi_2_R1 - polya	(1, 0.0013865286323748128)	(2, 0.002510208234915538)	(3, 0.0033578963561304706)	(4, 0.004133300994141029)	(5, 0.004796994794472101)	(6, 0.0055855418839743645)	(7, 0.0065843681973438975)	(8, 0.008352027922978138)	(9, 0.010408821581429873)	(10, 0.01246561523988161)	(12, 0.013953997871317132)	(14, 0.015872795789105974)	(16, 0.017607599386010954)	(18, 0.01899084240551284)	(20, 0.020262374587335236)	(22, 0.021721186702914425)	(24, 0.02302886062633901)	(26, 0.024113112874404624)	(28, 0.025460214152304324)	(30, 0.02665617723804942)	(32, 0.02802299219318668)	(34, 0.02897253431346232)	(36, 0.030194782302190828)	(38, 0.03115746687395817)	(40, 0.0320675816397587)	(42, 0.03324383104826624)	(44, 0.034301798393348445)	(46, 0.03558975863953548)	(48, 0.03679557856389935)	(50, 0.03773526384555621)	(52, 0.0387275189331799)	(54, 0.03983148485848306)	(56, 0.04095516446102379)	(58, 0.042131413869531335)	(60, 0.043304377665165955)	(62, 0.04455948178262372)	(64, 0.04536117132361769)	(66, 0.046199002606213846)	(68, 0.047161687177981186)	(70, 0.04809151562101927)	(72, 0.04904762896704077)	(74, 0.05133441552659733)	(76, 0.05453131685195442)	(78, 0.057041525086869965)	(80, 0.05962730241786279)	(82, 0.06209808329830322)	(84, 0.06457872101736242)	(86, 0.06709221486515089)	(88, 0.06962213677730399)	(90, 0.0723064824944846)	(92, 0.07498097137304645)	(94, 0.07749446522083492)	(96, 0.08035623403315353)	(98, 0.08301429484735076)	(100, 0.08555735921099555)	(102, 0.08796571344685038)	(104, 0.0906007749709371)	(106, 0.09491149906021615)	(108, 0.09693872220281155)	(110, 0.09924522243960568)	(112, 0.1016535766754605)	(114, 0.10359537388335982)
GC_24hpi_2_R2 - polya	(1, 0.003469607193809958)	(2, 0.00635437529623907)	(3, 0.008089178893144049)	(4, 0.00965313062065687)	(5, 0.010835951254910266)	(6, 0.01192677472872173)	(7, 0.013162165168941942)	(8, 0.015593518694907254)	(9, 0.018090584478331086)	(10, 0.02096878135501435)	(12, 0.02347570397705696)	(14, 0.02609433743677906)	(16, 0.028489549221142184)	(18, 0.030658053717273405)	(20, 0.03270827614997929)	(22, 0.03494249290356904)	(24, 0.03699928656202077)	(26, 0.039085650736328845)	(28, 0.0414085790374876)	(30, 0.043639510178204416)	(32, 0.045870441318921235)	(34, 0.04795351988035638)	(36, 0.05019430785969198)	(38, 0.05215581874482886)	(40, 0.054238897306264)	(42, 0.05662096663913542)	(44, 0.05871718765206227)	(46, 0.061329249886038516)	(48, 0.06400702437747328)	(50, 0.06608024610028965)	(52, 0.06836703265984621)	(54, 0.07030882986774553)	(56, 0.07264818623326892)	(58, 0.07510911027509057)	(60, 0.07765874586448121)	(62, 0.08075050757790467)	(64, 0.0837765570338696)	(66, 0.08695703029486207)	(68, 0.09090633696811923)	(70, 0.09436937293618335)	(72, 0.09799668954789376)	(74, 0.10161086370811245)	(76, 0.10514289754650802)	(78, 0.10916448770296956)	(80, 0.1130842238603704)	(82, 0.11683967937412493)	(84, 0.12063456224235455)	(86, 0.1244688724650593)	(88, 0.12820132868870338)	(90, 0.13223277568378367)	(92, 0.1361886535827867)	(94, 0.14026281354521505)	(96, 0.14417597847687003)	(98, 0.1479380052163704)	(100, 0.1516211772469206)	(102, 0.15540291766365852)	(104, 0.1590663760169711)	(106, 0.16232241837404088)	(108, 0.1658380241480718)	(110, 0.16916306437547302)	(112, 0.17225154047602353)	(114, 0.17476831993668493)
GC_24hpi_3_R1 - polya	(1, 0.0012677720129367078)	(2, 0.0023242486903839645)	(3, 0.0031694300323417694)	(4, 0.004029703898263107)	(5, 0.004791876358421485)	(6, 0.005546502556598097)	(7, 0.006504877828282394)	(8, 0.00833861948985156)	(9, 0.010776062109962016)	(10, 0.012998436263592138)	(12, 0.014783127222279827)	(14, 0.01669987776564842)	(16, 0.018246861471910472)	(18, 0.019654239331509855)	(20, 0.0209144650824648)	(22, 0.022272792239182698)	(24, 0.02348774041824704)	(26, 0.024570629012630484)	(28, 0.025808215977640124)	(30, 0.027057122335622415)	(32, 0.028283389907659412)	(34, 0.029351185978079314)	(36, 0.030490671537326)	(38, 0.03147545872594648)	(40, 0.03254325479636638)	(42, 0.033773295499394264)	(44, 0.03489768853467741)	(46, 0.03626733508436796)	(48, 0.037693578598921765)	(50, 0.038810425372223144)	(52, 0.03989708709759747)	(54, 0.04088564741720883)	(56, 0.04184024955790224)	(58, 0.042892953104358617)	(60, 0.044036211794596186)	(62, 0.04527002562861494)	(64, 0.04614916514949069)	(66, 0.046967934574512316)	(68, 0.04792630984619661)	(70, 0.04883186128400855)	(72, 0.049850606651546975)	(74, 0.05216353594895829)	(76, 0.055808380486151325)	(78, 0.058540127323550656)	(80, 0.06103416690852437)	(82, 0.06355839154142513)	(84, 0.06590150588676351)	(86, 0.0683087634589469)	(88, 0.07083298809184767)	(90, 0.0733006157598852)	(92, 0.07598331189440305)	(94, 0.07828492179884171)	(96, 0.08103930742218635)	(98, 0.08355975892409623)	(100, 0.08602738659213374)	(102, 0.08858179627296157)	(104, 0.09108715525090794)	(106, 0.09512063228016192)	(108, 0.09749015854243648)	(110, 0.09958424624237658)	(112, 0.10191226806375142)	(114, 0.10385165739306532)
GC_24hpi_3_R2 - polya	(1, 0.00344109546368535)	(2, 0.006067194633339959)	(3, 0.007938667604817956)	(4, 0.009319633547481157)	(5, 0.010413841534837242)	(6, 0.011387309330485072)	(7, 0.012624896295494716)	(8, 0.014903867413988083)	(9, 0.017462050225806797)	(10, 0.020133426967352003)	(12, 0.0224501293957542)	(14, 0.025061136041445276)	(16, 0.027215593837239503)	(18, 0.029222899524389293)	(20, 0.03131698722432939)	(22, 0.03330165412553388)	(24, 0.035441019397364576)	(26, 0.03747096387045966)	(28, 0.03967069923814448)	(30, 0.04170818997322134)	(32, 0.043624940516589925)	(34, 0.04576807891941151)	(36, 0.047982906811059864)	(38, 0.049895884223437575)	(40, 0.0517598109329338)	(42, 0.0539218149907098)	(44, 0.05591402815389605)	(46, 0.05855521984751419)	(48, 0.06110585639735114)	(50, 0.06319239783530947)	(52, 0.06551287339470255)	(54, 0.06756168352275205)	(56, 0.06974632636647335)	(58, 0.07235355988117353)	(60, 0.07502493662271875)	(62, 0.07828492179884171)	(64, 0.08122419084073962)	(66, 0.08416345988263751)	(68, 0.08763474039424993)	(70, 0.09122676109757061)	(72, 0.09459994020342005)	(74, 0.0980674475840416)	(76, 0.10209337835131381)	(78, 0.1063947476809205)	(80, 0.11021315624369415)	(82, 0.11405797672340398)	(84, 0.11784997336924147)	(86, 0.12179666838570515)	(88, 0.12551320241172495)	(90, 0.12919200512783593)	(92, 0.1328066646171019)	(94, 0.13678731781248354)	(96, 0.14073023969795634)	(98, 0.1447939017751374)	(100, 0.14835196429954012)	(102, 0.1520307670156511)	(104, 0.15552845944419968)	(106, 0.15877712522735)	(108, 0.16214653120220857)	(110, 0.16529709557959593)	(112, 0.16866272842346364)	(114, 0.17108885165060142)
GC_48hpi_1_R1 - polya	(1, 0.0010833242543374518)	(2, 0.0020496987312180197)	(3, 0.002732931641624026)	(4, 0.0034469408092555284)	(5, 0.004154794725441932)	(6, 0.004911890653189128)	(7, 0.0057859363583932085)	(8, 0.007534027768801369)	(9, 0.00928827443065463)	(10, 0.01110715123268143)	(12, 0.012689050854071914)	(14, 0.01447407377315067)	(16, 0.015972877500032318)	(18, 0.017305489437896282)	(20, 0.018459599083852377)	(22, 0.019936859430676173)	(24, 0.02122022935697935)	(26, 0.022340485119987395)	(28, 0.023820823092533742)	(30, 0.02502417475005063)	(32, 0.026202905401787116)	(34, 0.02725853102462162)	(36, 0.02827414751306298)	(38, 0.02919743522982786)	(40, 0.030200741215379016)	(42, 0.03133022985555471)	(44, 0.03214580067203035)	(46, 0.03318603816625211)	(48, 0.03434938068937585)	(50, 0.03524189214891523)	(52, 0.03619287849718304)	(54, 0.03706692420238713)	(56, 0.03790711602464317)	(58, 0.038815015612795295)	(60, 0.039833709726959196)	(62, 0.04085240384112311)	(64, 0.04160026689170266)	(66, 0.042351207568004756)	(68, 0.043209865144596085)	(70, 0.044040824089684474)	(72, 0.04502874194662289)	(74, 0.04705689729778306)	(76, 0.04984522620241298)	(78, 0.052218075634498706)	(80, 0.05452321730068834)	(82, 0.05688067860416132)	(84, 0.05896423121832738)	(86, 0.06095545506081697)	(88, 0.06308824968654382)	(90, 0.06522412193799323)	(92, 0.06750464259840247)	(94, 0.06963435959840678)	(96, 0.07199797615332484)	(98, 0.0744723872342547)	(100, 0.0767128987602708)	(102, 0.07887031439177805)	(104, 0.08142474374149421)	(106, 0.09250111871695015)	(108, 0.09470469873429564)	(110, 0.09680979472851955)	(112, 0.09903491812592291)	(114, 0.1008476396765046)
GC_48hpi_1_R2 - polya	(1, 0.0029052786820868027)	(2, 0.004813406630067542)	(3, 0.0061675619479893565)	(4, 0.007232420447991511)	(5, 0.008174173919091681)	(6, 0.009029753869960465)	(7, 0.010113078124297917)	(8, 0.011990429815053159)	(9, 0.014354046369971236)	(10, 0.01686231133384914)	(12, 0.01893047581940246)	(14, 0.021297170000043088)	(16, 0.023297626719700315)	(18, 0.02535348070236343)	(20, 0.027292384907569668)	(22, 0.02944980053907692)	(24, 0.03138254949283806)	(26, 0.033342997078102135)	(28, 0.035802020030419254)	(30, 0.037765545241405886)	(32, 0.039587499669155236)	(34, 0.041283271442280056)	(36, 0.043089837741416656)	(38, 0.044764066134483624)	(40, 0.0468229977428693)	(42, 0.04886346359691966)	(44, 0.05079313492495825)	(46, 0.05296901631080081)	(48, 0.05512335431658551)	(50, 0.05693915349288976)	(52, 0.058727254037691065)	(54, 0.06060152810272376)	(56, 0.06265122683394178)	(58, 0.0647378570738304)	(60, 0.06726766541776616)	(62, 0.0701021587082343)	(64, 0.07285047847847108)	(66, 0.07576499003772554)	(68, 0.0789534102862869)	(70, 0.08186176659409625)	(72, 0.08486860692502718)	(74, 0.08791545639035128)	(76, 0.09113157527041559)	(78, 0.0947447078686888)	(80, 0.09849325599875418)	(82, 0.1020386808311313)	(84, 0.10539021524298778)	(86, 0.10838474507102852)	(88, 0.11166241646554383)	(90, 0.11510935727479935)	(92, 0.11839010629503721)	(94, 0.12184935760718293)	(96, 0.12528398791354825)	(98, 0.12868476433696555)	(100, 0.1319162713456426)	(102, 0.13501544044825003)	(104, 0.137899175750279)	(106, 0.14075829004652757)	(108, 0.14358970571127316)	(110, 0.14648267389046976)	(112, 0.14943103933267227)	(114, 0.15169001661302364)
GC_48hpi_2_R2 - polya	(1, 0.0026071508960087875)	(2, 0.004758683188831573)	(3, 0.00596733809450555)	(4, 0.007232945325577777)	(5, 0.008334023616610614)	(6, 0.009245260822982618)	(7, 0.010251418571685038)	(8, 0.012301702286022046)	(9, 0.01473166816968072)	(10, 0.017117337800251868)	(12, 0.01928152616538538)	(14, 0.02148368274745105)	(16, 0.023641543076429197)	(18, 0.02548300159763929)	(20, 0.027473168968500366)	(22, 0.02951396062860433)	(24, 0.031649672831038714)	(26, 0.03353542760533633)	(28, 0.0358040285670333)	(30, 0.037708767449796995)	(32, 0.03944897739252131)	(34, 0.04127145180526532)	(36, 0.043046465946844116)	(38, 0.04476769178110235)	(40, 0.04678000727850719)	(42, 0.04901380404134967)	(44, 0.05074768594791862)	(46, 0.05307956727116919)	(48, 0.05515199911204997)	(50, 0.056987129597104696)	(52, 0.05888554044371304)	(54, 0.06071117887453473)	(56, 0.06269501820924044)	(58, 0.06478010612243193)	(60, 0.067225892096479)	(62, 0.06993429157097358)	(64, 0.0726331989912351)	(66, 0.07548081526114761)	(68, 0.07868280155576035)	(70, 0.08186263972382932)	(72, 0.08506146200036437)	(74, 0.0884279772350165)	(76, 0.09159199531269706)	(78, 0.09476234142653299)	(80, 0.09851803088473982)	(82, 0.10196364657133396)	(84, 0.10545355851101562)	(86, 0.10878843356489094)	(88, 0.1122656894322619)	(90, 0.11567650092000153)	(92, 0.11916324884160552)	(94, 0.1227322612332292)	(96, 0.12642150631180474)	(98, 0.13004747102882666)	(100, 0.13369241985431468)	(102, 0.13710006732397667)	(104, 0.1401058844977732)	(106, 0.14314017783426886)	(108, 0.14627888376732798)	(110, 0.1493353252303674)	(112, 0.15246770312727118)	(114, 0.1548407166855316)
GC_48hpi_3_R2 - polya	(1, 0.003845566157263185)	(2, 0.005914568481418093)	(3, 0.006974658011462126)	(4, 0.007976259843296835)	(5, 0.009072904184721698)	(6, 0.010023329280623244)	(7, 0.011054174961562616)	(8, 0.013218219795307679)	(9, 0.015667392157823205)	(10, 0.017992278161643914)	(12, 0.02008321337262732)	(14, 0.022331334272548287)	(16, 0.024261428313456047)	(18, 0.02590639482559334)	(20, 0.027807245017396433)	(22, 0.029839692530170513)	(24, 0.031557768665069465)	(26, 0.033400131158663235)	(28, 0.035611697247203374)	(30, 0.03738460559917357)	(32, 0.03904419403586319)	(34, 0.04053197485906292)	(36, 0.04212942011640514)	(38, 0.043657411232123786)	(40, 0.045324310631089576)	(42, 0.04709356350192169)	(44, 0.04868004231584965)	(46, 0.050460261630096016)	(48, 0.052317246048242116)	(50, 0.05361494185226154)	(52, 0.05525259740212267)	(54, 0.05696701805588353)	(56, 0.058633917454849326)	(58, 0.06052745668437626)	(60, 0.06276095565974489)	(62, 0.06511508551267026)	(64, 0.06779089770574692)	(66, 0.0703168351721622)	(68, 0.073131555648486)	(70, 0.07593896516253365)	(72, 0.07880851785592871)	(74, 0.08201803029516547)	(76, 0.0850228357906696)	(78, 0.08825428111673486)	(80, 0.09162463472604727)	(82, 0.0947573820613843)	(84, 0.09808021441590165)	(86, 0.10130434877969073)	(88, 0.104491928332099)	(90, 0.10784034905458292)	(92, 0.11122898006958573)	(94, 0.11459933367889816)	(96, 0.11795140988252015)	(98, 0.12110609010468568)	(100, 0.12427904773254161)	(102, 0.1275470478699877)	(104, 0.13065786231849624)	(106, 0.13377233224814283)	(108, 0.13660898561129514)	(110, 0.13944198349330938)	(112, 0.14222380463939044)	(114, 0.14442074880337824)
GC_6hpi_1_R2 - polya	(1, 0.0049494486306903744)	(2, 0.0078927597986453)	(3, 0.010081939000681427)	(4, 0.011568237923802946)	(5, 0.013032571838208381)	(6, 0.014182073961016648)	(7, 0.015360862762113025)	(8, 0.017513433616289015)	(9, 0.019768507844473388)	(10, 0.022049207916159854)	(12, 0.024344551326990378)	(14, 0.02686686649455374)	(16, 0.02880344809635493)	(18, 0.030941375611386865)	(20, 0.0329694780828384)	(22, 0.03511472726744236)	(24, 0.03721604643461416)	(26, 0.039240488071279674)	(28, 0.04133814640366546)	(30, 0.04343580473605125)	(32, 0.04543095969442865)	(34, 0.04710762202642288)	(36, 0.048989291106433866)	(38, 0.05052318088177356)	(40, 0.052210825718125825)	(42, 0.05423160652000533)	(44, 0.056146223113090435)	(46, 0.058793006663378264)	(48, 0.06084307414354587)	(50, 0.06269545654526874)	(52, 0.06463569898185595)	(54, 0.0664807597140068)	(56, 0.06849055801152826)	(58, 0.07083349227457696)	(60, 0.07324964323334593)	(62, 0.07609411186207848)	(64, 0.07895322382995511)	(66, 0.08203198588499253)	(68, 0.08510708710524395)	(70, 0.08809066745584503)	(72, 0.09103397862379994)	(74, 0.09419327904412968)	(76, 0.09779554047356705)	(78, 0.10140512357257644)	(80, 0.10516480089781241)	(82, 0.10887688737083019)	(84, 0.11249379213941162)	(86, 0.11599721102962662)	(88, 0.11947134324155352)	(90, 0.1231285171927811)	(92, 0.12661729274385203)	(94, 0.13031107504293976)	(96, 0.13418057741175612)	(98, 0.1379658805804942)	(100, 0.1416413587056518)	(102, 0.1450495958914305)	(104, 0.14864819648608185)	(106, 0.1518148185759836)	(108, 0.1551242132225399)	(110, 0.1585214679039605)	(112, 0.16190774008102304)	(114, 0.16451791528345075)
