Sample	Unique Reads	Duplicate Reads
GC_24hpi_1_R1	6979004.0	7487265.0
GC_24hpi_1_R2	6998470.0	7467799.0
GC_24hpi_2_R1	7266451.0	7951410.0
GC_24hpi_2_R2	7244333.0	7973528.0
GC_24hpi_3_R1	6484208.0	6767386.0
GC_24hpi_3_R2	6487027.0	6764567.0
GC_48hpi_1_R1	7367316.0	8878974.0
GC_48hpi_1_R2	7428800.0	8817490.0
GC_48hpi_2_R1	7152831.0	8649860.0
GC_48hpi_2_R2	7169397.0	8633294.0
GC_48hpi_3_R1	6452960.0	7225130.0
GC_48hpi_3_R2	6484676.0	7193414.0
GC_6hpi_1_R1	6747040.0	6911047.0
GC_6hpi_1_R2	6733321.0	6924766.0
GC_6hpi_2_R1	6859324.0	6643483.0
GC_6hpi_2_R2	6807924.0	6694883.0
GC_6hpi_3_R1	7457723.0	7886485.0
GC_6hpi_3_R2	7408362.0	7935846.0
GI_24hpi_1_R1	7310050.0	7791568.0
GI_24hpi_1_R2	7311126.0	7790492.0
GI_24hpi_2_R1	6527398.0	6309358.0
GI_24hpi_2_R2	6506992.0	6329764.0
GI_24hpi_3_R1	5600705.0	6076649.0
GI_24hpi_3_R2	5589199.0	6088155.0
GI_48hpi_1_R1	6740064.0	7786446.0
GI_48hpi_1_R2	6764564.0	7761946.0
GI_48hpi_2_R1	6590874.0	7081031.0
GI_48hpi_2_R2	6624752.0	7047153.0
GI_48hpi_3_R1	6962839.0	7445708.0
GI_48hpi_3_R2	6979671.0	7428876.0
GI_6hpi_1_R1	7759100.0	8319327.0
GI_6hpi_1_R2	7723652.0	8354775.0
GI_6hpi_2_R1	7381880.0	7183921.0
GI_6hpi_2_R2	7315936.0	7249865.0
GI_6hpi_3_R1	7933587.0	8668755.0
GI_6hpi_3_R2	7843505.0	8758837.0
HC_24hpi_1_R1	7071866.0	7289084.0
HC_24hpi_1_R2	7033492.0	7327458.0
HC_24hpi_2_R1	6757522.0	7218379.0
HC_24hpi_2_R2	6738906.0	7236995.0
HC_24hpi_3_R1	6461676.0	6228313.0
HC_24hpi_3_R2	6419580.0	6270409.0
HC_48hpi_1_R1	7314089.0	7803685.0
HC_48hpi_1_R2	7324051.0	7793723.0
HC_48hpi_2_R1	7063692.0	7416095.0
HC_48hpi_2_R2	7064097.0	7415690.0
HC_48hpi_3_R1	6685781.0	6324473.0
HC_48hpi_3_R2	6668154.0	6342100.0
HC_6hpi_1_R1	6958756.0	7323179.0
HC_6hpi_1_R2	7081397.0	7200538.0
HC_6hpi_2_R1	7027967.0	7249884.0
HC_6hpi_2_R2	7085200.0	7192651.0
HC_6hpi_3_R1	6890928.0	7201630.0
HC_6hpi_3_R2	6962806.0	7129752.0
HI_24hpi_1_R1	6286224.0	7852893.0
HI_24hpi_1_R2	6316327.0	7822790.0
HI_24hpi_2_R1	7723564.0	8262142.0
HI_24hpi_2_R2	7726331.0	8259375.0
HI_24hpi_3_R1	6114911.0	6237460.0
HI_24hpi_3_R2	6110461.0	6241910.0
HI_48hpi_1_R1	7377636.0	8653946.0
HI_48hpi_1_R2	7369678.0	8661904.0
HI_48hpi_2_R1	6595592.0	6135914.0
HI_48hpi_2_R2	6611115.0	6120391.0
HI_48hpi_3_R1	7371722.0	8715435.0
HI_48hpi_3_R2	7375581.0	8711576.0
HI_6hpi_1_R1	7541053.0	9526189.0
HI_6hpi_1_R2	7653864.0	9413378.0
HI_6hpi_2_R1	7627961.0	8723151.0
HI_6hpi_2_R2	7698933.0	8652179.0
HI_6hpi_3_R1	7018783.0	6752986.0
HI_6hpi_3_R2	6994309.0	6777460.0
