Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66
GC_24hpi_1_R1	(1, 0.016714745177211898)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.024754136674770805)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.00048473161206984486)	(54, 0.0001489018196460299)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 24.959813601684626)	(76, 0.003481608110399158)	(78, 5.2022541020207114e-05)	(80, 1.0406041303589768e-05)	(82, 0.0)	(84, 5.204310654184972e-05)	(86, 2.775980619491305e-05)	(88, 0.0017837762014687073)	(90, 0.008104308243320557)	(92, 0.0002950508756224836)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)	(102, 0.0)	(104, 0.0)	(106, 0.0)	(108, 0.0)	(110, 0.0)	(112, 0.0)	(114, 0.0)	(116, 0.0)	(118, 0.0)	(120, 0.0)	(122, 0.0)	(124, 0.0)
GC_24hpi_1_R2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0001382526482813226)	(5, 0.00035254425311737254)	(6, 0.0003801947827736371)	(7, 0.0)	(8, 4.838842689846291e-05)	(9, 0.0002834179289767113)	(10, 3.4563162070330642e-06)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 2.0793105172669584e-05)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 1.73539791077528e-05)	(92, 0.0)	(94, 0.0)	(96, 0.0006214878773928716)	(98, 0.0008437872086720491)	(100, 0.00022225470382112442)	(102, 0.0013301999425964892)	(104, 1.3893777279346236e-05)	(106, 0.001330460187767881)	(108, 0.0009519021558534114)	(110, 2.7795320678610247e-05)	(112, 6.60199101455124e-05)	(114, 0.000378777914411968)	(116, 0.0)	(118, 0.0)	(120, 0.0)	(122, 2.0883721838431625e-05)	(124, 0.000386631656647682)
GC_24hpi_2_R1	(1, 0.01629663984971344)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.024891803125288107)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0005561108986482294)	(54, 0.00018429404668029984)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 24.98567309942004)	(76, 0.003486377392246389)	(78, 8.898262017827898e-05)	(80, 0.0)	(82, 0.0)	(84, 7.582812388627443e-05)	(86, 1.978353841443842e-05)	(88, 0.0017873125737307657)	(90, 0.008024043768470884)	(92, 0.0002341824436918209)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)	(102, 0.0)	(104, 0.0)	(106, 0.0)	(108, 0.0)	(110, 0.0)	(112, 0.0)	(114, 0.0)	(116, 0.0)	(118, 0.0)	(120, 0.0)	(122, 0.0)	(124, 0.0)
GC_24hpi_2_R2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.00019713677237556579)	(5, 0.000374559867513575)	(6, 0.00040084477049698373)	(7, 0.0)	(8, 3.942735447511316e-05)	(9, 0.0003154188358009053)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 3.2932467266527168e-06)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 1.3192016059960352e-05)	(92, 0.0)	(94, 0.0)	(96, 0.0006235198002836388)	(98, 0.0007555567653262132)	(100, 0.0001451855083084882)	(102, 0.0012869989086249257)	(104, 0.0)	(106, 0.0012344229194973405)	(108, 0.0010133702486180122)	(110, 9.903476427233729e-06)	(112, 7.593312233169357e-05)	(114, 0.00036648919234927725)	(116, 0.0)	(118, 0.0)	(120, 0.0)	(122, 9.92264602835674e-06)	(124, 0.0004303452597122056)
GC_24hpi_3_R1	(1, 0.01634520345250541)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.02535544025873416)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0005253156410048842)	(54, 0.00015118876703746215)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 24.96611832134293)	(76, 0.0035202243132354642)	(78, 5.2999468983177555e-05)	(80, 1.135877919476024e-05)	(82, 0.0)	(84, 7.574539624215728e-05)	(86, 4.1665658168349636e-05)	(88, 0.001727445864460506)	(90, 0.008229152340477768)	(92, 0.00025008739796718353)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)	(102, 0.0)	(104, 0.0)	(106, 0.0)	(108, 0.0)	(110, 0.0)	(112, 0.0)	(114, 0.0)	(116, 0.0)	(118, 0.0)	(120, 0.0)	(122, 0.0)	(124, 0.0)
GC_24hpi_3_R2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.00023393412143474967)	(5, 0.0004603219808877332)	(6, 0.0003244892652159431)	(7, 0.0)	(8, 3.018504792706447e-05)	(9, 0.0003018504792706447)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 1.8913277139465182e-05)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 2.2732465028944112e-05)	(92, 0.0)	(94, 0.0)	(96, 0.0005988409320057056)	(98, 0.0008718326084424251)	(100, 0.00022366844299847642)	(102, 0.001410409107360417)	(104, 3.791792952330944e-06)	(106, 0.0012703820474918106)	(108, 0.0010315723722921935)	(110, 1.8964570843899128e-05)	(112, 6.069231496079599e-05)	(114, 0.00039832729848508167)	(116, 0.0)	(118, 0.0)	(120, 0.0)	(122, 3.800045410542656e-05)	(124, 0.00042973835019264066)
GC_48hpi_1_R1	(1, 0.016502229124310843)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.023426887000047397)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0005702707852218734)	(54, 0.00023121819246935295)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 24.993328310403484)	(76, 0.0032937706308271493)	(78, 6.483379670974038e-05)	(80, 0.0)	(82, 0.0)	(84, 5.868174849373217e-05)	(86, 2.162212853113684e-05)	(88, 0.0017361370690719352)	(90, 0.008351097824877324)	(92, 0.0002502809094219484)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)	(102, 0.0)	(104, 0.0)	(106, 0.0)	(108, 0.0)	(110, 0.0)	(112, 0.0)	(114, 0.0)	(116, 0.0)	(118, 0.0)	(120, 0.0)	(122, 0.0)	(124, 0.0)
GC_48hpi_1_R2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.00011079452601178484)	(5, 0.00029545206936475957)	(6, 0.00033853882948045366)	(7, 0.0)	(8, 2.4621005780396632e-05)	(9, 0.0002523653092490655)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 1.234050057266093e-05)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 9.26869902872067e-06)	(92, 0.0)	(94, 0.0)	(96, 0.0006521039593403601)	(98, 0.0008407108544085688)	(100, 0.00019165112077266312)	(102, 0.0013138685815471702)	(104, 6.183500318759442e-06)	(106, 0.0011564212485169051)	(108, 0.0008998657808441519)	(110, 4.02037563482891e-05)	(112, 6.80431128585957e-05)	(114, 0.0003959202643807055)	(116, 0.0)	(118, 0.0)	(120, 0.0)	(122, 1.85911565772305e-05)	(124, 0.00043724036333867933)
GC_48hpi_2_R1	(1, 0.016541486510114004)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.02437559527045109)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.000513580446052226)	(54, 0.0001743892792319871)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 24.983998656957272)	(76, 0.003575923201110556)	(78, 5.717269766102365e-05)	(80, 1.27072036629277e-05)	(82, 0.0)	(84, 6.991051231980526e-05)	(86, 9.534619966733711e-06)	(88, 0.001834057409874832)	(90, 0.008065229362470483)	(92, 0.0002416356239076321)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)	(102, 0.0)	(104, 0.0)	(106, 0.0)	(108, 0.0)	(110, 0.0)	(112, 0.0)	(114, 0.0)	(116, 0.0)	(118, 0.0)	(120, 0.0)	(122, 0.0)	(124, 0.0)
GC_48hpi_2_R2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0002024971569715563)	(5, 0.0003923382416323903)	(6, 0.000423978422409196)	(7, 0.0)	(8, 2.5312144621444538e-05)	(9, 0.00028476162699125104)	(10, 3.164018077680567e-06)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 6.346965366704493e-06)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 1.5895209622527557e-05)	(92, 0.0)	(94, 0.0)	(96, 0.0006233161916080333)	(98, 0.0007983149003695054)	(100, 0.00020993596380551306)	(102, 0.0012883845137453926)	(104, 9.544502307812935e-06)	(106, 0.0013077195096287291)	(108, 0.0010214487044689238)	(110, 3.500597615660223e-05)	(112, 7.63829369430212e-05)	(114, 0.00039149385077743995)	(116, 0.0)	(118, 0.0)	(120, 0.0)	(122, 3.187512295828681e-05)	(124, 0.000379558449130556)
GC_48hpi_3_R1	(1, 0.0020105146259455815)	(2, 0.001023534718663205)	(3, 0.010790980319620648)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 4.0240113488826255e-05)	(42, 0.0002524515792382943)	(44, 0.00020857110897148866)	(46, 0.00014272177151825296)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 49.99879235211069)	(76, 0.02496554454284206)	(78, 0.0)	(80, 0.010599429060708735)	(82, 0.0)	(84, 7.334336768394406e-06)	(86, 0.0002457267386633786)	(88, 0.0006418890405662503)	(90, 0.006023391669135756)	(92, 0.13573696986172615)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.00020919058657040474)	(102, 0.0)	(104, 0.0)	(106, 0.0)	(108, 0.0)	(110, 0.0)	(112, 0.0)	(114, 0.0)	(116, 0.0)	(118, 0.0)	(120, 0.0)	(122, 0.0)	(124, 0.0)
GC_48hpi_3_R2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.00486910087592639)	(7, 0.0042184252333476386)	(8, 0.0)	(9, 0.0014841253420616474)	(10, 0.00027050560421813276)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)	(102, 0.0)	(104, 0.0)	(106, 0.0)	(108, 0.0)	(110, 0.0)	(112, 0.0)	(114, 0.0)	(116, 0.0)	(118, 0.0)	(120, 0.0)	(122, 0.0)	(124, 0.0)
