Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
GC_24hpi_1_R1	GC_24hpi_1_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14466269.0	1.8 Gbp	0.0	31-125	45.0	48.24328496715106	124.18517438739732	124	pass	warn	pass	fail	pass	fail	warn	fail	pass	pass
GC_24hpi_1_R2	GC_24hpi_1_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14466269.0	1.8 Gbp	0.0	31-125	45.0	48.37785039564552	124.18517438739732	124	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
GC_24hpi_2_R1	GC_24hpi_2_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15217861.0	1.8 Gbp	0.0	31-125	45.0	47.74948868141272	124.21685100816731	124	pass	warn	pass	fail	pass	fail	warn	fail	pass	pass
GC_24hpi_2_R2	GC_24hpi_2_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15217861.0	1.8 Gbp	0.0	31-125	45.0	47.604144949574824	124.21685100816731	124	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
GC_24hpi_3_R1	GC_24hpi_3_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13251594.0	1.6 Gbp	0.0	31-125	45.0	48.93153130517993	124.19074195904281	124	pass	warn	pass	fail	pass	fail	warn	fail	pass	pass
GC_24hpi_3_R2	GC_24hpi_3_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13251594.0	1.6 Gbp	0.0	31-125	45.0	48.952803691267256	124.19074195904281	124	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
GC_48hpi_1_R1	GC_48hpi_1_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16246290.0	2 Gbp	0.0	31-125	46.0	45.347676745880825	124.20763786686068	124	pass	warn	pass	fail	warn	fail	warn	fail	pass	pass
GC_48hpi_1_R2	GC_48hpi_1_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16246290.0	2 Gbp	0.0	31-125	46.0	45.7261309959073	124.20763786686068	124	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
GC_48hpi_2_R1	GC_48hpi_2_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15802691.0	1.9 Gbp	0.0	31-125	46.0	45.26336773799946	124.14973180833569	124	pass	warn	pass	fail	warn	fail	warn	fail	warn	pass
GC_48hpi_2_R2	GC_48hpi_2_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15802691.0	1.9 Gbp	0.0	31-125	46.0	45.36819931171904	124.14973180833569	124	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
GC_48hpi_3_R1	GC_48hpi_3_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13678090.0	1.7 Gbp	0.0	31-125	46.0	47.17734355259269	124.2346397048126	124	pass	fail	pass	fail	warn	fail	warn	fail	pass	pass
GC_48hpi_3_R2	GC_48hpi_3_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13678090.0	1.7 Gbp	0.0	31-125	46.0	47.40921933211552	124.2346397048126	124	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
