Sample	Overlapping Genes	No Feature	Ambiguous Features	Multimapping	Unmapped
GC_24hpi_1	6211756.0	5897134.0	74578.0	1294399.0	988402.0
GC_24hpi_2	6378427.0	6146654.0	91744.0	1456576.0	1144460.0
GC_24hpi_3	5569339.0	5390058.0	71136.0	1249835.0	971226.0
GC_48hpi_1	6376752.0	6226720.0	84110.0	1904577.0	1654131.0
GC_48hpi_2	6143638.0	6042307.0	77441.0	1982591.0	1556714.0
GC_48hpi_3	5418970.0	5303113.0	68925.0	1616714.0	1270368.0
GC_6hpi_1	5910821.0	5465329.0	74597.0	1161428.0	1045912.0
GC_6hpi_2	5824480.0	5382117.0	72801.0	1100337.0	1123072.0
GC_6hpi_3	6636314.0	6188598.0	83938.0	1330687.0	1104671.0
GI_24hpi_1	6298428.0	6114385.0	80312.0	1440332.0	1168161.0
GI_24hpi_2	5448819.0	5229133.0	63866.0	1161846.0	933092.0
GI_24hpi_3	4524897.0	4469554.0	56394.0	1495199.0	1131310.0
GI_48hpi_1	5893676.0	5716463.0	81877.0	1667333.0	1167161.0
GI_48hpi_2	5611110.0	5438436.0	74468.0	1410717.0	1137174.0
GI_48hpi_3	5990464.0	5774733.0	78520.0	1432726.0	1132104.0
GI_6hpi_1	7010475.0	6539140.0	84225.0	1373170.0	1071417.0
GI_6hpi_2	6303805.0	5881352.0	80353.0	1233047.0	1067244.0
GI_6hpi_3	7145444.0	6699587.0	86955.0	1450841.0	1219515.0
HC_24hpi_1	6133258.0	5962959.0	70897.0	1278882.0	914954.0
HC_24hpi_2	5944324.0	5776304.0	70692.0	1278362.0	906219.0
HC_24hpi_3	5338687.0	5168446.0	64243.0	1151949.0	966664.0
HC_48hpi_1	6423618.0	6277956.0	67293.0	1438612.0	910295.0
HC_48hpi_2	6222652.0	5987983.0	66478.0	1358392.0	844282.0
HC_48hpi_3	5584524.0	5393873.0	60313.0	1184099.0	787445.0
HC_6hpi_1	6392435.0	5974892.0	67694.0	1173341.0	673573.0
HC_6hpi_2	6429022.0	5990215.0	65797.0	1149617.0	643200.0
HC_6hpi_3	6268536.0	5880332.0	67181.0	1214108.0	662401.0
HI_24hpi_1	5252980.0	5305760.0	61581.0	1964202.0	1554594.0
HI_24hpi_2	6795586.0	6622184.0	76328.0	1432093.0	1059515.0
HI_24hpi_3	5290293.0	5105615.0	60314.0	1125747.0	770402.0
HI_48hpi_1	6834331.0	6655897.0	73566.0	1510410.0	957378.0
HI_48hpi_2	5525360.0	5317740.0	56769.0	1078766.0	752871.0
HI_48hpi_3	6736392.0	6613588.0	76191.0	1665523.0	995463.0
HI_6hpi_1	7065525.0	6760810.0	73066.0	1741906.0	1425935.0
HI_6hpi_2	7218310.0	6807860.0	72376.0	1439752.0	812814.0
HI_6hpi_3	6116332.0	5674588.0	62390.0	1088585.0	829874.0
