Sample	Overlapping Genes	No Feature	Ambiguous Features	Multimapping	Unmapped
GC_24hpi_1	9836676.0	923370.0	1423422.0	1294399.0	988402.0
GC_24hpi_2	10099019.0	1019648.0	1498158.0	1456576.0	1144460.0
GC_24hpi_3	8876317.0	889202.0	1265014.0	1249835.0	971226.0
GC_48hpi_1	10127359.0	1088442.0	1471781.0	1904577.0	1654131.0
GC_48hpi_2	9688835.0	1129120.0	1445431.0	1982591.0	1556714.0
GC_48hpi_3	8587020.0	955012.0	1248976.0	1616714.0	1270368.0
GC_6hpi_1	9276612.0	766255.0	1407880.0	1161428.0	1045912.0
GC_6hpi_2	9152219.0	749300.0	1377879.0	1100337.0	1123072.0
GC_6hpi_3	10428324.0	910625.0	1569901.0	1330687.0	1104671.0
GI_24hpi_1	9951419.0	1072642.0	1469064.0	1440332.0	1168161.0
GI_24hpi_2	8578141.0	888319.0	1275358.0	1161846.0	933092.0
GI_24hpi_3	7133829.0	860098.0	1056918.0	1495199.0	1131310.0
GI_48hpi_1	9442769.0	925165.0	1324082.0	1667333.0	1167161.0
GI_48hpi_2	8971489.0	888343.0	1264182.0	1410717.0	1137174.0
GI_48hpi_3	9587959.0	902252.0	1353506.0	1432726.0	1132104.0
GI_6hpi_1	11068914.0	936377.0	1628549.0	1373170.0	1071417.0
GI_6hpi_2	9959402.0	836410.0	1469698.0	1233047.0	1067244.0
GI_6hpi_3	11279266.0	982480.0	1670240.0	1450841.0	1219515.0
HC_24hpi_1	9782849.0	1010668.0	1373597.0	1278882.0	914954.0
HC_24hpi_2	9449270.0	981120.0	1360930.0	1278362.0	906219.0
HC_24hpi_3	8474459.0	871943.0	1224974.0	1151949.0	966664.0
HC_48hpi_1	10166187.0	1143701.0	1458979.0	1438612.0	910295.0
HC_48hpi_2	9845269.0	1021450.0	1410394.0	1358392.0	844282.0
HC_48hpi_3	8833448.0	935910.0	1269352.0	1184099.0	787445.0
HC_6hpi_1	10136760.0	848550.0	1449711.0	1173341.0	673573.0
HC_6hpi_2	10190646.0	840650.0	1453738.0	1149617.0	643200.0
HC_6hpi_3	9952098.0	843287.0	1420664.0	1214108.0	662401.0
HI_24hpi_1	8359723.0	1063140.0	1197458.0	1964202.0	1554594.0
HI_24hpi_2	10816338.0	1137321.0	1540439.0	1432093.0	1059515.0
HI_24hpi_3	8396999.0	861907.0	1197316.0	1125747.0	770402.0
HI_48hpi_1	10850000.0	1173531.0	1540263.0	1510410.0	957378.0
HI_48hpi_2	8792397.0	878659.0	1228813.0	1078766.0	752871.0
HI_48hpi_3	10733699.0	1184160.0	1508312.0	1665523.0	995463.0
HI_6hpi_1	11229598.0	1077090.0	1592713.0	1741906.0	1425935.0
HI_6hpi_2	11452971.0	1015066.0	1630509.0	1439752.0	812814.0
HI_6hpi_3	9694906.0	784119.0	1374285.0	1088585.0	829874.0
