Sample	Overlapping Genes	No Feature	Ambiguous Features	Multimapping	Unmapped
GC_24hpi_1	6185476.0	5924022.0	73970.0	1294399.0	988402.0
GC_24hpi_2	6361599.0	6163603.0	91623.0	1456576.0	1144460.0
GC_24hpi_3	5561499.0	5397428.0	71606.0	1249835.0	971226.0
GC_48hpi_1	6368806.0	6234851.0	83925.0	1904577.0	1654131.0
GC_48hpi_2	6137066.0	6048933.0	77387.0	1982591.0	1556714.0
GC_48hpi_3	5399059.0	5323007.0	68942.0	1616714.0	1270368.0
GC_6hpi_1	5894131.0	5482634.0	73982.0	1161428.0	1045912.0
GC_6hpi_2	5803700.0	5403690.0	72008.0	1100337.0	1123072.0
GC_6hpi_3	6609184.0	6216720.0	82946.0	1330687.0	1104671.0
GI_24hpi_1	6281692.0	6131607.0	79826.0	1440332.0	1168161.0
GI_24hpi_2	5433290.0	5244313.0	64215.0	1161846.0	933092.0
GI_24hpi_3	4506192.0	4489021.0	55632.0	1495199.0	1131310.0
GI_48hpi_1	5881845.0	5729106.0	81065.0	1667333.0	1167161.0
GI_48hpi_2	5600839.0	5448578.0	74597.0	1410717.0	1137174.0
GI_48hpi_3	5999907.0	5764747.0	79063.0	1432726.0	1132104.0
GI_6hpi_1	6991623.0	6558610.0	83607.0	1373170.0	1071417.0
GI_6hpi_2	6285215.0	5900451.0	79844.0	1233047.0	1067244.0
GI_6hpi_3	7139427.0	6706130.0	86429.0	1450841.0	1219515.0
HC_24hpi_1	6125279.0	5971032.0	70803.0	1278882.0	914954.0
HC_24hpi_2	5955158.0	5765987.0	70175.0	1278362.0	906219.0
HC_24hpi_3	5339140.0	5168364.0	63872.0	1151949.0	966664.0
HC_48hpi_1	6404476.0	6297908.0	66483.0	1438612.0	910295.0
HC_48hpi_2	6188733.0	6022411.0	65969.0	1358392.0	844282.0
HC_48hpi_3	5556508.0	5422236.0	59966.0	1184099.0	787445.0
HC_6hpi_1	6387594.0	5982039.0	65388.0	1173341.0	673573.0
HC_6hpi_2	6420374.0	6001000.0	63660.0	1149617.0	643200.0
HC_6hpi_3	6270812.0	5880344.0	64893.0	1214108.0	662401.0
HI_24hpi_1	5264459.0	5294345.0	61517.0	1964202.0	1554594.0
HI_24hpi_2	6806293.0	6610735.0	77070.0	1432093.0	1059515.0
HI_24hpi_3	5269870.0	5126599.0	59753.0	1125747.0	770402.0
HI_48hpi_1	6815719.0	6674799.0	73276.0	1510410.0	957378.0
HI_48hpi_2	5506510.0	5336519.0	56840.0	1078766.0	752871.0
HI_48hpi_3	6721068.0	6629144.0	75959.0	1665523.0	995463.0
HI_6hpi_1	7070149.0	6757422.0	71830.0	1741906.0	1425935.0
HI_6hpi_2	7220257.0	6807413.0	70876.0	1439752.0	812814.0
HI_6hpi_3	6088891.0	5702661.0	61758.0	1088585.0	829874.0
