Sample	Passed Filter	Low Quality	Too Many N	Low Complexity	Too Short	Too Long
GC_24hpi_1	28932538.0	559734.0	0.0	nan	0.0	0.0
GC_24hpi_2	30435722.0	615996.0	0.0	nan	0.0	0.0
GC_24hpi_3	26503188.0	551622.0	0.0	nan	0.0	0.0
GC_48hpi_1	32492580.0	749384.0	0.0	nan	0.0	0.0
GC_48hpi_2	31605382.0	643340.0	0.0	nan	0.0	0.0
GC_48hpi_3	27356180.0	546628.0	0.0	nan	0.0	0.0
GC_6hpi_1	27316174.0	501112.0	0.0	nan	0.0	0.0
GC_6hpi_2	27005614.0	466216.0	0.0	nan	0.0	0.0
GC_6hpi_3	30688416.0	561378.0	0.0	nan	0.0	0.0
GI_24hpi_1	30203236.0	589170.0	0.0	nan	0.0	0.0
GI_24hpi_2	25673512.0	515452.0	0.0	nan	0.0	0.0
GI_24hpi_3	23354708.0	500478.0	0.0	nan	0.0	0.0
GI_48hpi_1	29053020.0	617744.0	0.0	nan	0.0	0.0
GI_48hpi_2	27343810.0	547028.0	0.0	nan	0.0	0.0
GI_48hpi_3	28817094.0	572222.0	0.0	nan	0.0	0.0
GI_6hpi_1	32156854.0	598614.0	0.0	nan	0.0	0.0
GI_6hpi_2	29131602.0	519920.0	0.0	nan	0.0	0.0
GI_6hpi_3	33204684.0	584402.0	0.0	nan	0.0	0.0
HC_24hpi_1	28721900.0	507188.0	0.0	nan	0.0	0.0
HC_24hpi_2	27951802.0	490546.0	0.0	nan	0.0	0.0
HC_24hpi_3	25379978.0	474392.0	0.0	nan	0.0	0.0
HC_48hpi_1	30235548.0	548738.0	0.0	nan	0.0	0.0
HC_48hpi_2	28959574.0	601792.0	0.0	nan	0.0	0.0
HC_48hpi_3	26020508.0	535392.0	0.0	nan	0.0	0.0
HC_6hpi_1	28563870.0	547730.0	0.0	nan	0.0	0.0
HC_6hpi_2	28555702.0	498014.0	0.0	nan	0.0	0.0
HC_6hpi_3	28185116.0	490504.0	0.0	nan	0.0	0.0
HI_24hpi_1	28278234.0	634748.0	0.0	nan	0.0	0.0
HI_24hpi_2	31971412.0	660488.0	0.0	nan	0.0	0.0
HI_24hpi_3	24704742.0	556148.0	0.0	nan	0.0	0.0
HI_48hpi_1	32063164.0	592456.0	0.0	nan	0.0	0.0
HI_48hpi_2	25463012.0	461954.0	0.0	nan	0.0	0.0
HI_48hpi_3	32174314.0	716654.0	0.0	nan	0.0	0.0
HI_6hpi_1	34134484.0	565312.0	0.0	nan	0.0	0.0
HI_6hpi_2	32702224.0	524318.0	0.0	nan	0.0	0.0
HI_6hpi_3	27543538.0	479992.0	0.0	nan	0.0	0.0
