Sample	Uniquely mapped	Mapped to multiple loci	Mapped to too many loci	Unmapped: too short	Unmapped: other
GC_24hpi_1	12183468.0	1294399.0	14051.0	925127.0	49224.0
GC_24hpi_2	12616825.0	1456576.0	16622.0	1071598.0	56240.0
GC_24hpi_3	11030533.0	1249835.0	18827.0	899414.0	52985.0
GC_48hpi_1	12687582.0	1904577.0	192738.0	1324845.0	136548.0
GC_48hpi_2	12263386.0	1982591.0	213272.0	1087398.0	256044.0
GC_48hpi_3	10791008.0	1616714.0	151980.0	942016.0	176372.0
GC_6hpi_1	11450747.0	1161428.0	18382.0	972947.0	54583.0
GC_6hpi_2	11279398.0	1100337.0	16731.0	1072570.0	33771.0
GC_6hpi_3	12908850.0	1330687.0	20307.0	1027615.0	56749.0
GI_24hpi_1	12493125.0	1440332.0	15393.0	1083270.0	69498.0
GI_24hpi_2	10741818.0	1161846.0	16167.0	861704.0	55221.0
GI_24hpi_3	9050845.0	1495199.0	180400.0	807222.0	143688.0
GI_48hpi_1	11692016.0	1667333.0	115641.0	965711.0	85809.0
GI_48hpi_2	11124014.0	1410717.0	53396.0	1033147.0	50631.0
GI_48hpi_3	11843717.0	1432726.0	80129.0	1001538.0	50437.0
GI_6hpi_1	13633840.0	1373170.0	21893.0	1009282.0	40242.0
GI_6hpi_2	12265510.0	1233047.0	18119.0	1003954.0	45171.0
GI_6hpi_3	13931986.0	1450841.0	23912.0	1142465.0	53138.0
HC_24hpi_1	12167114.0	1278882.0	29413.0	842414.0	43127.0
HC_24hpi_2	11791320.0	1278362.0	25921.0	835584.0	44714.0
HC_24hpi_3	10571376.0	1151949.0	24807.0	897490.0	44367.0
HC_48hpi_1	12768867.0	1438612.0	26399.0	836977.0	46919.0
HC_48hpi_2	12277113.0	1358392.0	20021.0	783771.0	40490.0
HC_48hpi_3	11038710.0	1184099.0	15976.0	727236.0	44233.0
HC_6hpi_1	12435021.0	1173341.0	26820.0	618199.0	28554.0
HC_6hpi_2	12485034.0	1149617.0	26333.0	589736.0	27131.0
HC_6hpi_3	12216049.0	1214108.0	36930.0	600057.0	25414.0
HI_24hpi_1	10620321.0	1964202.0	266993.0	942733.0	344868.0
HI_24hpi_2	13494098.0	1432093.0	25824.0	988956.0	44735.0
HI_24hpi_3	10456222.0	1125747.0	23293.0	701342.0	45767.0
HI_48hpi_1	13563794.0	1510410.0	30196.0	883946.0	43236.0
HI_48hpi_2	10899869.0	1078766.0	15441.0	696674.0	40756.0
HI_48hpi_3	13426171.0	1665523.0	113298.0	817891.0	64274.0
HI_6hpi_1	13899401.0	1741906.0	117455.0	1259007.0	49473.0
HI_6hpi_2	14098546.0	1439752.0	39551.0	743837.0	29426.0
HI_6hpi_3	11853310.0	1088585.0	27829.0	773155.0	28890.0
STARpass1	13159063.0	1171749.0	4069.0	1001657.0	7670.0
