Sample	Assigned	Unassigned: Multi Mapping	Unassigned: No Features	Unassigned: Ambiguity
results/alignment/PRJNA450886/GC_24hpi_1/Aligned.out.bam	10016341.0	4031252.0	923370.0	1243757.0
results/alignment/PRJNA450886/GC_24hpi_2/Aligned.out.bam	10307157.0	4559465.0	1019648.0	1290020.0
results/alignment/PRJNA450886/GC_24hpi_3/Aligned.out.bam	9043284.0	4004229.0	889202.0	1098047.0
results/alignment/PRJNA450886/GC_48hpi_1/Aligned.out.bam	10314932.0	8868471.0	1088442.0	1284208.0
results/alignment/PRJNA450886/GC_48hpi_2/Aligned.out.bam	9875381.0	9920156.0	1129120.0	1258885.0
results/alignment/PRJNA450886/GC_48hpi_3/Aligned.out.bam	8738062.0	7475783.0	955012.0	1097934.0
results/alignment/PRJNA450886/GC_6hpi_1/Aligned.out.bam	9455084.0	3738125.0	766255.0	1229408.0
results/alignment/PRJNA450886/GC_6hpi_2/Aligned.out.bam	9326714.0	3557217.0	749300.0	1203384.0
results/alignment/PRJNA450886/GC_6hpi_3/Aligned.out.bam	10630149.0	4391151.0	910625.0	1368076.0
results/alignment/PRJNA450886/GI_24hpi_1/Aligned.out.bam	10137385.0	4537827.0	1072642.0	1283098.0
results/alignment/PRJNA450886/GI_24hpi_2/Aligned.out.bam	8735370.0	3640229.0	888319.0	1118129.0
results/alignment/PRJNA450886/GI_24hpi_3/Aligned.out.bam	7268344.0	7331139.0	860098.0	922403.0
results/alignment/PRJNA450886/GI_48hpi_1/Aligned.out.bam	9613900.0	6705456.0	925165.0	1152951.0
results/alignment/PRJNA450886/GI_48hpi_2/Aligned.out.bam	9134586.0	5358356.0	888343.0	1101085.0
results/alignment/PRJNA450886/GI_48hpi_3/Aligned.out.bam	9765121.0	5379743.0	902252.0	1176344.0
results/alignment/PRJNA450886/GI_6hpi_1/Aligned.out.bam	11268038.0	4414185.0	936377.0	1429425.0
results/alignment/PRJNA450886/GI_6hpi_2/Aligned.out.bam	10153984.0	3880166.0	836410.0	1275116.0
results/alignment/PRJNA450886/GI_6hpi_3/Aligned.out.bam	11489632.0	4704301.0	982480.0	1459874.0
results/alignment/PRJNA450886/HC_24hpi_1/Aligned.out.bam	9960092.0	4113236.0	1010668.0	1196354.0
results/alignment/PRJNA450886/HC_24hpi_2/Aligned.out.bam	9625771.0	4187461.0	981120.0	1184429.0
results/alignment/PRJNA450886/HC_24hpi_3/Aligned.out.bam	8635379.0	3829959.0	871943.0	1064054.0
results/alignment/PRJNA450886/HC_48hpi_1/Aligned.out.bam	10332542.0	4788144.0	1143701.0	1292624.0
results/alignment/PRJNA450886/HC_48hpi_2/Aligned.out.bam	10008007.0	4368670.0	1021450.0	1247656.0
results/alignment/PRJNA450886/HC_48hpi_3/Aligned.out.bam	8984687.0	3802161.0	935910.0	1118113.0
results/alignment/PRJNA450886/HC_6hpi_1/Aligned.out.bam	10317076.0	3828495.0	848550.0	1269395.0
results/alignment/PRJNA450886/HC_6hpi_2/Aligned.out.bam	10361361.0	3724657.0	840650.0	1283023.0
results/alignment/PRJNA450886/HC_6hpi_3/Aligned.out.bam	10124472.0	4265108.0	843287.0	1248290.0
results/alignment/PRJNA450886/HI_24hpi_1/Aligned.out.bam	8515371.0	10594864.0	1063140.0	1041810.0
results/alignment/PRJNA450886/HI_24hpi_2/Aligned.out.bam	11013661.0	4761944.0	1137321.0	1343116.0
results/alignment/PRJNA450886/HI_24hpi_3/Aligned.out.bam	8550345.0	3808132.0	861907.0	1043970.0
results/alignment/PRJNA450886/HI_48hpi_1/Aligned.out.bam	11028801.0	4987987.0	1173531.0	1361462.0
results/alignment/PRJNA450886/HI_48hpi_2/Aligned.out.bam	8936536.0	3355002.0	878659.0	1084674.0
results/alignment/PRJNA450886/HI_48hpi_3/Aligned.out.bam	10914273.0	6724578.0	1184160.0	1327738.0
results/alignment/PRJNA450886/HI_6hpi_1/Aligned.out.bam	11412858.0	7403643.0	1077090.0	1409453.0
results/alignment/PRJNA450886/HI_6hpi_2/Aligned.out.bam	11638017.0	5154881.0	1015066.0	1445463.0
results/alignment/PRJNA450886/HI_6hpi_3/Aligned.out.bam	9854967.0	3828929.0	784119.0	1214224.0
