Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
GC_24hpi_1_R1	(1.0, 35.47129088475901)	(2.0, 12.989995489218535)	(3.0, 7.0111396440249845)	(4.0, 4.636638035871612)	(5.0, 3.43359834433285)	(6.0, 2.6631425898266725)	(7.0, 2.0327491031505383)	(8.0, 1.7341773344169302)	(9.0, 1.4514780027667202)	('>10', 16.09387829116758)	('>50', 4.199557580465886)	('>100', 6.028196279718642)	('>500', 1.2297060237029416)	('>1k', 0.889956050000711)	('>5k', 0.13449634657644144)	('>10k+', 0.0)
GC_24hpi_1_R2	(1.0, 35.762881812055944)	(2.0, 12.690779018227847)	(3.0, 7.012717092844845)	(4.0, 4.754747601355573)	(5.0, 3.2399439262715073)	(6.0, 2.5474974803913684)	(7.0, 2.1006968489042115)	(8.0, 1.7493420423746884)	(9.0, 1.4992923024697797)	('>10', 16.11367071936543)	('>50', 4.173615159461134)	('>100', 5.992958237727299)	('>500', 1.3020869002776467)	('>1k', 0.9158177672797502)	('>5k', 0.14395309099299625)	('>10k+', 0.0)
GC_24hpi_2_R1	(1.0, 35.29701082229088)	(2.0, 12.623189527787936)	(3.0, 6.908850178642926)	(4.0, 4.470888601136586)	(5.0, 3.3101466644695163)	(6.0, 2.595309860206504)	(7.0, 1.9829555994515426)	(8.0, 1.6931478332614287)	(9.0, 1.444608052623435)	('>10', 15.730597619710137)	('>50', 4.114315768355552)	('>100', 6.516787197394898)	('>500', 1.5346312414936887)	('>1k', 1.486606301940555)	('>5k', 0.2210691917951945)	('>10k+', 0.06988553943904122)
GC_24hpi_2_R2	(1.0, 35.20401657960655)	(2.0, 12.562583033548497)	(3.0, 6.967528002588259)	(4.0, 4.454381400894316)	(5.0, 3.2041408982504764)	(6.0, 2.478302051795546)	(7.0, 2.063005008693455)	(8.0, 1.6475026347966284)	(9.0, 1.4124930077471116)	('>10', 15.75815861794559)	('>50', 4.205331897869137)	('>100', 6.552558985033027)	('>500', 1.631860973235912)	('>1k', 1.5460251999079695)	('>5k', 0.23469043294972505)	('>10k+', 0.07742127513778058)
GC_24hpi_3_R1	(1.0, 36.23081295549651)	(2.0, 13.109310397605501)	(3.0, 7.047201656373485)	(4.0, 4.529169062567815)	(5.0, 3.2741616621489595)	(6.0, 2.5174780250319575)	(7.0, 1.9831128438544434)	(8.0, 1.7144695527556562)	(9.0, 1.3762407553750537)	('>10', 15.23513173955648)	('>50', 4.020635934818632)	('>100', 6.251885302877949)	('>500', 1.4841455629625888)	('>1k', 1.0741926724925088)	('>5k', 0.15205187608254372)	('>10k+', 0.0)
GC_24hpi_3_R2	(1.0, 36.375299542737004)	(2.0, 12.93713119779907)	(3.0, 6.9181581283863025)	(4.0, 4.505487376050931)	(5.0, 3.3524728752715816)	(6.0, 2.5024568501437914)	(7.0, 1.9817992726752738)	(8.0, 1.6559057963644888)	(9.0, 1.4078301640762874)	('>10', 15.24767515879505)	('>50', 4.0115054583981555)	('>100', 6.309284134464141)	('>500', 1.5048679235916333)	('>1k', 1.128124912693622)	('>5k', 0.1620012085526175)	('>10k+', 0.0)
GC_48hpi_1_R1	(1.0, 33.547246449592016)	(2.0, 11.991770454805021)	(3.0, 6.396655937159941)	(4.0, 4.282463406666548)	(5.0, 3.0742397142677684)	(6.0, 2.421573415436503)	(7.0, 1.9188687091787053)	(8.0, 1.544768262873685)	(9.0, 1.3466423747118486)	('>10', 15.541817326792017)	('>50', 4.785000047976415)	('>100', 8.46910033027361)	('>500', 2.379693005465907)	('>1k', 2.0143913420603443)	('>5k', 0.20978705339599418)	('>10k+', 0.07598216934375342)
GC_48hpi_1_R2	(1.0, 34.054962631795895)	(2.0, 11.788999182208704)	(3.0, 6.4208380172649795)	(4.0, 4.154239230219966)	(5.0, 3.162242962353481)	(6.0, 2.411929586776319)	(7.0, 1.841881487151061)	(8.0, 1.5841695289212712)	(9.0, 1.3329422662398565)	('>10', 15.346005973702278)	('>50', 4.663054528016698)	('>100', 8.518704198081197)	('>500', 2.330941627044345)	('>1k', 2.0543119300031454)	('>5k', 0.25895495706254656)	('>10k+', 0.07582189315832646)
GC_48hpi_2_R1	(1.0, 33.49195153402493)	(2.0, 11.911077692949599)	(3.0, 6.52550694149518)	(4.0, 4.279878454050849)	(5.0, 3.069181194754236)	(6.0, 2.4447042960733643)	(7.0, 1.8915830600933905)	(8.0, 1.5792365252368343)	(9.0, 1.3574263178269643)	('>10', 14.925620258113703)	('>50', 4.298675088619692)	('>100', 8.348647003806693)	('>500', 2.5967614517172004)	('>1k', 2.9521940328684817)	('>5k', 0.20814653565160884)	('>10k+', 0.11940961271716989)
GC_48hpi_2_R2	(1.0, 33.74289873561272)	(2.0, 11.699919497499895)	(3.0, 6.542409607414289)	(4.0, 4.177509088193931)	(5.0, 3.028023447142316)	(6.0, 2.3570885899040905)	(7.0, 1.9111769311740492)	(8.0, 1.6321221012177887)	(9.0, 1.4100573194264663)	('>10', 14.68096213164863)	('>50', 4.371100637242781)	('>100', 8.382361672118508)	('>500', 2.702848192851809)	('>1k', 3.051235309744541)	('>5k', 0.12007563235049033)	('>10k+', 0.19021110645757922)
