Sample	featurecounts-Assigned	featurecounts-percent_assigned	salmon-percent_mapped	salmon-num_mapped	salmon-library_types	salmon-compatible_fragment_ratio	salmon-strand_mapping_bias	star-total_reads	star-mapped	star-mapped_percent	star-uniquely_mapped	star-uniquely_mapped_percent	star-multimapped	fastp-pct_duplication	fastp-after_filtering_q30_rate	fastp-after_filtering_q30_bases	fastp-filtering_result_passed_filter_reads	fastp-after_filtering_gc_content	fastp-pct_surviving_reads	fastp-pct_surviving_bases	fastp-pct_adapter	fastp-before_filtering_read1_mean_length	fastp-before_filtering_read2_mean_length	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
GC_24hpi_1			81.12016304964328	11.735061	IU	100.0	0.0	14.466268999999999	13.477867	93.17	12.183468	84.22	1.2943989999999999	5.2548200000000005	92.8709	3350.168038	28.932537999999997	45.646100000000004	98.10209942455434	97.85180128543504	0.7839884292400395	125.0	125.0						
GC_24hpi_1_R1																								51.75671503284894	45.0	124.18517438739732	124	30.0	14.466268999999999
GC_24hpi_1_R2																								51.62214960435448	45.0	124.18517438739732	124	20.0	14.466268999999999
GC_24hpi_2			79.51073413011198	12.099833	IU	100.0	0.0	15.217861	14.073400999999999	92.47999999999999	12.616824999999999	82.91	1.4565759999999999	5.9880700000000004	92.8251	3523.387139	30.435722	45.576899999999995	98.01622570448437	97.79105024720371	0.7640221388072634	125.0	125.0						
GC_24hpi_2_R1																								52.25051131858728	45.0	124.21685100816731	124	30.0	15.217861
GC_24hpi_2_R2																								52.395855050425176	45.0	124.21685100816731	124	20.0	15.217861
GC_24hpi_3			79.79394780733548	10.57397	IU	100.0	0.0	13.251593999999999	12.280368	92.66999999999999	11.030533	83.24	1.249835	5.69725	92.7837	3066.1210969999997	26.503187999999998	45.6385	97.96109453365224	97.71545983874957	0.7990298213145832	125.0	125.0						
GC_24hpi_3_R1																								51.06846869482007	45.0	124.19074195904281	124	30.0	13.251593999999999
GC_24hpi_3_R2																								51.047196308732744	45.0	124.19074195904281	124	20.0	13.251593999999999
GC_48hpi_1			73.95126518115828	12.014337	IU	100.0	0.0	16.24629	14.592158999999999	89.82	12.687581999999999	78.1	1.904577	7.684539999999999	92.3844	3743.36114	32.49258	46.542899999999996	97.74566869755348	97.5138971692527	0.7674215639003761	125.0	125.0						
GC_48hpi_1_R1																								54.652323254119175	46.0	124.20763786686068	124	30.0	16.24629
GC_48hpi_1_R2																								54.2738690040927	46.0	124.20763786686068	124	20.0	16.24629
GC_48hpi_2			72.79084302793746	11.502912	IU	100.0	0.0	15.802691	14.245977	90.14999999999999	12.263385999999999	77.6	1.982591	8.384640000000001	92.7359	3653.3036199999997	31.605382	46.6021	98.00506823185117	97.72713647381127	0.8099979899978672	125.0	125.0						
GC_48hpi_2_R1																								54.73663226200054	46.0	124.14973180833569	124	30.0	15.802691
GC_48hpi_2_R2																								54.63180068828096	46.0	124.14973180833569	124	20.0	15.802691
GC_48hpi_3			74.37617386638047	10.17324	IU	100.0	0.0	13.67809	12.407722	90.71000000000001	10.791008	78.89	1.616714	9.76467	91.991	3138.871953	27.35618	46.4071	98.04095702482704	97.82963274520614	0.765915745827445	125.0	125.0						
GC_48hpi_3_R1																								52.82265644740731	46.0	124.2346397048126	124	40.0	13.67809
GC_48hpi_3_R2																								52.59078066788448	46.0	124.2346397048126	124	20.0	13.67809
GC_6hpi_1			81.20206731733369	11.090648999999999	IU	100.0	0.0	13.658087	12.612174999999999	92.34	11.450747	83.84	1.161428	4.2389	93.0684	3171.771069	27.316174	45.7218	98.19855898235363	98.0110030288361	0.6658809202306796	125.0	125.0						
GC_6hpi_1_R1																								50.60040858079906	45.0	124.26473586674327	124	30.0	13.658087
GC_6hpi_1_R2																								50.70085023645377	45.0	124.26473586674327	124	20.0	13.658087
GC_6hpi_2			80.74334469862451	10.902618	IU	100.0	0.0	13.502806999999999	12.379735	91.68	11.279397999999999	83.53	1.100337	4.19141	93.3096	3144.081683	27.005613999999998	45.6227	98.30293067480397	98.1227627573409	0.6531563423332191	125.0	125.0						
GC_6hpi_2_R1																								49.20076087438135	45.0	124.27432840445694	124	20.0	13.502806999999999
GC_6hpi_2_R2																								49.58141950924109	45.0	124.27432840445694	124	10.0	13.502806999999999
GC_6hpi_3			80.89637471024898	12.412908	IU	100.0	0.0	15.344208	14.239536999999999	92.8	12.90885	84.13	1.330687	4.4794	93.1296	3564.91511	30.688416	45.6147	98.20357855798986	97.99505740101839	0.7320688257976996	125.0	125.0						
GC_6hpi_3_R1																								51.39714936445228	45.0	124.23841843124129	124	30.0	15.344208
GC_6hpi_3_R2																								51.71884085678285	45.0	124.23841843124129	124	20.0	15.344208
GI_24hpi_1			78.46181779992051	11.849003999999999	IU	100.0	0.0	15.101617999999998	13.933456999999999	92.27000000000001	12.493125	82.73	1.440332	6.1738	92.8431	3497.200918	30.203235999999997	45.7117	98.08663863421391	97.86276385158081	0.7398447526315416	125.0	125.0						
GI_24hpi_1_R1																								51.59426442864436	45.0	124.21858869691977	124	30.0	15.101617999999998
GI_24hpi_1_R2																								51.58713899501866	45.0	124.21858869691977	124	20.0	15.101617999999998
GI_24hpi_2			79.45214507465904	10.199078	IU	100.0	0.0	12.836756	11.903664	92.73	10.741818	83.68	1.161846	5.01402	92.8437	2972.5244669999997	25.673512	45.4242	98.0317969049864	97.80131490501114	0.7461998114931159	125.0	125.0						
GI_24hpi_2_R1																								49.150724204708176	45.0	124.21002035093602	124	20.0	12.836756
GI_24hpi_2_R2																								49.30968555331036	45.0	124.21002035093602	124	10.0	12.836756
GI_24hpi_3			72.89686516311829	8.512425	IU	100.0	0.0	11.677354	10.546044	90.31	9.050844999999999	77.51	1.495199	8.094940000000001	92.3652	2690.590676	23.354708	46.391	97.90201593900798	97.6892165250776	0.6946917118986203	125.0	125.0						
GI_24hpi_3_R1																								52.0379014657904	46.0	124.23192334496325	124	40.0	11.677354
GI_24hpi_3_R2																								52.13642767136209	46.0	124.23192334496325	124	20.0	11.677354
GI_48hpi_1			77.24914656032315	11.221605	IU	100.0	0.0	14.52651	13.359349	91.97	11.692015999999999	80.49	1.667333	9.045390000000001	91.9926	3333.601859	29.05302	46.1083	97.91800440325702	97.70619768334917	0.7811932311550859	125.0	125.0						
GI_48hpi_1_R1																								53.60163039080681	46.0	124.23375201614152	124	40.0	14.52651
GI_48hpi_1_R2																								53.43297233657595	46.0	124.23375201614152	124	20.0	14.52651
GI_48hpi_2			78.12616456887318	10.681334999999999	IU	100.0	0.0	13.671904999999999	12.534730999999999	91.68	11.124013999999999	81.36	1.410717	8.3867	92.1379	3142.797674	27.343809999999998	45.9413	98.03868209338134	97.8377836047809	0.725765213651881	125.0	125.0						
GI_48hpi_2_R1																								51.79257442612705	46.0	124.24767173996601	124	40.0	13.671904999999999
GI_48hpi_2_R2																								51.54478077757695	46.0	124.24767173996601	124	20.0	13.671904999999999
GI_48hpi_3			78.84403611273225	11.36028	IU	100.0	0.0	14.408546999999999	13.276442999999999	92.14	11.843717	82.2	1.432726	8.08464	92.2073	3313.585275	28.817093999999997	45.8487	98.05295910935797	97.82131618170358	0.7641008045236575	125.0	125.0						
GI_48hpi_3_R1																								51.67564061329009	46.0	124.20870636713056	124	40.0	14.408546999999999
GI_48hpi_3_R2																								51.558815393421	46.0	124.20870636713056	124	20.0	14.408546999999999
GI_6hpi_1			81.74224381526875	13.142866999999999	IU	100.0	0.0	16.078426999999998	15.00701	93.34	13.63384	84.8	1.37317	4.38356	93.0475	3733.201858	32.156853999999996	45.8145	98.1724761191017	97.99024407161578	0.7191409996034861	125.0	125.0						
GI_6hpi_1_R1																								51.742173740025734	45.0	124.27178849647419	124	30.0	16.078426999999998
GI_6hpi_1_R2																								51.962644986420074	45.0	124.27178849647419	124	20.0	16.078426999999998
GI_6hpi_2			81.66691279113314	11.895439999999999	IU	100.0	0.0	14.565800999999999	13.498557	92.67999999999999	12.265509999999999	84.21	1.233047	3.70013	93.1527	3385.875336	29.131601999999997	45.4593	98.24656555572425	98.06604269419964	0.6749805288241191	125.0	125.0						
GI_6hpi_2_R1																								49.320469663657704	45.0	124.27388500639272	124	20.0	14.565800999999999
GI_6hpi_2_R2																								49.77319948935101	45.0	124.27388500639272	124	10.0	14.565800999999999
