pathway	fgsea_p	fgsea_q	log2err	ES	fgsea_NES	size
R-OSA-6787011.1|Jasmonic acid signaling	0.519440124416796	0.519440124416796	0.0261208485186222	0.389043568900823	0.95440714399243	15
R-OSA-8933811.1|Circadian rhythm	0.0740535549399815	0.370267774699908	0.0706314172523161	-0.646478618027673	-1.44902316765227	12
R-OSA-9640882.1|Assembly of pre-replication complex	0.41603136571553	0.519440124416796	0.0296964779948796	0.459530634023456	1.04377776986394	11
R-OSA-9645850.1|Activation of pre-replication complex	0.173601789709172	0.434004474272931	0.0497572002748371	0.495374539845534	1.26926282595105	18
R-OSA-9675824.1|DNA replication Initiation	0.293655984303466	0.489426640505777	0.0365737032588796	0.494144816238681	1.1490827220126	12
